,Name,Domestic Total Gross,Distributor,Genre,MPAA Rating,Release Date,Runtime,Production Budget,Director,Producer,Actor
0,Star Wars: Episode I - The Phantom Menace,"$431,088,295Domestic Lifetime Gross $474,544,677",Fox,Sci-Fi Fantasy,PG,"May 19, 1999",2 hrs. 13 min.,$115 million,George Lucas,"George Lucas,Rick McCallum","Anthony Daniels,Ian McDiarmid,Liam Neeson,Ewan McGregor,Natalie Portman"
1,The Sixth Sense,"$293,506,292",Buena Vista,Horror,PG-13,"August 6, 1999",1 hrs. 47 min.,$40 million,M. Night Shyamalan,"Kathleen Kennedy,Frank Marshall,Barry Mendel,Sam Mercer","Bruce Willis,Toni Collette"
2,Toy Story 2,"$245,852,179Domestic Lifetime Gross $245,852,179",Buena Vista,Animation,G,"November 19, 1999",1 hrs. 32 min.,$90 million,"John Lasseter,Lee Unkrich",N/A,"Tom Hanks,Tim Allen"
3,Austin Powers: The Spy Who Shagged Me,"$206,040,086",New Line,Comedy,PG-13,"June 11, 1999",1 hrs. 35 min.,$33 million,Jay Roach,"Michael De Luca,Erwin Stoff","Mike Myers,Rob Lowe,Seth Green"
4,The Matrix,"$171,479,930",Warner Bros.,Sci-Fi Action,R,"March 31, 1999",2 hrs. 16 min.,$63 million,Lilly & Lana Wachowski,"Joel Silver,Erwin Stoff","Keanu Reeves,Carrie-Anne Moss,Laurence Fishburne,Hugo Weaving"
5,Tarzan,"$171,091,819",Buena Vista,Animation,G,"June 16, 1999",1 hrs. 28 min.,$130 million,Chris Buck,N/A,N/A
6,Big Daddy,"$163,479,795",Sony / Columbia,Comedy,PG-13,"June 25, 1999",1 hrs. 33 min.,$34.2 million,Dennis Dugan,"Jack Giarraputo,Adam Sandler,Robert Simonds","Adam Sandler,Leslie Mann,Rob Schneider"
7,The Mummy,"$155,385,488",Universal,Period Adventure,PG-13,"May 7, 1999",2 hrs. 4 min.,$80 million,Stephen Sommers,N/A,"Brendan Fraser,Rachel Weisz"
8,Runaway Bride,"$152,257,509",Paramount,Romantic Comedy,PG,"July 30, 1999",1 hrs. 56 min.,$70 million,Garry Marshall,"Ted Field,Mario Iscovich,Scott Kroopf,Gary Lucchesi,Tom Rosenberg","Richard Gere,Julia Roberts"
9,The Blair Witch Project,"$140,539,099",Artisan,Horror,R,"July 16, 1999",1 hrs. 26 min.,"$60,000",N/A,N/A,N/A
10,Stuart Little,"$140,035,367",Sony / Columbia,Family Adventure,PG,"December 17, 1999",1 hrs. 24 min.,$133 million,Rob Minkoff,"Jason Clark,Douglas Wick",Hugh Laurie
11,The Green Mile,"$136,801,374",Warner Bros.,Period Drama,R,"December 10, 1999",3 hrs. 8 min.,$60 million,Frank Darabont,"Frank Darabont,David Valdes","Tom Hanks,Michael Clarke Duncan,Bonnie Hunt,Sam Rockwell"
12,American Beauty,"$130,096,601",DreamWorks,Drama,R,"September 15, 1999",2 hrs. 2 min.,$15 million,Sam Mendes,N/A,"Chris Cooper,Kevin Spacey,Annette Bening"
13,The World Is Not Enough,"$126,943,684",MGM,Action,PG-13,"November 19, 1999",2 hrs. 8 min.,$135 million,Michael Apted,"Barbara Broccoli,Michael G. Wilson","Pierce Brosnan,Judi Dench,Denise Richards"
14,Double Jeopardy,"$116,741,558",Paramount,Thriller,R,"September 24, 1999",1 hrs. 45 min.,$70 million,N/A,N/A,"Ashley Judd,Tommy Lee Jones"
15,Notting Hill,"$116,089,678",Universal,Romantic Comedy,PG-13,"May 28, 1999",2 hrs. 4 min.,$42 million,N/A,"Tim Bevan,Eric Fellner","Julia Roberts,Hugh Grant,Rhys Ifans"
16,Wild Wild West,"$113,804,681",Warner Bros.,Western Comedy,PG-13,"June 30, 1999",1 hrs. 47 min.,$170 million,Barry Sonnenfeld,"Jon Peters,Barry Sonnenfeld","Will Smith,Kevin Kline,Kenneth Branagh,Salma Hayek"
17,Analyze This,"$106,885,658",Warner Bros.,Crime Comedy,R,"March 5, 1999",1 hrs. 43 min.,$80 million,Harold Ramis,N/A,"Billy Crystal,Robert DeNiro,Lisa Kudrow"
18,The General's Daughter,"$102,705,852",Paramount,Thriller,R,"June 18, 1999",1 hrs. 57 min.,$95 million,Simon West,N/A,John Travolta
19,American Pie,"$102,561,004",Universal,Comedy,R,"July 9, 1999",1 hrs. 35 min.,$11 million,Paul Weitz,"Chris Moore,Chris Weitz",Chris Klein
