,Name,Domestic Total Gross,Distributor,Genre,MPAA Rating,Release Date,Runtime,Production Budget,Director,Producer,Actor
0,Batman,"$251,188,924",Warner Bros.,Action / Adventure,PG-13,"June 23, 1989",2 hrs. 6 min.,$35 million,Tim Burton,Jon Peters,"Jack Nicholson,Michael Keaton,Kim Basinger"
1,Indiana Jones and the Last Crusade,"$197,171,806",Paramount,Period Adventure,PG-13,"May 24, 1989",2 hrs. 7 min.,$48 million,Steven Spielberg,"George Lucas,Frank Marshall","Sean Connery,Harrison Ford"
2,Lethal Weapon 2,"$147,253,986",Warner Bros.,Action Comedy,R,"July 7, 1989",1 hrs. 53 min.,N/A,Richard Donner,Joel Silver,"Mel Gibson,Danny Glover"
3,Look Who's Talking,"$140,088,813",TriStar,Family Comedy,PG-13,"October 13, 1989",1 hrs. 33 min.,N/A,Amy Heckerling,N/A,"John Travolta,Bruce Willis"
4,"Honey, I Shrunk the Kids","$130,724,172",Buena Vista,Family Adventure,PG,"June 23, 1989",1 hrs. 41 min.,N/A,Joe Johnston,Jon Landau,N/A
5,Back to the Future Part II,"$118,450,002",Universal,Sci-Fi Adventure,PG,"November 22, 1989",1 hrs. 48 min.,$40 million,Robert Zemeckis,"Kathleen Kennedy,Frank Marshall,Steven Spielberg",N/A
6,Ghostbusters II,"$112,494,738",Columbia,Horror Comedy,PG,"June 16, 1989",1 hrs. 42 min.,N/A,Ivan Reitman,"Joe Medjuck,Ivan Reitman","Bill Murray,Sigourney Weaver"
7,Driving Miss Daisy,"$106,593,296",Warner Bros.,Comedy / Drama,PG,"December 15, 1989",1 hrs. 39 min.,N/A,N/A,N/A,Morgan Freeman
8,Parenthood,"$100,047,830",Universal,Comedy / Drama,PG-13,"August 2, 1989",2 hrs. 4 min.,N/A,Ron Howard,Brian Grazer,"Steve Martin,Joaquin Phoenix,Keanu Reeves"
9,Dead Poets Society,"$95,860,116",Buena Vista,Drama,PG,"June 2, 1989",2 hrs. 8 min.,N/A,Peter Weir,N/A,"Ethan Hawke,Robin Williams"
10,When Harry Met Sally...,"$92,823,546",Columbia,Romantic Comedy,R,"July 14, 1989",1 hrs. 36 min.,N/A,Rob Reiner,N/A,"Billy Crystal,Meg Ryan,Carrie Fisher"
11,The War of the Roses,"$86,888,546",Fox,Comedy Thriller,R,"December 8, 1989",1 hrs. 56 min.,N/A,Danny DeVito,Arnon Milchan,"Michael Douglas,Danny DeVito"
12,The Little Mermaid,"$84,355,863Domestic Lifetime Gross $111,543,479",Buena Vista,Animation,G,"November 17, 1989",1 hrs. 23 min.,N/A,N/A,N/A,N/A
13,Steel Magnolias,"$83,759,091",TriStar,Comedy / Drama,PG,"November 17, 1989",1 hrs. 57 min.,N/A,N/A,N/A,"Sally Field,Julia Roberts"
14,Christmas Vacation,"$71,319,526",Warner Bros.,Comedy,PG-13,"December 1, 1989",1 hrs. 37 min.,N/A,N/A,John Hughes,Randy Quaid
15,Turner & Hooch,"$71,079,915",Buena Vista,Action Comedy,PG,"July 28, 1989",1 hrs. 37 min.,N/A,N/A,N/A,"Tom Hanks,Craig T. Nelson"
16,Born on the Fourth of July,"$70,001,698",Universal,War Drama,R,"December 22, 1989",2 hrs. 25 min.,N/A,Oliver Stone,N/A,Tom Cruise
17,Uncle Buck,"$66,758,538",Universal,Comedy,PG,"August 18, 1989",1 hrs. 40 min.,N/A,John Hughes,John Hughes,Macaulay Culkin
18,Field of Dreams,"$64,431,625",Universal,Sports Drama,PG,"April 21, 1989",1 hrs. 47 min.,N/A,N/A,"Lawrence Gordon,Lloyd Levin",Kevin Costner
19,Tango & Cash,"$63,408,614",Warner Bros.,Action Comedy,R,"December 22, 1989",1 hrs. 44 min.,N/A,N/A,"Larry J. Franco,Jon Peters","Kurt Russell,Sylvester Stallone"
20,Harlem Nights,"$60,864,870",Paramount,Period Comedy,R,"November 17, 1989",1 hrs. 55 min.,N/A,N/A,N/A,Eddie Murphy
21,Sea of Love,"$58,571,513",Universal,Romantic Thriller,R,"September 15, 1989",1 hrs. 53 min.,N/A,N/A,N/A,"Al Pacino,Michael Rooker"
22,Pet Sematary,"$57,469,467",Paramount,Horror,R,"April 21, 1989",1 hrs. 43 min.,N/A,Mary Lambert,Richard P. Rubinstein,N/A
23,The Abyss,"$54,222,310Domestic Lifetime Gross $54,461,047",Fox,Sci-Fi Adventure,PG-13,"August 11, 1989",2 hrs. 26 min.,N/A,James Cameron,Gale Anne Hurd,Ed Harris
24,Star Trek V: The Final Frontier,"$52,210,049",Paramount,Sci-Fi Adventure,PG,"June 9, 1989",1 hrs. 47 min.,N/A,N/A,Ralph Winter,Leonard Nimoy
25,Major League,"$49,797,148",Paramount,Sports Comedy,R,"April 7, 1989",1 hrs. 47 min.,N/A,N/A,Joe Roth,"Charlie Sheen,Rene Russo,Wesley Snipes"
26,"See No Evil, Hear No Evil","$46,908,987",TriStar,Comedy,R,"May 12, 1989",1 hrs. 30 min.,N/A,N/A,N/A,"Gene Wilder,Kevin Spacey"
27,Black Rain,"$46,212,055",Paramount,Action Thriller,R,"September 22, 1989",2 hrs. 5 min.,N/A,Ridley Scott,Sherry Lansing,Michael Douglas
28,Always,"$43,858,790",Universal,Drama,PG,"December 22, 1989",2 hrs. 3 min.,N/A,Steven Spielberg,"Kathleen Kennedy,Frank Marshall,Steven Spielberg,Richard Vane",Holly Hunter
29,K-9,"$43,247,647",Universal,Action Comedy,PG-13,"April 28, 1989",1 hrs. 41 min.,N/A,N/A,"Lawrence Gordon,Lloyd Levin",N/A
30,Three Fugitives,"$40,586,886",Buena Vista,Action Comedy,PG-13,"January 27, 1989",1 hrs. 36 min.,N/A,N/A,Lauren Schuler Donner,N/A
31,Bill & Ted's Excellent Adventure,"$40,485,039",Orion Pictures,Sci-Fi Comedy,PG,"February 17, 1989",1 hrs. 30 min.,N/A,N/A,"Ted Field,Scott Kroopf",Keanu Reeves
32,The Karate Kid Part III,"$38,956,288",Columbia,Sports Action,PG,"June 30, 1989",1 hrs. 29 min.,N/A,N/A,N/A,N/A
33,The 'Burbs,"$36,601,993",Universal,Comedy,PG,"February 17, 1989",2 hrs. 42 min.,N/A,N/A,Ron Howard,"Tom Hanks,Carrie Fisher"
34,Fletch Lives,"$35,150,960",Universal,Comedy,PG,"March 17, 1989",1 hrs. 35 min.,N/A,N/A,N/A,N/A
35,Licence to Kill,"$34,667,015",United Artists,Action,PG-13,"July 14, 1989",2 hrs. 13 min.,N/A,N/A,Michael G. Wilson,Benicio Del Toro
