,Name,Domestic Total Gross,Distributor,Genre,MPAA Rating,Release Date,Runtime,Production Budget,Director,Producer,Actor
0,E.T.: The Extra-Terrestrial,"$359,197,037Domestic Lifetime Gross $435,110,554",Universal,Family Adventure,PG,"June 11, 1982",1 hrs. 57 min.,$10.5 million,Steven Spielberg,"Kathleen Kennedy,Steven Spielberg",Drew Barrymore
1,Tootsie,"$177,200,000",Columbia,Comedy,PG,"December 17, 1982",1 hrs. 59 min.,$21 million,Sydney Pollack,Sydney Pollack,"Dustin Hoffman,Jessica Lange,Bill Murray,Sydney Pollack"
2,An Officer and a Gentleman,"$129,795,554",Paramount,Romance,R,"July 30, 1982",2 hrs. 2 min.,N/A,Taylor Hackford,N/A,Richard Gere
3,Rocky III,"$124,146,897Domestic Lifetime Gross $125,049,125",United Artists,Sports Drama,PG,"May 28, 1982",1 hrs. 39 min.,N/A,Sylvester Stallone,Irwin Winkler,Sylvester Stallone
4,Porky's,"$105,492,483Domestic Lifetime Gross $111,289,673",Fox,Comedy,R,"March 19, 1982",1 hrs. 34 min.,N/A,N/A,"Don Carmody,Arnold Kopelson",N/A
5,Star Trek II: The Wrath of Khan,"$78,912,963",Paramount,Sci-Fi Adventure,PG,"June 4, 1982",1 hrs. 52 min.,$11.2 million,N/A,N/A,Leonard Nimoy
6,48 HRS.,"$78,868,508",Paramount,Action Comedy,R,"December 10, 1982",1 hrs. 36 min.,N/A,Walter Hill,"Lawrence Gordon,Joel Silver",Eddie Murphy
7,Poltergeist,"$76,606,280",MGM,Horror,PG,"June 4, 1982",1 hrs. 54 min.,N/A,N/A,"Kathleen Kennedy,Frank Marshall,Steven Spielberg",Craig T. Nelson
8,The Best Little Whorehouse in Texas,"$69,701,637",Universal,Musical,R,"July 23, 1982",1 hrs. 54 min.,N/A,N/A,N/A,N/A
9,Annie,"$57,059,003",Columbia,Musical,PG,"May 21, 1982",2 hrs. 7 min.,N/A,N/A,N/A,N/A
10,The Verdict,"$53,977,250",Fox,Drama,R,"December 10, 1982",3 hrs. 12 min.,N/A,N/A,N/A,Paul Newman
11,Gandhi,"$52,767,889",Columbia,Period Drama,PG,"December 10, 1982",3 hrs. 8 min.,N/A,N/A,N/A,Ben Kingsley
12,First Blood,"$47,212,904",Orion Pictures,Action,R,"October 22, 1982",1 hrs. 36 min.,$15 million,N/A,N/A,Sylvester Stallone
13,The Toy,"$47,118,057",Columbia,Comedy,PG,"December 10, 1982",1 hrs. 42 min.,N/A,Richard Donner,N/A,N/A
14,Firefox,"$46,708,276",Warner Bros.,Action,PG,"June 18, 1982",2 hrs. 16 min.,N/A,Clint Eastwood,Clint Eastwood,Clint Eastwood
15,The Dark Crystal,"$40,577,001Domestic Lifetime Gross $41,357,492",Universal,Fantasy,PG,"December 17, 1982",1 hrs. 34 min.,N/A,Frank Oz,N/A,N/A
