,Name,Domestic Total Gross,Distributor,Genre,MPAA Rating,Release Date,Runtime,Production Budget,Director,Producer,Actor
0,Return of the Jedi,"$252,583,617Domestic Lifetime Gross $309,306,177",Fox,Sci-Fi Fantasy,PG,"May 25, 1983",2 hrs. 14 min.,$32.5 million,N/A,George Lucas,"Mark Hamill,Harrison Ford,Carrie Fisher,Anthony Daniels,Peter Mayhew,Ian McDiarmid"
1,Terms of Endearment,"$108,423,489",Paramount,Drama,PG,"November 23, 1983",2 hrs. 11 min.,$8 million,James L. Brooks,N/A,"Jack Nicholson,Danny DeVito"
2,Flashdance,"$92,921,203",Paramount,Music Drama,R,"April 15, 1983",1 hrs. 35 min.,N/A,N/A,"Jerry Bruckheimer,Jon Peters",N/A
3,Trading Places,"$90,404,800",Paramount,Comedy,R,"June 10, 1983",1 hrs. 58 min.,N/A,John Landis,N/A,"Jamie Lee Curtis,Eddie Murphy"
4,WarGames,"$79,567,667",MGM,Drama / Thriller,PG,"June 3, 1983",1 hrs. 54 min.,N/A,N/A,N/A,Matthew Broderick
5,Octopussy,"$67,893,619",MGM,Action,PG,"June 10, 1983",2 hrs. 11 min.,N/A,N/A,Michael G. Wilson,Roger Moore
6,Sudden Impact,"$67,642,693",Warner Bros.,Action,R,"December 9, 1983",1 hrs. 57 min.,N/A,Clint Eastwood,Clint Eastwood,Clint Eastwood
7,Staying Alive,"$64,892,670",Paramount,Music Drama,PG,"July 15, 1983",1 hrs. 36 min.,N/A,Sylvester Stallone,N/A,John Travolta
8,Mr. Mom,"$64,783,827",Fox,Comedy,PG,"July 22, 1983",1 hrs. 31 min.,N/A,N/A,Lauren Schuler Donner,Michael Keaton
9,Risky Business,"$63,541,777",Warner Bros.,Comedy,R,"August 5, 1983",1 hrs. 39 min.,$6.2 million,N/A,Steve Tisch,Tom Cruise
10,National Lampoon's Vacation,"$61,399,552",Warner Bros.,Comedy,R,"July 29, 1983",1 hrs. 39 min.,N/A,Harold Ramis,N/A,Randy Quaid
11,Superman III,"$59,950,623",Warner Bros.,Action / Adventure,PG,"June 17, 1983",2 hrs. 5 min.,N/A,N/A,N/A,Christopher Reeve
12,The Big Chill,"$56,342,711Domestic Lifetime Gross $56,399,659",Columbia,Drama,R,"September 30, 1983",2 hrs. 41 min.,N/A,Lawrence Kasdan,"Lawrence Kasdan,Michael Shamberg","Kevin Kline,Glenn Close,Jeff Goldblum,William Hurt"
13,Never Say Never Again,"$55,432,841",Warner Bros.,Action,PG,"October 7, 1983",2 hrs. 13 min.,N/A,Irvin Kershner,N/A,"Sean Connery,Kim Basinger"
14,Jaws 3-D,"$45,517,055",Universal,Horror,PG,"July 22, 1983",1 hrs. 39 min.,N/A,N/A,N/A,Dennis Quaid
15,Scarface (1983),"$44,668,798Domestic Lifetime Gross $45,408,703",Universal,Crime Drama,R,"December 9, 1983",2 hrs. 50 min.,N/A,Brian De Palma,N/A,"Al Pacino,Michelle Pfeiffer"
16,Blue Thunder,"$42,313,354",Columbia,Action,R,"May 13, 1983",1 hrs. 48 min.,N/A,N/A,Gordon Carroll,N/A
17,Yentl,"$40,218,899",MGM,Musical,PG,"November 18, 1983",2 hrs. 14 min.,N/A,Barbra Streisand,N/A,Barbra Streisand
18,Silkwood,"$35,615,609",Fox,Drama,R,"December 16, 1983",2 hrs. 11 min.,N/A,Mike Nichols,Mike Nichols,"Meryl Streep,Kurt Russell,Cher,Craig T. Nelson"
19,Psycho II,"$34,725,000",Universal,Horror Thriller,R,"June 3, 1983",1 hrs. 53 min.,N/A,N/A,N/A,N/A
20,Porky's II: The Next Day,"$33,759,266",Fox,Comedy,R,"June 24, 1983",1 hrs. 38 min.,N/A,N/A,Don Carmody,N/A
21,Uncommon Valor,"$30,503,151",Paramount,War,R,"December 16, 1983",1 hrs. 44 min.,N/A,N/A,N/A,Patrick Swayze
22,Snow White and the Seven Dwarfs (Re-issue) (1983),"$30,100,000Domestic Lifetime Gross $184,925,486",Buena Vista,Animation,G,"July 15, 1983",1 hrs. 24 min.,N/A,N/A,N/A,N/A
23,Never Cry Wolf,"$29,600,000",Buena Vista,Adventure,PG,"October 7, 1983",1 hrs. 45 min.,N/A,N/A,N/A,N/A
24,Twilight Zone: The Movie,"$29,450,919",Warner Bros.,Sci-Fi Horror,PG,"June 24, 1983",1 hrs. 41 min.,N/A,"John Landis,Steven Spielberg,George Miller","Kathleen Kennedy,John Landis,Frank Marshall,Steven Spielberg",N/A
25,Easy Money,"$29,309,766",Orion Pictures,Comedy,R,"August 19, 1983",1 hrs. 35 min.,N/A,N/A,N/A,N/A
26,High Road to China,"$28,445,927",Warner Bros.,Period Adventure,PG,"March 18, 1983",1 hrs. 45 min.,N/A,N/A,N/A,N/A
27,The Outsiders,"$25,697,647",Warner Bros.,Crime Drama,PG,"March 25, 1983",1 hrs. 31 min.,N/A,N/A,N/A,"Matt Dillon,Patrick Swayze,Rob Lowe,Tom Cruise,Diane Lane"
28,Spring Break,"$24,071,666",Columbia,Comedy,R,"March 25, 1983",1 hrs. 42 min.,N/A,N/A,N/A,N/A
29,Two of a Kind,"$23,646,952",Fox,Romantic Comedy,PG,"December 16, 1983",1 hrs. 28 min.,N/A,John Herzfeld,N/A,John Travolta
30,My Tutor,"$22,587,834",Crown,Comedy,R,"March 4, 1983",1 hrs. 37 min.,N/A,N/A,N/A,N/A
31,Class,"$21,667,789",Orion Pictures,Comedy,R,"July 22, 1983",1 hrs. 38 min.,N/A,N/A,N/A,Rob Lowe
32,The Right Stuff,"$21,192,102",Warner Bros.,Period Drama,PG,"October 21, 1983",3 hrs. 13 min.,N/A,Philip Kaufman,Irwin Winkler,"Ed Harris,Dennis Quaid,Philip Kaufman"
33,Cujo,"$21,156,152",Warner Bros.,Horror,R,"August 12, 1983",1 hrs. 31 min.,N/A,N/A,N/A,N/A
34,Christine,"$21,017,849",Columbia,Horror,R,"December 9, 1983",1 hrs. 50 min.,N/A,John Carpenter,Larry J. Franco,N/A
35,The Rescuers (Re-issue),"$21,000,000Domestic Lifetime Gross $71,215,869",Buena Vista,Animation,G,"December 16, 1983",1 hrs. 16 min.,N/A,N/A,N/A,N/A
36,The Dead Zone,"$20,766,616",Paramount,Horror Thriller,R,"October 21, 1983",1 hrs. 43 min.,N/A,N/A,N/A,Christopher Walken
37,Breathless,"$19,910,002",Orion Pictures,Crime Thriller,R,"May 13, 1983",1 hrs. 40 min.,N/A,N/A,N/A,Richard Gere
38,A Christmas Story,"$19,294,144Domestic Lifetime Gross $20,605,209",MGM,Family Comedy,PG,"November 18, 1983",1 hrs. 18 min.,N/A,N/A,N/A,N/A
39,Max Dugan Returns,"$17,613,720",Fox,Comedy / Drama,PG,"March 25, 1983",1 hrs. 38 min.,N/A,N/A,N/A,Matthew Broderick
40,Valley Girl,"$17,343,596",Atlantic,Romantic Comedy,R,"April 29, 1983",1 hrs. 35 min.,"$350,000",Martha Coolidge,N/A,Nicolas Cage
