,Name,Domestic Total Gross,Distributor,Genre,MPAA Rating,Release Date,Runtime,Production Budget,Director,Producer,Actor
0,Star Wars: The Force Awakens,"$936,662,225",Buena Vista,Sci-Fi Fantasy,PG-13,"December 18, 2015",2 hrs. 16 min.,$245 million,J.J. Abrams,"J.J. Abrams,Bryan Burk,Kathleen Kennedy","John Boyega,Daisy Ridley,Oscar Isaac,Andy Serkis,Harrison Ford,Carrie Fisher,Mark Hamill,Anthony Daniels,Peter Mayhew,Lupita Nyong'o,Simon Pegg"
1,Jurassic World,"$652,270,625",Universal,Action / Adventure,PG-13,"June 12, 2015",2 hrs. 4 min.,$150 million,Colin Trevorrow,"Patrick Crowley,Jon Jashni,Frank Marshall,Steven Spielberg,Thomas Tull","Omar Sy,Chris Pratt,Bryce Dallas Howard,Jake Johnson,Irrfan Khan"
2,Avengers: Age of Ultron,"$459,005,868",Buena Vista,Action / Adventure,PG-13,"May 1, 2015",2 hrs. 21 min.,$250 million,Joss Whedon,"Victoria Alonso,Louis D'Esposito,Jon Favreau,Kevin Feige,Alan Fine,Stan Lee","Robert Downey, Jr.,Chris Hemsworth,Mark Ruffalo,Chris Evans,Scarlett Johansson,Jeremy Renner,Don Cheadle,Aaron Johnson,Elizabeth Olsen,Paul Bettany,Anthony Mackie,Idris Elba,Stellan Skarsgard,Samuel L. Jackson,Josh Brolin"
3,Inside Out,"$356,461,711",Buena Vista,Animation,PG,"June 19, 2015",1 hrs. 34 min.,$175 million,Pete Docter,"John Lasseter,Jonas Rivera","Mindy Kaling,Diane Lane"
4,Furious 7,"$353,007,020",Universal,Action,PG-13,"April 3, 2015",2 hrs. 17 min.,$190 million,James Wan,"Vin Diesel,Neal H. Moritz,Thomas Tull","Tony Jaa,Vin Diesel,Paul Walker,Dwayne Johnson,Michelle Rodriguez,Jordana Brewster,Tyrese Gibson,Chris 'Ludacris' Bridges,Lucas Black,Jason Statham,Djimon Hounsou,Kurt Russell"
5,Minions,"$336,045,770",Universal,Animation,PG,"July 10, 2015",1 hrs. 31 min.,$74 million,Pierre Coffin,"Janet Healy,Christopher Meledandri,Chris Renaud","Sandra Bullock,Jon Hamm,Michael Keaton,Allison Janney,Steve Coogan,Steve Carell"
6,The Hunger Games: Mockingjay - Part 2,"$281,723,902",Lionsgate,Action / Adventure,PG-13,"November 20, 2015",2 hrs. 17 min.,$160 million,Francis Lawrence,N/A,"Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Woody Harrelson,Philip Seymour Hoffman,Julianne Moore,Elizabeth Banks,Jena Malone,Jeffrey Wright,Stanley Tucci"
7,The Martian,"$228,433,663",Fox,Sci-Fi,PG-13,"October 2, 2015",2 hrs. 21 min.,$108 million,Ridley Scott,"Simon Kinberg,Ridley Scott","Sean Bean,Jessica Chastain,Matt Damon,Chiwetel Ejiofor,Kate Mara,Sebastian Stan,Kristen Wiig"
8,Cinderella (2015),"$201,151,353",Buena Vista,Fantasy,PG,"March 13, 2015",1 hrs. 52 min.,$95 million,Kenneth Branagh,Simon Kinberg,"Cate Blanchett,Helena Bonham Carter,Stellan Skarsgard"
9,Spectre,"$200,074,609",Sony / Columbia,Action,PG-13,"November 6, 2015",2 hrs. 28 min.,$245 million,Sam Mendes,"Barbara Broccoli,Michael G. Wilson","Daniel Craig,Christoph Waltz,Ralph Fiennes,Dave Bautista,Monica Bellucci,Ben Whishaw,Naomie Harris"
