,Name,Domestic Total Gross,Distributor,Genre,MPAA Rating,Release Date,Runtime,Production Budget,Director,Producer,Actor
0,How the Grinch Stole Christmas,"$260,044,825",Universal,Family Comedy,PG,"November 17, 2000",1 hrs. 44 min.,$123 million,Ron Howard,"Brian Grazer,Ron Howard",Jim Carrey
1,Cast Away,"$233,632,142",Fox,Drama,PG-13,"December 22, 2000",2 hrs. 23 min.,$90 million,Robert Zemeckis,Tom Hanks,"Tom Hanks,Helen Hunt"
2,Mission: Impossible II,"$215,409,889",Paramount,Action,PG-13,"May 24, 2000",2 hrs. 3 min.,$125 million,John Woo,"Tom Cruise,Paula Wagner","Tom Cruise,Thandie Newton,Brendan Gleeson,Anthony Hopkins"
3,Gladiator,"$187,705,427",DreamWorks,Historical Epic,R,"May 5, 2000",2 hrs. 35 min.,$103 million,Ridley Scott,Douglas Wick,"Russell Crowe,Joaquin Phoenix"
4,What Women Want,"$182,811,707",Paramount,Fantasy Comedy,PG-13,"December 15, 2000",2 hrs. 7 min.,$70 million,Nancy Meyers,"Susan Cartsonis,Nancy Meyers","Mel Gibson,Helen Hunt,Marisa Tomei,Alan Alda"
5,The Perfect Storm,"$182,618,434",Warner Bros.,Action Drama,PG-13,"June 30, 2000",2 hrs. 9 min.,$140 million,Wolfgang Petersen,N/A,"George Clooney,Mark Wahlberg,Diane Lane,John C. Reilly"
6,Meet the Parents,"$166,244,045",Universal,Comedy,PG-13,"October 6, 2000",1 hrs. 48 min.,$55 million,Jay Roach,N/A,"Robert DeNiro,Ben Stiller"
7,X-Men,"$157,299,717",Fox,Action / Adventure,PG-13,"July 14, 2000",1 hrs. 44 min.,$75 million,Bryan Singer,"Avi Arad,Tom DeSanto,Lauren Schuler Donner,Kevin Feige,Stan Lee,Ralph Winter","Hugh Jackman,Patrick Stewart,Ian McKellen,Famke Janssen,James Marsden,Halle Berry,Anna Paquin,Rebecca Romijn"
8,Scary Movie,"$157,019,771",Miramax,Horror Comedy,R,"July 7, 2000",1 hrs. 28 min.,$19 million,Keenen Ivory Wayans,"Brad Grey,Lee R. Mayes,Peter Safran","Shawn Wayans,Marlon Wayans,Anna Faris,Regina Hall"
9,What Lies Beneath,"$155,464,351",DreamWorks,Horror,PG-13,"July 21, 2000",2 hrs. 10 min.,$100 million,Robert Zemeckis,N/A,"Harrison Ford,Michelle Pfeiffer"
10,Dinosaur,"$137,748,063",Buena Vista,Animation,PG,"May 19, 2000",1 hrs. 22 min.,$127.5 million,N/A,N/A,N/A
11,"Crouching Tiger, Hidden Dragon","$128,078,872",Sony Classics,Foreign / Action,PG-13,"December 8, 2000",2 hrs. 0 min.,$17 million,Ang Lee,N/A,Zhang Ziyi
12,Erin Brockovich,"$125,595,205",Universal,Drama,R,"March 17, 2000",2 hrs. 10 min.,$52 million,Steven Soderbergh,"Gail Lyon,Michael Shamberg,Stacey Sher","Aaron Eckhart,Julia Roberts"
13,Charlie's Angels,"$125,305,545",Sony / Columbia,Action Comedy,PG-13,"November 3, 2000",1 hrs. 38 min.,$93 million,McG,N/A,"Cameron Diaz,Drew Barrymore,Lucy Liu,Bill Murray,Sam Rockwell"
14,Traffic,"$124,115,725",USA Films,Crime Drama,R,"December 27, 2000",2 hrs. 27 min.,N/A,Steven Soderbergh,"Graham King,Edward Zwick","Michael Douglas,Don Cheadle,Benicio Del Toro,Dennis Quaid,Catherine Zeta-Jones"
15,The Nutty Professor II: The Klumps,"$123,309,890",Universal,Comedy,PG-13,"July 28, 2000",1 hrs. 46 min.,$84 million,Peter Segal,"Brian Grazer,Tom Shadyac",Eddie Murphy
16,Big Momma's House,"$117,559,438",Fox,Action Comedy,PG-13,"June 2, 2000",1 hrs. 38 min.,$30 million,Raja Gosnell,"Rodney M. Liber,Arnon Milchan","Martin Lawrence,Nia Long,Paul Giamatti,Terrence Howard"
17,Remember the Titans,"$115,654,751",Buena Vista,Sports Drama,PG,"September 29, 2000",1 hrs. 53 min.,$30 million,Boaz Yakin,Jerry Bruckheimer,"Denzel Washington,Hayden Panettiere,Kate Bosworth"
18,The Patriot,"$113,330,342",Sony / Columbia,War,R,"June 28, 2000",2 hrs. 44 min.,$110 million,Roland Emmerich,"Dean Devlin,Mark Gordon","Mel Gibson,Heath Ledger,Chris Cooper"
