,Name,Domestic Total Gross,Distributor,Genre,MPAA Rating,Release Date,Runtime,Production Budget,Director,Producer,Actor
0,Titanic,"$600,788,188Domestic Lifetime Gross $659,363,944",Paramount,Romance,PG-13,"December 19, 1997",3 hrs. 14 min.,$200 million,James Cameron,Jon Landau,"Leonardo DiCaprio,Kate Winslet,Kathy Bates,Bill Paxton"
1,Men in Black,"$250,690,539",Sony / Columbia,Sci-Fi Comedy,PG-13,"July 2, 1997",1 hrs. 37 min.,$90 million,Barry Sonnenfeld,Steven Spielberg,"Tommy Lee Jones,Will Smith"
2,The Lost World: Jurassic Park,"$229,086,679",Universal,Sci-Fi Horror,PG-13,"May 23, 1997",2 hrs. 9 min.,$73 million,Steven Spielberg,"Kathleen Kennedy,Gerald R. Molen,Colin Wilson","Jeff Goldblum,Julianne Moore,Vince Vaughn"
3,Liar Liar,"$181,410,615",Universal,Fantasy Comedy,PG-13,"March 21, 1997",1 hrs. 26 min.,N/A,Tom Shadyac,"Michael Bostick,Brian Grazer","Jim Carrey,Cary Elwes"
4,Air Force One,"$172,956,409",Sony / Columbia,Action Thriller,R,"July 25, 1997",2 hrs. 4 min.,$85 million,Wolfgang Petersen,Marc Abraham,"Glenn Close,Harrison Ford,William H. Macy,Gary Oldman"
5,As Good as It Gets,"$148,478,011",Sony / Columbia,Romantic Comedy,PG-13,"December 23, 1997",2 hrs. 19 min.,$50 million,James L. Brooks,"Richard Sakai,Laura Ziskin","Jack Nicholson,Helen Hunt,Greg Kinnear,Cuba Gooding, Jr."
6,Good Will Hunting,"$138,433,435",Miramax,Drama,R,"December 5, 1997",2 hrs. 6 min.,N/A,Gus Van Sant,"Lawrence Bender,Chris Moore","Robin Williams,Matt Damon,Ben Affleck,Stellan Skarsgard"
7,Star Wars (Special Edition),"$138,257,865Domestic Lifetime Gross $460,998,007",Fox,Sci-Fi Fantasy,PG,"January 31, 1997",2 hrs. 5 min.,N/A,N/A,N/A,N/A
8,My Best Friend's Wedding,"$127,120,029",Sony / Columbia,Romantic Comedy,PG-13,"June 20, 1997",1 hrs. 45 min.,$38 million,P.J. Hogan,"Patricia Whitcher,Jerry Zucker","Julia Roberts,Cameron Diaz"
9,Tomorrow Never Dies,"$125,304,276",MGM,Action,PG-13,"December 19, 1997",1 hrs. 59 min.,N/A,N/A,"Barbara Broccoli,Michael G. Wilson","Pierce Brosnan,Jonathan Pryce,Michelle Yeoh,Judi Dench"
10,Face/Off,"$112,276,146",Paramount,Action,R,"June 27, 1997",2 hrs. 18 min.,$80 million,John Woo,Michael Douglas,"John Travolta,Nicolas Cage,Joan Allen"
11,Batman and Robin,"$107,325,195",Warner Bros.,Action / Adventure,PG-13,"June 20, 1997",2 hrs. 5 min.,$125 million,Joel Schumacher,N/A,"Arnold Schwarzenegger,George Clooney,Chris O'Donnell,Uma Thurman,Alicia Silverstone"
12,George of the Jungle,"$105,263,257",Buena Vista,Family Comedy,PG,"July 18, 1997",1 hrs. 32 min.,$55 million,N/A,"David Hoberman,Jordan Kerner","Brendan Fraser,Leslie Mann,Thomas Haden Church"
13,Scream 2,"$101,363,301",Dimension Films,Horror,R,"December 12, 1997",2 hrs. 0 min.,$24 million,Wes Craven,Cathy Konrad,"Neve Campbell,Courteney Cox,Sarah Michelle Gellar,Timothy Olyphant,Jada Pinkett-Smith,Liev Schreiber,Omar Epps"
14,Con Air,"$101,117,573",Buena Vista,Action,R,"June 6, 1997",1 hrs. 55 min.,$75 million,Simon West,Jerry Bruckheimer,"Nicolas Cage,John Cusack,John Malkovich"
15,Contact,"$100,920,329",Warner Bros.,Sci-Fi,PG,"July 11, 1997",2 hrs. 30 min.,$90 million,Robert Zemeckis,Lynda Obst,"Jodie Foster,Matthew McConaughey"
16,Hercules,"$99,112,101",Buena Vista,Animation,G,"June 15, 1997",1 hrs. 32 min.,$85 million,N/A,N/A,N/A
17,Flubber,"$92,977,226",Buena Vista,Family Comedy,PG,"November 26, 1997",1 hrs. 33 min.,N/A,N/A,John Hughes,Robin Williams
18,Conspiracy Theory,"$75,982,834",Warner Bros.,Thriller,R,"August 8, 1997",2 hrs. 9 min.,N/A,Richard Donner,"Joel Silver,Jim Van Wyck","Mel Gibson,Julia Roberts,Patrick Stewart"
