,Name,Domestic Total Gross,Distributor,Genre,MPAA Rating,Release Date,Runtime,Production Budget,Director,Producer,Actor
0,Star Wars: Episode III - Revenge of the Sith,"$380,270,577Domestic Lifetime Gross $380,270,577",Fox,Sci-Fi Fantasy,PG-13,"May 19, 2005",2 hrs. 26 min.,$113 million,George Lucas,"George Lucas,Rick McCallum","Anthony Daniels,Christopher Lee,Ian McDiarmid,Ewan McGregor,Hayden Christensen,Natalie Portman,Samuel L. Jackson"
1,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","$291,710,957",Buena Vista,Fantasy,PG,"December 9, 2005",2 hrs. 12 min.,$180 million,Andrew Adamson,Mark Johnson,"Tilda Swinton,James McAvoy"
2,Harry Potter and the Goblet of Fire,"$290,013,036",Warner Bros.,Fantasy,PG-13,"November 18, 2005",2 hrs. 33 min.,$150 million,Mike Newell,David Heyman,"Daniel Radcliffe,Emma Watson,Rupert Grint,Ralph Fiennes,Brendan Gleeson,Robert Pattinson"
3,War of the Worlds,"$234,280,354",Paramount,Sci-Fi Horror,PG-13,"June 29, 2005",1 hrs. 57 min.,$132 million,Steven Spielberg,"Kathleen Kennedy,Paula Wagner,Colin Wilson","Tom Cruise,Dakota Fanning,Tim Robbins"
4,King Kong,"$218,080,025",Universal,Period Adventure,PG-13,"December 14, 2005",3 hrs. 7 min.,$207 million,Peter Jackson,"Peter Jackson,Fran Walsh","Naomi Watts,Jack Black,Adrien Brody,Andy Serkis,Jamie Bell"
5,Wedding Crashers,"$209,255,921",New Line,Comedy,R,"July 15, 2005",1 hrs. 53 min.,$40 million,David Dobkin,Andrew Panay,"Owen Wilson,Vince Vaughn,Rachel McAdams,Christopher Walken,Isla Fisher,Bradley Cooper"
6,Charlie and the Chocolate Factory,"$206,459,076",Warner Bros.,Family Adventure,PG,"July 15, 2005",1 hrs. 46 min.,$150 million,Tim Burton,Brad Grey,"Johnny Depp,Freddie Highmore,Helena Bonham Carter"
7,Batman Begins,"$205,343,774Domestic Lifetime Gross $206,852,432",Warner Bros.,Action / Adventure,PG-13,"June 15, 2005",2 hrs. 20 min.,$150 million,Christopher Nolan,"Larry J. Franco,Charles Roven,Emma Thomas","Christian Bale,Michael Caine,Liam Neeson,Morgan Freeman,Gary Oldman,Katie Holmes,Cillian Murphy"
8,Madagascar,"$193,595,521",DreamWorks,Animation,PG,"May 27, 2005",1 hrs. 26 min.,N/A,"Eric Darnell,Tom McGrath",Mireille Soria,"Ben Stiller,Chris Rock,David Schwimmer,Jada Pinkett-Smith,Cedric the Entertainer,Sacha Baron Cohen"
9,Mr. & Mrs. Smith,"$186,336,279",Fox,Action Comedy,PG-13,"June 10, 2005",1 hrs. 55 min.,$110 million,Doug Liman,"Akiva Goldsman,Arnon Milchan","Brad Pitt,Angelina Jolie,Vince Vaughn,Adam Brody"
10,Hitch,"$179,495,555",Sony / Columbia,Romantic Comedy,PG-13,"February 11, 2005",1 hrs. 55 min.,$70 million,Andy Tennant,"James Lassiter,Will Smith,Michael Tadross","Will Smith,Eva Mendes,Kevin James"
11,The Longest Yard,"$158,119,460",Paramount,Sports Comedy,PG-13,"May 27, 2005",1 hrs. 49 min.,$82 million,Peter Segal,"Jack Giarraputo,Tim Herlihy,Heather Parry,Adam Sandler","Adam Sandler,Chris Rock"
12,Fantastic Four (2005),"$154,696,080",Fox,Action / Adventure,PG-13,"July 8, 2005",2 hrs. 3 min.,$100 million,Tim Story,"Avi Arad,Chris Columbus,Bernd Eichinger,Kevin Feige,Stan Lee,Ralph Winter","Ioan Gruffudd,Jessica Alba,Chris Evans"
13,Chicken Little,"$135,386,665",Buena Vista,Animation,G,"November 4, 2005",1 hrs. 21 min.,$150 million,N/A,N/A,N/A
14,Robots,"$128,200,012",Fox,Animation,PG,"March 11, 2005",1 hrs. 30 min.,$75 million,"Carlos Saldanha,Chris Wedge","John C. Donkin,Christopher Meledandri","Ewan McGregor,Halle Berry,Greg Kinnear,Amanda Bynes,Robin Williams,Jim Broadbent"
15,Walk the Line,"$119,519,402",Fox,Music Drama,PG-13,"November 18, 2005",2 hrs. 15 min.,$28 million,James Mangold,"James Keach,Cathy Konrad","Joaquin Phoenix,Reese Witherspoon,Ginnifer Goodwin"
16,The Pacifier,"$113,086,868",Buena Vista,Family Comedy,PG,"March 4, 2005",1 hrs. 31 min.,$56 million,Adam Shankman,"Gary Barber,Roger Birnbaum,Jennifer Gibgot,Jonathan Glickman,Adam Shankman,George Zakk","Vin Diesel,Max Thieriot"
17,Fun with Dick and Jane,"$110,332,737",Sony / Columbia,Crime Comedy,PG-13,"December 21, 2005",1 hrs. 30 min.,$100 million,Dean Parisot,"Jim Carrey,Brian Grazer","Jim Carrey,Tea Leoni,Alec Baldwin"
18,The 40-Year-Old Virgin,"$109,449,237",Universal,Comedy,R,"August 19, 2005",1 hrs. 56 min.,$26 million,Judd Apatow,"Judd Apatow,Shauna Robertson,Seth Rogen,Clayton Townsend","Steve Carell,Paul Rudd,Seth Rogen,Elizabeth Banks,Leslie Mann,Kat Dennings"
19,Flightplan,"$89,707,299",Buena Vista,Thriller,PG-13,"September 23, 2005",1 hrs. 33 min.,N/A,Robert Schwentke,Brian Grazer,"Jodie Foster,Peter Sarsgaard,Sean Bean,Erika Christensen"
20,Saw II,"$87,039,965",Lions Gate,Horror,R,"October 28, 2005",1 hrs. 31 min.,$4 million,Darren Lynn Bousman,"James Wan,Leigh Whannell",N/A
21,Brokeback Mountain,"$83,043,761",Focus Features,Western,R,"December 9, 2005",2 hrs. 15 min.,$14 million,Ang Lee,N/A,"Heath Ledger,Jake Gyllenhaal,Anne Hathaway,Michelle Williams,Randy Quaid"
22,Monster-in-Law,"$82,931,301",New Line,Comedy,PG-13,"May 13, 2005",1 hrs. 35 min.,$43 million,Robert Luketic,"Chris Bender,J.C. Spink","Jennifer Lopez,Adam Scott"
23,Are We There Yet?,"$82,674,398",Sony (Revolution),Family Comedy,PG,"January 21, 2005",1 hrs. 34 min.,$32 million,N/A,"Matt Alvarez,Ice Cube,Todd Garner","Ice Cube,Nia Long"
24,Cheaper by the Dozen 2,"$82,571,173",Fox,Family Comedy,PG,"December 21, 2005",1 hrs. 40 min.,N/A,Adam Shankman,"Jennifer Gibgot,Adam Shankman","Steve Martin,Bonnie Hunt,Piper Perabo,Hilary Duff"
25,The Dukes of Hazzard,"$80,270,227",Warner Bros.,Action Comedy,PG-13,"August 5, 2005",1 hrs. 46 min.,$50 million,Jay Chandrasekhar,"Bill Gerber,Dana Goldberg",Johnny Knoxville
26,March of the Penguins,"$77,437,223",Warner Independent,Documentary,G,"June 24, 2005",1 hrs. 25 min.,N/A,N/A,N/A,N/A
27,The Ring Two,"$76,231,249",DreamWorks,Horror,PG-13,"March 18, 2005",1 hrs. 47 min.,N/A,N/A,"Chris Bender,Roy Lee,Michelle Weisler",Naomi Watts
28,Constantine,"$75,976,178",Warner Bros.,Horror,R,"February 18, 2005",2 hrs. 1 min.,$100 million,Francis Lawrence,"Gilbert Adler,Lorenzo di Bonaventura,Lauren Schuler Donner,Akiva Goldsman,Erwin Stoff","Keanu Reeves,Rachel Weisz,Shia LaBeouf,Djimon Hounsou,Tilda Swinton"
29,The Exorcism of Emily Rose,"$75,072,454",Sony / Screen Gems,Horror,PG-13,"September 9, 2005",1 hrs. 54 min.,$19 million,Scott Derrickson,"Paul Harris Boardman,Beau Flynn,Gary Lucchesi,Tom Rosenberg,Tripp Vinson,Julie Yorn","Laura Linney,Tom Wilkinson"
30,Four Brothers,"$74,494,381",Paramount,Action / Crime,R,"August 12, 2005",1 hrs. 48 min.,$45 million,John Singleton,Lorenzo di Bonaventura,"Mark Wahlberg,Tyrese Gibson,Garrett Hedlund,Terrence Howard,Taraji P. Henson"
31,Sin City,"$74,103,820",Dimension Films,Crime,R,"April 1, 2005",2 hrs. 5 min.,$40 million,"Frank Miller,Robert Rodriguez",N/A,"Bruce Willis,Mickey Rourke,Jessica Alba,Clive Owen,Rutger Hauer,Elijah Wood,Benicio Del Toro,Michael Clarke Duncan,Carla Gugino,Brittany Murphy,Josh Hartnett"
32,The Interpreter,"$72,708,161",Universal,Thriller,PG-13,"April 22, 2005",2 hrs. 8 min.,$80 million,Sydney Pollack,"Tim Bevan,Eric Fellner,Anthony Minghella,Kevin Misher,Sydney Pollack","Nicole Kidman,Sean Penn,Sydney Pollack"
33,Guess Who,"$68,915,888",Sony / Columbia,Comedy,PG-13,"March 25, 2005",1 hrs. 44 min.,N/A,N/A,Erwin Stoff,"Bernie Mac,Ashton Kutcher,Zoe Saldana"
34,Sahara,"$68,671,925",Paramount,Adventure,PG-13,"April 8, 2005",2 hrs. 4 min.,$130 million,N/A,N/A,"Matthew McConaughey,Penelope Cruz,William H. Macy"
