,Name,Domestic Total Gross,Distributor,Genre,MPAA Rating,Release Date,Runtime,Production Budget,Director,Producer,Actor
0,Toy Story 3,"$415,004,880",Buena Vista,Animation,G,"June 18, 2010",1 hrs. 43 min.,$200 million,Lee Unkrich,"Darla K. Anderson,John Lasseter","Tom Hanks,Michael Keaton,Tim Allen"
1,Alice in Wonderland (2010),"$334,191,110",Buena Vista,Family Adventure,PG,"March 5, 2010",1 hrs. 49 min.,$200 million,Tim Burton,Joe Roth,"Mia Wasikowska,Johnny Depp,Helena Bonham Carter,Anne Hathaway,Michael Sheen,Alan Rickman"
2,Iron Man 2,"$312,433,331",Paramount,Action / Adventure,PG-13,"May 7, 2010",2 hrs. 5 min.,$200 million,Jon Favreau,"Louis D'Esposito,Susan Downey,Jon Favreau,Kevin Feige,Alan Fine,Stan Lee,David Maisel,Denis L. Stewart","Robert Downey, Jr.,Don Cheadle,Scarlett Johansson,Gwyneth Paltrow,Sam Rockwell,Mickey Rourke,Samuel L. Jackson,Clark Gregg,John Slattery"
3,The Twilight Saga: Eclipse,"$300,531,751",Summit Entertainment,Romance,PG-13,"June 30, 2010",2 hrs. 4 min.,$68 million,David Slade,"Marty Bowen,Wyck Godfrey,Karen Rosenfelt","Kristen Stewart,Robert Pattinson,Taylor Lautner,Ashley Greene,Billy Burke,Kellan Lutz,Jackson Rathbone,Dakota Fanning"
4,Harry Potter and the Deathly Hallows Part 1,"$295,983,305",Warner Bros.,Fantasy,PG-13,"November 19, 2010",2 hrs. 30 min.,N/A,David Yates,N/A,"Daniel Radcliffe,Rupert Grint,Emma Watson,Helena Bonham Carter,Ralph Fiennes"
5,Inception,"$292,576,195",Warner Bros.,Sci-Fi Action,PG-13,"July 16, 2010",2 hrs. 28 min.,$160 million,Christopher Nolan,"Christopher Nolan,Emma Thomas,Thomas Tull","Leonardo DiCaprio,Joseph Gordon-Levitt,Marion Cotillard,Ellen Page,Tom Hardy,Cillian Murphy,Michael Caine"
6,Despicable Me,"$251,513,985",Universal,Animation,PG,"July 9, 2010",1 hrs. 35 min.,$69 million,"Pierre Coffin,Chris Renaud","Janet Healy,Christopher Meledandri","Steve Carell,Jason Segel,Russell Brand"
7,Shrek Forever After,"$238,736,787",Paramount (DreamWorks),Animation,PG,"May 21, 2010",1 hrs. 33 min.,$165 million,Mike Mitchell,N/A,"Mike Myers,Eddie Murphy,Cameron Diaz,Antonio Banderas"
8,How to Train Your Dragon,"$217,581,231",Paramount (DreamWorks),Animation,PG,"March 26, 2010",1 hrs. 38 min.,$165 million,"Dean DeBlois,Chris Sanders","Kristine Belson,Tim Johnson","Jay Baruchel,Gerard Butler,America Ferrera,Jonah Hill,Kristen Wiig,Christopher Mintz-Plasse"
9,Tangled,"$200,821,936",Buena Vista,Animation,PG,"November 24, 2010",1 hrs. 40 min.,$260 million,N/A,John Lasseter,"Mandy Moore,Zachary Levi,Ron Perlman"
10,The Karate Kid,"$176,591,618",Sony / Columbia,Action Drama,PG,"June 11, 2010",2 hrs. 20 min.,$40 million,Harald Zwart,"James Lassiter,Will Smith","Jaden Smith,Jackie Chan,Taraji P. Henson"
11,Tron Legacy,"$172,062,763",Buena Vista,Sci-Fi Action,PG,"December 17, 2010",2 hrs. 5 min.,$170 million,Joseph Kosinski,"Sean Bailey,Steven Lisberger,Jeffrey Silver","Jeff Bridges,Garrett Hedlund,Olivia Wilde,Michael Sheen"
12,True Grit,"$171,243,005",Paramount,Western,PG-13,"December 22, 2010",1 hrs. 50 min.,$38 million,"Ethan Coen,Joel Coen","Ethan Coen,Joel Coen,David Ellison,Megan Ellison,Scott Rudin,Paul Schwake,Steven Spielberg","Jeff Bridges,Hailee Steinfeld,Matt Damon,Josh Brolin"
13,Clash of the Titans (2010),"$163,214,888",Warner Bros.,Fantasy,PG-13,"April 2, 2010",1 hrs. 58 min.,$125 million,Louis Leterrier,"Jon Jashni,Thomas Tull","Sam Worthington,Liam Neeson,Ralph Fiennes,Gemma Arterton,Mads Mikkelsen,Alexa Davalos"
14,Grown Ups,"$162,001,186",Sony / Columbia,Comedy,PG-13,"June 25, 2010",1 hrs. 42 min.,$80 million,Dennis Dugan,"Jack Giarraputo,Tim Herlihy,Steve Koren,Adam Sandler","Adam Sandler,Kevin James,Chris Rock,Rob Schneider,David Spade,Salma Hayek,Maria Bello"
15,Little Fockers,"$148,438,600",Universal,Comedy,PG-13,"December 22, 2010",1 hrs. 38 min.,$100 million,Paul Weitz,"Ryan Kavanaugh,Daniel Lupi","Ben Stiller,Robert DeNiro,Dustin Hoffman,Barbra Streisand,Owen Wilson,Jessica Alba"
16,Megamind,"$148,415,853",Paramount (DreamWorks),Animation,PG,"November 5, 2010",1 hrs. 36 min.,$130 million,Tom McGrath,"Lara Breay,Denise Nolan Cascino,Ben Stiller","Will Ferrell,Brad Pitt,Tina Fey,Jonah Hill"
17,The King's Speech,"$135,453,143Domestic Lifetime Gross $138,797,449",Weinstein Company,Historical Drama,R,"November 26, 2010",1 hrs. 58 min.,$15 million,Tom Hooper,"Iain Canning,Geoffrey Rush,Gareth Unwin","Colin Firth,Geoffrey Rush,Helena Bonham Carter,Guy Pearce"
18,The Last Airbender,"$131,772,187",Paramount,Fantasy,PG,"July 1, 2010",1 hrs. 43 min.,$150 million,M. Night Shyamalan,"Scott Aversano,Sam Mercer,M. Night Shyamalan,Frank Marshall,Kathleen Kennedy","Noah Ringer,Dev Patel,Jackson Rathbone"
19,Shutter Island,"$128,012,934",Paramount,Period Drama,R,"February 19, 2010",2 hrs. 18 min.,$80 million,Martin Scorsese,"Brad Fischer,Laeta Kalogridis,Dennis Lehane,Gianni Nunnari,Martin Scorsese","Leonardo DiCaprio,Mark Ruffalo,Ben Kingsley,Michelle Williams,Jackie Earle Haley"
20,The Other Guys,"$119,219,978",Sony / Columbia,Action Comedy,PG-13,"August 6, 2010",1 hrs. 47 min.,$100 million,Adam McKay,"Patrick Crowley,Chris Henchy,Adam McKay","Will Ferrell,Mark Wahlberg,Dwayne Johnson,Eva Mendes,Samuel L. Jackson,Michael Keaton,Steve Coogan,Rob Riggle,Ray Stevenson"
21,Salt,"$118,311,368",Sony / Columbia,Action Thriller,PG-13,"July 23, 2010",1 hrs. 39 min.,$110 million,Phillip Noyce,"Lorenzo di Bonaventura,Mark Vahradian","Angelina Jolie,Liev Schreiber,Chiwetel Ejiofor"
22,Jackass 3-D,"$117,229,692",Paramount,Comedy,R,"October 15, 2010",1 hrs. 34 min.,$20 million,Jeff Tremaine,"Spike Jonze,Jeff Tremaine",Johnny Knoxville
23,Valentine's Day,"$110,485,654",Warner Bros. (New Line),Romantic Comedy,PG-13,"February 12, 2010",1 hrs. 57 min.,$52 million,Garry Marshall,N/A,"Jessica Alba,Kathy Bates,Jessica Biel,Bradley Cooper,Jamie Foxx,Jennifer Garner,Topher Grace,Anne Hathaway,Ashton Kutcher,Queen Latifah,Taylor Lautner,Julia Roberts,Emma Roberts"
24,Black Swan,"$106,954,678",Fox Searchlight,Drama / Thriller,R,"December 3, 2010",1 hrs. 43 min.,$13 million,Darren Aronofsky,"Brad Fischer,Ari Handel","Natalie Portman,Mila Kunis,Winona Ryder"
25,Robin Hood,"$105,269,730",Universal,Period Adventure,PG-13,"May 14, 2010",2 hrs. 28 min.,$200 million,Ridley Scott,"Brian Grazer,Ryan Kavanaugh,Ridley Scott","Russell Crowe,Cate Blanchett,William Hurt,Mark Strong"
26,The Chronicles of Narnia: The Voyage of the Dawn Treader,"$104,386,950",Fox,Fantasy,PG,"December 10, 2010",1 hrs. 52 min.,$155 million,Michael Apted,"Andrew Adamson,Mark Johnson",Ben Barnes
27,The Expendables,"$103,068,524",Lionsgate,Action,R,"August 13, 2010",1 hrs. 43 min.,$80 million,Sylvester Stallone,N/A,"Sylvester Stallone,Jason Statham,Jet Li,Mickey Rourke"
28,Due Date,"$100,539,043",Warner Bros.,Comedy,R,"November 5, 2010",1 hrs. 35 min.,$65 million,Todd Phillips,"Scott Budnick,Susan Downey,Todd Phillips,Thomas Tull","Robert Downey, Jr.,Zach Galifianakis,Michelle Monaghan,Jamie Foxx"
29,Yogi Bear,"$100,246,011",Warner Bros.,Family Comedy,PG,"December 17, 2010",1 hrs. 22 min.,$80 million,N/A,Karen Rosenfelt,"Anna Faris,Justin Timberlake"
30,Date Night,"$98,711,404",Fox,Comedy,PG-13,"April 9, 2010",1 hrs. 28 min.,$55 million,Shawn Levy,N/A,"Gal Gadot,Steve Carell,Tina Fey,Mark Wahlberg,James Franco,Taraji P. Henson,Common,Mila Kunis,Leighton Meester"
31,The Social Network,"$96,962,694",Sony / Columbia,Comedy / Drama,PG-13,"October 1, 2010",2 hrs. 0 min.,$40 million,David Fincher,"Dana Brunetti,Michael De Luca,Scott Rudin","Jesse Eisenberg,Andrew Garfield,Justin Timberlake,Armie Hammer,Rooney Mara,Rashida Jones"
32,Sex and the City 2,"$95,347,692",Warner Bros. (New Line),Romantic Comedy,R,"May 27, 2010",2 hrs. 27 min.,$100 million,Michael Patrick King,Michael Patrick King,"Sarah Jessica Parker,Alice Eve,Penelope Cruz,John Corbett"
33,The Book of Eli,"$94,835,059",Warner Bros.,Action / Adventure,R,"January 15, 2010",1 hrs. 58 min.,$80 million,"Albert Hughes,Allen Hughes","Susan Downey,Broderick Johnson,Andrew A. Kosove,Joel Silver,David Valdes","Denzel Washington,Gary Oldman,Mila Kunis,Ray Stevenson"
