,Name,Domestic Total Gross,Distributor,Genre,MPAA Rating,Release Date,Runtime,Production Budget,Director,Producer,Actor
0,Saving Private Ryan,"$216,540,909",DreamWorks,War,R,"July 24, 1998",2 hrs. 50 min.,$70 million,Steven Spielberg,"Ian Bryce,Mark Gordon,Allison Lyon Segan,Steven Spielberg","Tom Hanks,Edward Burns,Vin Diesel,Giovanni Ribisi,Matt Damon"
1,Armageddon,"$201,578,182",Buena Vista,Sci-Fi Action,PG-13,"July 1, 1998",2 hrs. 24 min.,$140 million,Michael Bay,"Michael Bay,Jerry Bruckheimer,Gale Anne Hurd,Jim Van Wyck","Bruce Willis,Ben Affleck,Liv Tyler,Billy Bob Thornton,Michael Clarke Duncan"
2,There's Something About Mary,"$176,484,651",Fox,Romantic Comedy,R,"July 15, 1998",1 hrs. 59 min.,$23 million,The Farrelly Bros.,"Bradley Thomas,Charles B. Wessler","Cameron Diaz,Matt Dillon,Ben Stiller"
3,A Bug's Life,"$162,798,565",Buena Vista,Animation,G,"November 20, 1998",1 hrs. 36 min.,$120 million,John Lasseter,Darla K. Anderson,N/A
4,The Waterboy,"$161,491,646",Buena Vista,Sports Comedy,PG-13,"November 6, 1998",1 hrs. 30 min.,$23 million,Frank Coraci,"Jack Giarraputo,Adam Sandler,Robert Simonds","Adam Sandler,Kathy Bates"
5,Doctor Dolittle,"$144,156,605",Fox,Family Comedy,PG-13,"June 26, 1998",1 hrs. 25 min.,N/A,Betty Thomas,John Davis,"Eddie Murphy,Raven-Symone"
6,Rush Hour,"$141,186,864",New Line,Action Comedy,PG-13,"September 18, 1998",1 hrs. 37 min.,$33 million,Brett Ratner,"Roger Birnbaum,Jonathan Glickman,Arthur M. Sarkissian,Jay Stern","Chris Tucker,Jackie Chan,Tom Wilkinson"
7,Deep Impact,"$140,464,664",Paramount,Action Drama,PG-13,"May 8, 1998",2 hrs. 0 min.,N/A,Mimi Leder,Steven Spielberg,"Robert Duvall,Tea Leoni,Elijah Wood,Morgan Freeman"
8,Godzilla,"$136,314,294",Sony / Columbia,Sci-Fi Action,PG-13,"May 20, 1998",2 hrs. 20 min.,$130 million,Roland Emmerich,Dean Devlin,Matthew Broderick
9,Patch Adams,"$135,026,902",Universal,Comedy / Drama,PG-13,"December 25, 1998",1 hrs. 55 min.,$90 million,Tom Shadyac,Tom Shadyac,"Robin Williams,Philip Seymour Hoffman"
10,Lethal Weapon 4,"$130,444,603",Warner Bros.,Action Comedy,R,"July 10, 1998",2 hrs. 7 min.,$140 million,Richard Donner,"Joel Silver,Jim Van Wyck","Mel Gibson,Danny Glover,Rene Russo,Chris Rock,Jet Li"
