,Name,Domestic Total Gross,Distributor,Genre,MPAA Rating,Release Date,Runtime,Production Budget,Director,Producer,Actor
0,Independence Day,"$306,169,268Domestic Lifetime Gross $306,169,268",Fox,Sci-Fi Action,PG-13,"July 3, 1996",2 hrs. 33 min.,$75 million,Roland Emmerich,Dean Devlin,"Will Smith,Jeff Goldblum,Randy Quaid"
1,Twister,"$241,721,524",Warner Bros.,Action Drama,PG-13,"May 10, 1996",1 hrs. 53 min.,$92 million,Jan DeBont,"Ian Bryce,Kathleen Kennedy,Gerald R. Molen,Steven Spielberg","Helen Hunt,Bill Paxton,Cary Elwes,Philip Seymour Hoffman"
2,Mission: Impossible,"$180,981,856",Paramount,Action,PG-13,"May 22, 1996",1 hrs. 50 min.,$80 million,Brian De Palma,"Tom Cruise,Paula Wagner","Tom Cruise,Jon Voight"
3,Jerry Maguire,"$153,952,592",Sony / Columbia,Comedy / Drama,R,"December 13, 1996",2 hrs. 18 min.,$50 million,Cameron Crowe,"Laurence Mark,Richard Sakai","Tom Cruise,Cuba Gooding, Jr.,Renee Zellweger,Bonnie Hunt"
4,Ransom,"$136,492,681",Buena Vista,Thriller,R,"November 8, 1996",2 hrs. 1 min.,N/A,Ron Howard,"Brian Grazer,Scott Rudin","Mel Gibson,Rene Russo,Liev Schreiber"
5,101 Dalmatians (1996),"$136,189,294",Buena Vista,Family Comedy,G,"November 27, 1996",1 hrs. 43 min.,N/A,N/A,John Hughes,"Glenn Close,Hugh Laurie"
6,The Rock,"$134,069,511",Buena Vista,Action,R,"June 7, 1996",2 hrs. 16 min.,$75 million,Michael Bay,Jerry Bruckheimer,"Sean Connery,Nicolas Cage,Ed Harris"
7,The Nutty Professor (1996),"$128,814,019",Universal,Comedy,PG-13,"June 28, 1996",1 hrs. 43 min.,$54 million,Tom Shadyac,Brian Grazer,"Eddie Murphy,Jada Pinkett-Smith"
8,The Birdcage,"$124,060,553",MGM,Comedy,R,"March 8, 1996",1 hrs. 57 min.,N/A,Mike Nichols,Mike Nichols,Robin Williams
9,A Time to Kill,"$108,766,007",Warner Bros.,Drama / Thriller,R,"July 24, 1996",2 hrs. 29 min.,N/A,Joel Schumacher,"Hunt Lowry,Arnon Milchan","Chris Cooper,Matthew McConaughey,Sandra Bullock,Samuel L. Jackson,Kevin Spacey,Kiefer Sutherland,Ashley Judd"
10,The First Wives Club,"$105,489,203",Paramount,Comedy,PG,"September 20, 1996",1 hrs. 42 min.,N/A,N/A,Scott Rudin,"Maggie Smith,Bette Midler,Goldie Hawn,Diane Keaton,Sarah Jessica Parker"
11,Phenomenon,"$104,636,382",Buena Vista,Drama,PG,"July 5, 1996",2 hrs. 3 min.,N/A,Jon Turteltaub,N/A,"John Travolta,Forest Whitaker,Robert Duvall"
12,Scream,"$103,046,663",Dimension Films,Horror,R,"December 20, 1996",1 hrs. 50 min.,$14 million,Wes Craven,Cathy Konrad,"Neve Campbell,Courteney Cox,Matthew Lillard,Drew Barrymore"
