,Name,Domestic Total Gross,Distributor,Genre,MPAA Rating,Release Date,Runtime,Production Budget,Director,Producer,Actor
0,The Lord of the Rings: The Return of the King,"$377,027,325Domestic Lifetime Gross $377,845,905",New Line,Fantasy,PG-13,"December 17, 2003",3 hrs. 20 min.,$94 million,Peter Jackson,"Peter Jackson,Fran Walsh","Andy Serkis,Ian McKellen,Elijah Wood,Viggo Mortensen,Liv Tyler,Orlando Bloom,Ian Holm,Cate Blanchett,Karl Urban"
1,Finding Nemo,"$339,714,978Domestic Lifetime Gross $380,843,261",Buena Vista,Animation,G,"May 30, 2003",1 hrs. 44 min.,$94 million,"Andrew Stanton,Lee Unkrich",John Lasseter,"Albert Brooks,Ellen DeGeneres"
2,Pirates of the Caribbean: The Curse of the Black Pearl,"$305,413,918",Buena Vista,Period Adventure,PG-13,"July 9, 2003",2 hrs. 15 min.,$140 million,Gore Verbinski,Jerry Bruckheimer,"Johnny Depp,Geoffrey Rush,Orlando Bloom,Keira Knightley,Jack Davenport,Jonathan Pryce"
3,The Matrix Reloaded,"$281,576,461",Warner Bros.,Sci-Fi Action,R,"May 15, 2003",2 hrs. 18 min.,$150 million,Lilly & Lana Wachowski,Joel Silver,"Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,Jada Pinkett-Smith,Hugo Weaving,Monica Bellucci"
4,Bruce Almighty,"$242,829,261",Universal,Fantasy Comedy,PG-13,"May 23, 2003",1 hrs. 41 min.,$81 million,Tom Shadyac,"Gary Barber,Roger Birnbaum,Michael Bostick,Jim Carrey,Steve Koren,Mark O'Keefe,Tom Shadyac","Jim Carrey,Morgan Freeman,Jennifer Aniston,Steve Carell"
5,X2: X-Men United,"$214,949,694",Fox,Action / Adventure,PG-13,"May 2, 2003",2 hrs. 14 min.,$110 million,Bryan Singer,"Avi Arad,Tom DeSanto,Lauren Schuler Donner,Kevin Feige,Stan Lee,Bryan Singer,Ralph Winter","Patrick Stewart,Hugh Jackman,Ian McKellen,Halle Berry,Famke Janssen,James Marsden,Anna Paquin,Rebecca Romijn,Brian Cox"
6,Elf,"$173,398,518",New Line,Comedy,PG,"November 7, 2003",1 hrs. 35 min.,$33 million,Jon Favreau,Shauna Robertson,"Will Ferrell,Zooey Deschanel"
7,Terminator 3: Rise of the Machines,"$150,371,112",Warner Bros.,Sci-Fi Action,R,"July 2, 2003",1 hrs. 49 min.,$200 million,N/A,"Gale Anne Hurd,Colin Wilson","Arnold Schwarzenegger,Claire Danes"
8,The Matrix Revolutions,"$139,313,948",Warner Bros.,Sci-Fi Action,R,"November 5, 2003",2 hrs. 15 min.,$150 million,Lilly & Lana Wachowski,Joel Silver,"Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,Jada Pinkett-Smith,Hugo Weaving"
9,Cheaper by the Dozen,"$138,614,544",Fox,Family Comedy,PG,"December 25, 2003",1 hrs. 38 min.,$40 million,Shawn Levy,Robert Simonds,"Steve Martin,Bonnie Hunt,Piper Perabo,Hilary Duff,Ashton Kutcher"
10,Bad Boys II,"$138,608,444",Sony / Columbia,Action Comedy,R,"July 18, 2003",2 hrs. 27 min.,$130 million,Michael Bay,Jerry Bruckheimer,"Will Smith,Martin Lawrence"
11,Anger Management,"$135,645,823",Sony (Revolution),Comedy,PG-13,"April 11, 2003",1 hrs. 41 min.,$75 million,Peter Segal,"Todd Garner,Jack Giarraputo,Tim Herlihy,John Jacobs,Adam Sandler","Adam Sandler,Jack Nicholson,Marisa Tomei"
12,Bringing Down the House,"$132,716,677",Buena Vista,Comedy,PG-13,"March 7, 2003",1 hrs. 45 min.,$33 million,Adam Shankman,David Hoberman,"Queen Latifah,Steve Martin"
13,Hulk,"$132,177,234",Universal,Action / Adventure,PG-13,"June 20, 2003",2 hrs. 15 min.,$137 million,Ang Lee,"Avi Arad,Kevin Feige,Larry J. Franco,Gale Anne Hurd,Stan Lee","Eric Bana,Jennifer Connelly,Sam Elliott,Josh Lucas"
14,2 Fast 2 Furious,"$127,154,901",Universal,Action,PG-13,"June 6, 2003",1 hrs. 41 min.,$76 million,John Singleton,"Lee R. Mayes,Neal H. Moritz","Paul Walker,Tyrese Gibson,Eva Mendes,Chris 'Ludacris' Bridges"
15,Something's Gotta Give,"$124,728,738",Sony / Columbia,Romantic Comedy,PG-13,"December 12, 2003",2 hrs. 8 min.,$80 million,Nancy Meyers,Nancy Meyers,"Jack Nicholson,Diane Keaton,Keanu Reeves,Frances McDormand,Amanda Peet,Jon Favreau"
16,Seabiscuit,"$120,277,854",Universal,Sports Drama,PG-13,"July 25, 2003",2 hrs. 9 min.,$87 million,Gary Ross,"Gary Barber,Roger Birnbaum,Robin Bissell,Kathleen Kennedy,Frank Marshall","Tobey Maguire,Jeff Bridges,Chris Cooper,Elizabeth Banks,William H. Macy"
17,S.W.A.T.,"$116,934,650",Sony / Columbia,Action Thriller,PG-13,"August 8, 2003",1 hrs. 51 min.,$80 million,Clark Johnson,"Todd Black,Louis D'Esposito,Dan Halsted,Neal H. Moritz","Colin Farrell,Samuel L. Jackson,Michelle Rodriguez,Jeremy Renner"
18,Spy Kids 3D: Game Over,"$111,761,982",Dimension Films,Family Adventure,PG,"July 25, 2003",1 hrs. 25 min.,$38 million,Robert Rodriguez,Robert Rodriguez,"Carla Gugino,Alexa Vega,Antonio Banderas,Sylvester Stallone"
19,The Last Samurai,"$111,127,263",Warner Bros.,War,R,"December 5, 2003",2 hrs. 34 min.,$140 million,Edward Zwick,"Tom Cruise,Ted Field,Scott Kroopf,Paula Wagner,Edward Zwick",Tom Cruise
20,Freaky Friday,"$110,230,332",Buena Vista,Fantasy Comedy,PG,"August 6, 2003",1 hrs. 37 min.,$20 million,Mark S. Waters,N/A,"Lindsay Lohan,Jamie Lee Curtis"
21,Scary Movie 3,"$110,003,217",Dimension Films,Horror Comedy,PG-13,"October 24, 2003",1 hrs. 30 min.,$48 million,David Zucker,Robert K. Weiss,"Kevin Hart,Anna Faris,Regina Hall,Charlie Sheen,Leslie Nielsen"
22,The Italian Job,"$106,128,601",Paramount,Action / Crime,PG-13,"May 30, 2003",1 hrs. 51 min.,$60 million,F. Gary Gray,"Tim Bevan,Donald De Line,Eric Fellner","Mark Wahlberg,Charlize Theron,Edward Norton,Jason Statham,Seth Green"
23,How to Lose a Guy in 10 Days,"$105,813,373",Paramount,Romantic Comedy,PG-13,"February 7, 2003",1 hrs. 56 min.,N/A,N/A,"Lynda Obst,Richard Vane","Kate Hudson,Matthew McConaughey"
24,American Wedding,"$104,565,114",Universal,Comedy,R,"August 1, 2003",1 hrs. 42 min.,$55 million,N/A,"Chris Bender,Chris Moore,Chris Weitz,Paul Weitz",January Jones
25,Daddy Day Care,"$104,297,061",Sony (Revolution),Comedy,PG,"May 9, 2003",1 hrs. 32 min.,$60 million,Steve Carr,"John Davis,Wyck Godfrey,Joe Roth",Eddie Murphy
26,Daredevil,"$102,543,518",Fox,Action / Adventure,PG-13,"February 14, 2003",1 hrs. 37 min.,$78 million,Mark Steven Johnson,"Avi Arad,Kevin Feige,Stan Lee,Arnon Milchan","Ben Affleck,Jennifer Garner,Colin Farrell,Michael Clarke Duncan"
27,The Cat in the Hat,"$101,149,285",Universal,Family Comedy,PG,"November 21, 2003",1 hrs. 22 min.,$109 million,N/A,Brian Grazer,"Mike Myers,Dakota Fanning,Alec Baldwin"
28,Charlie's Angels: Full Throttle,"$100,830,111",Sony / Columbia,Action Comedy,PG-13,"June 27, 2003",1 hrs. 45 min.,$120 million,McG,Patrick Crowley,"Cameron Diaz,Drew Barrymore,Lucy Liu,Bernie Mac,Demi Moore"
29,Cold Mountain,"$95,636,509",Miramax,War Romance,R,"December 25, 2003",2 hrs. 35 min.,$79 million,Anthony Minghella,"Albert Berger,Sydney Pollack,Ron Yerxa","Jude Law,Nicole Kidman,Renee Zellweger,Brendan Gleeson"
30,Master and Commander: The Far Side of the World,"$93,927,920",Fox,War,PG-13,"November 14, 2003",2 hrs. 18 min.,$150 million,Peter Weir,N/A,"Russell Crowe,Paul Bettany"
31,"Legally Blonde 2: Red, White and Blonde","$90,186,328",MGM,Comedy,PG-13,"July 2, 2003",1 hrs. 35 min.,$45 million,N/A,Marc Platt,"Reese Witherspoon,Sally Field,Jennifer Coolidge,Luke Wilson"
32,Mystic River,"$90,135,191",Warner Bros.,Crime Drama,R,"October 8, 2003",2 hrs. 18 min.,$25 million,Clint Eastwood,"Clint Eastwood,Robert Lorenz","Sean Penn,Tim Robbins,Laurence Fishburne,Kevin Bacon,Laura Linney"
33,Brother Bear,"$85,336,277",Buena Vista,Animation,G,"October 24, 2003",1 hrs. 25 min.,N/A,N/A,N/A,N/A
34,Freddy Vs. Jason,"$82,622,655",New Line,Horror Comedy,R,"August 15, 2003",1 hrs. 38 min.,$30 million,Ronny Yu,N/A,N/A
35,School of Rock,"$81,261,177",Paramount,Comedy,PG-13,"October 3, 2003",1 hrs. 50 min.,$35 million,Richard Linklater,"Scott Aversano,Scott Rudin",Jack Black
36,The Texas Chainsaw Massacre,"$80,571,655",New Line,Horror,R,"October 17, 2003",1 hrs. 30 min.,$9.5 million,Marcus Nispel,"Michael Bay,Ted Field,Andrew Form,Brad Fuller","Jessica Biel,Mike Vogel"
37,The Haunted Mansion,"$75,847,266",Buena Vista,Family Adventure,PG,"November 26, 2003",1 hrs. 39 min.,$90 million,Rob Minkoff,Don Hahn,Eddie Murphy
38,Old School,"$75,585,093",DreamWorks,Comedy,R,"February 21, 2003",1 hrs. 31 min.,$24 million,Todd Phillips,"Joe Medjuck,Todd Phillips,Tom Pollock,Ivan Reitman","Luke Wilson,Will Ferrell,Vince Vaughn"
