,Name,Domestic Total Gross,Distributor,Genre,MPAA Rating,Release Date,Runtime,Production Budget,Director,Producer,Actor
0,Rain Man,"$172,825,435",MGM,Drama,R,"December 16, 1988",2 hrs. 13 min.,$25 million,Barry Levinson,"Mark Johnson,Jon Peters","Dustin Hoffman,Tom Cruise"
1,Who Framed Roger Rabbit,"$156,452,370",Buena Vista,Fantasy Comedy,PG,"June 24, 1988",1 hrs. 43 min.,$70 million,Robert Zemeckis,"Kathleen Kennedy,Frank Marshall,Steven Spielberg",N/A
2,Coming to America,"$128,152,301",Paramount,Romantic Comedy,R,"June 29, 1988",1 hrs. 56 min.,N/A,John Landis,N/A,Eddie Murphy
3,Big,"$114,968,774",Fox,Fantasy Comedy,PG,"June 3, 1988",1 hrs. 44 min.,N/A,Penny Marshall,N/A,Tom Hanks
4,Twins,"$111,938,388",Universal,Comedy,PG,"December 9, 1988",1 hrs. 45 min.,$15 million,Ivan Reitman,"Joe Medjuck,Ivan Reitman","Danny DeVito,Arnold Schwarzenegger"
5,Crocodile Dundee II,"$109,306,210",Paramount,Adventure Comedy,PG,"May 25, 1988",1 hrs. 50 min.,N/A,N/A,N/A,N/A
6,Die Hard,"$83,008,852",Fox,Action Thriller,R,"July 15, 1988",2 hrs. 11 min.,$28 million,John McTiernan,"Lawrence Gordon,Joel Silver","Alan Rickman,Bruce Willis"
7,The Naked Gun: From the Files of Police Squad!,"$78,756,177",Paramount,Comedy,PG-13,"December 2, 1988",1 hrs. 24 min.,N/A,David Zucker,"Jim Abrahams,Robert K. Weiss,David Zucker,Jerry Zucker",Leslie Nielsen
8,Cocktail,"$78,222,753",Buena Vista,Romance,R,"July 29, 1988",1 hrs. 44 min.,N/A,Roger Donaldson,Ted Field,Tom Cruise
9,Beetlejuice,"$73,707,461",Warner Bros.,Horror Comedy,PG,"March 30, 1988",1 hrs. 32 min.,N/A,Tim Burton,N/A,"Michael Keaton,Alec Baldwin,Winona Ryder"
10,Working Girl,"$63,779,477",Fox,Romantic Comedy,R,"December 23, 1988",1 hrs. 54 min.,N/A,Mike Nichols,Douglas Wick,"Harrison Ford,Sigourney Weaver,Alec Baldwin"
11,A Fish Called Wanda,"$62,493,712",MGM,Crime Comedy,R,"July 15, 1988",1 hrs. 48 min.,N/A,N/A,Michael Shamberg,"Jamie Lee Curtis,Kevin Kline"
12,Scrooged,"$60,328,558",Paramount,Fantasy Comedy,PG-13,"November 23, 1988",1 hrs. 40 min.,N/A,Richard Donner,N/A,Bill Murray
13,Willow,"$57,269,863",MGM,Fantasy,PG,"May 20, 1988",2 hrs. 6 min.,N/A,Ron Howard,George Lucas,Val Kilmer
14,Beaches,"$57,041,866",Buena Vista,Drama,PG-13,"December 23, 1988",2 hrs. 3 min.,N/A,Garry Marshall,N/A,Bette Midler
15,Rambo III,"$53,715,611",TriStar,Action,R,"May 25, 1988",1 hrs. 42 min.,$63 million,N/A,N/A,Sylvester Stallone
16,Oliver & Company,"$53,279,055Domestic Lifetime Gross $74,151,346",Buena Vista,Animation,G,"November 18, 1988",1 hrs. 14 min.,N/A,N/A,N/A,N/A
17,Bull Durham,"$50,888,729",Orion Pictures,Sports Comedy,R,"June 17, 1988",1 hrs. 48 min.,N/A,N/A,N/A,"Kevin Costner,Tim Robbins,Susan Sarandon"
18,A Nightmare on Elm Street 4: The Dream Master,"$49,369,899",New Line,Horror,R,"August 19, 1988",1 hrs. 39 min.,N/A,Renny Harlin,N/A,N/A
19,The Land Before Time,"$48,092,846",Universal,Animation,G,"November 18, 1988",1 hrs. 7 min.,N/A,Don Bluth,"Kathleen Kennedy,George Lucas,Frank Marshall,Steven Spielberg",N/A
20,Colors,"$46,616,067",Orion Pictures,Action / Crime,R,"April 15, 1988",2 hrs. 7 min.,N/A,N/A,N/A,"Robert Duvall,Sean Penn"
21,Young Guns,"$45,661,556",Fox,Western,R,"August 12, 1988",1 hrs. 42 min.,N/A,N/A,"James G. Robinson,Joe Roth","Kiefer Sutherland,Charlie Sheen"
22,Biloxi Blues,"$43,184,798",Universal,Comedy / Drama,PG-13,"March 25, 1988",1 hrs. 47 min.,N/A,Mike Nichols,N/A,"Matthew Broderick,Christopher Walken"
23,Dirty Rotten Scoundrels,"$42,039,085",Orion Pictures,Comedy,PG,"December 16, 1988",1 hrs. 50 min.,N/A,Frank Oz,N/A,"Steve Martin,Michael Caine"
24,The Great Outdoors,"$41,455,230",Universal,Comedy,PG,"June 17, 1988",1 hrs. 31 min.,N/A,N/A,John Hughes,Annette Bening
25,Tequila Sunrise,"$41,292,551",Warner Bros.,Romantic Thriller,R,"December 2, 1988",1 hrs. 56 min.,N/A,N/A,N/A,"Mel Gibson,Michelle Pfeiffer,Kurt Russell"
26,Big Business,"$40,150,487",Buena Vista,Comedy,PG,"June 10, 1988",1 hrs. 37 min.,N/A,Jim Abrahams,Steve Tisch,"Bette Midler,Lily Tomlin"
27,Bambi (Re-issue) (1988),"$39,047,150Domestic Lifetime Gross $102,247,150",Buena Vista,Animation,G,"July 15, 1988",1 hrs. 9 min.,N/A,N/A,N/A,N/A
28,Midnight Run,"$38,413,606",Universal,Action Comedy,R,"July 22, 1988",2 hrs. 7 min.,N/A,Martin Brest,N/A,Robert DeNiro
29,The Dead Pool,"$37,903,295",Warner Bros.,Action Thriller,R,"July 15, 1988",1 hrs. 32 min.,N/A,N/A,David Valdes,"Clint Eastwood,Liam Neeson"
30,Red Heat,"$34,994,648",TriStar,Action Comedy,R,"June 17, 1988",1 hrs. 46 min.,N/A,Walter Hill,"Gordon Carroll,Walter Hill","Arnold Schwarzenegger,Laurence Fishburne"
