,Name,Domestic Total Gross,Distributor,Genre,MPAA Rating,Release Date,Runtime,Production Budget,Director,Producer,Actor
0,Beverly Hills Cop,"$234,760,478",Paramount,Action Comedy,R,"December 5, 1984",1 hrs. 45 min.,N/A,Martin Brest,Jerry Bruckheimer,Eddie Murphy
1,Ghostbusters,"$229,242,989Domestic Lifetime Gross $242,212,467",Columbia,Horror Comedy,PG,"June 8, 1984",1 hrs. 47 min.,$30 million,Ivan Reitman,Ivan Reitman,"Bill Murray,Sigourney Weaver"
2,Indiana Jones and the Temple of Doom,"$179,870,271",Paramount,Period Adventure,PG,"May 23, 1984",1 hrs. 58 min.,$28 million,Steven Spielberg,"Kathleen Kennedy,George Lucas,Frank Marshall",Harrison Ford
3,Gremlins,"$148,168,459Domestic Lifetime Gross $153,083,102",Warner Bros.,Horror Comedy,PG,"June 8, 1984",1 hrs. 46 min.,N/A,N/A,"Kathleen Kennedy,Frank Marshall,Steven Spielberg",N/A
4,The Karate Kid,"$90,815,558",Columbia,Sports Action,PG,"June 22, 1984",2 hrs. 7 min.,N/A,N/A,N/A,N/A
5,Police Academy,"$81,198,894",Warner Bros.,Comedy,R,"March 23, 1984",1 hrs. 37 min.,N/A,N/A,N/A,N/A
6,Footloose,"$80,035,402",Paramount,Music Drama,PG,"February 17, 1984",1 hrs. 47 min.,$8.2 million,N/A,Craig Zadan,"Kevin Bacon,Sarah Jessica Parker"
7,Romancing the Stone,"$76,572,238",Fox,Romantic Adventure,PG,"March 30, 1984",1 hrs. 45 min.,N/A,Robert Zemeckis,Michael Douglas,"Michael Douglas,Danny DeVito"
8,Star Trek III: The Search for Spock,"$76,471,046",Paramount,Sci-Fi Adventure,PG,"June 1, 1984",1 hrs. 45 min.,N/A,N/A,Ralph Winter,Leonard Nimoy
9,Splash,"$69,821,334",Buena Vista,Romantic Comedy,PG,"March 9, 1984",1 hrs. 51 min.,N/A,Ron Howard,Brian Grazer,Tom Hanks
10,Purple Rain,"$68,392,977Domestic Lifetime Gross $70,261,052",Warner Bros.,Music Drama,R,"July 27, 1984",1 hrs. 51 min.,N/A,N/A,N/A,Prince
11,Amadeus,"$51,564,280Domestic Lifetime Gross $51,973,029",Orion Pictures,Music Drama,PG,"September 21, 1984",2 hrs. 38 min.,N/A,N/A,N/A,N/A
12,Tightrope,"$48,143,579",Warner Bros.,Action Thriller,R,"August 17, 1984",1 hrs. 55 min.,N/A,N/A,Clint Eastwood,Clint Eastwood
13,The Natural,"$47,951,979",TriStar,Sports Drama,PG,"May 11, 1984",2 hrs. 18 min.,N/A,Barry Levinson,Mark Johnson,"Robert Redford,Glenn Close,Kim Basinger"
14,Greystoke: The Legend of Tarzan,"$45,858,563",Warner Bros.,Period Adventure,PG,"March 30, 1984",2 hrs. 17 min.,N/A,N/A,N/A,Ian Holm
15,Revenge of the Nerds,"$40,874,452",Fox,Comedy,R,"July 20, 1984",1 hrs. 30 min.,N/A,N/A,Ted Field,N/A
16,2010,"$40,400,657",MGM,Sci-Fi Adventure,PG,"December 7, 1984",1 hrs. 56 min.,N/A,Peter Hyams,N/A,Helen Mirren
17,Breakin',"$38,682,707",Cannon Films,Music Drama,PG,"May 4, 1984",1 hrs. 26 min.,N/A,N/A,N/A,N/A
18,Bachelor Party,"$38,435,947",Fox,Comedy,R,"June 29, 1984",1 hrs. 45 min.,N/A,N/A,Joe Roth,Tom Hanks
19,Red Dawn (1984),"$38,376,497",MGM,Action,PG-13,"August 10, 1984",1 hrs. 54 min.,N/A,N/A,N/A,"Patrick Swayze,Charlie Sheen"
20,The Terminator,"$38,371,200",Orion Pictures,Sci-Fi Action,R,"October 26, 1984",1 hrs. 47 min.,$6.4 million,James Cameron,Gale Anne Hurd,"Arnold Schwarzenegger,Linda Hamilton,Lance Henriksen"
21,City Heat,"$38,348,988",Warner Bros.,Action Comedy,PG,"December 7, 1984",1 hrs. 39 min.,N/A,N/A,N/A,Clint Eastwood
22,All of Me,"$36,403,064",Universal,Fantasy Comedy,PG,"September 21, 1984",1 hrs. 33 min.,N/A,N/A,N/A,"Steve Martin,Lily Tomlin"
23,Places in the Heart,"$34,901,614",TriStar,Period Drama,PG,"September 21, 1984",1 hrs. 52 min.,N/A,Robert Benton,N/A,"Sally Field,Ed Harris,John Malkovich,Danny Glover"
24,The Killing Fields,"$34,700,291",Warner Bros.,War Drama,R,"November 2, 1984",2 hrs. 22 min.,N/A,N/A,N/A,"John Malkovich,Craig T. Nelson"
25,Friday the 13th: Final Chapter,"$32,980,880",Paramount,Horror,R,"April 13, 1984",1 hrs. 30 min.,N/A,N/A,N/A,N/A
26,Conan the Destroyer,"$31,042,035",Universal,Action Fantasy,PG,"June 29, 1984",1 hrs. 43 min.,N/A,N/A,N/A,Arnold Schwarzenegger
27,Dune,"$30,925,690",Universal,Sci-Fi Fantasy,PG-13,"December 14, 1984",2 hrs. 17 min.,$40 million,David Lynch,N/A,Virginia Madsen
28,The Gods Must Be Crazy,"$30,031,783",Fox,Comedy,PG,"April 6, 1984",1 hrs. 49 min.,N/A,N/A,N/A,N/A
29,Starman,"$28,744,356",Columbia,Sci-Fi Adventure,PG,"December 14, 1984",1 hrs. 55 min.,N/A,John Carpenter,"Michael Douglas,Larry J. Franco",Jeff Bridges
30,The Last Starfighter,"$28,733,290",Universal,Sci-Fi Adventure,PG,"July 13, 1984",1 hrs. 41 min.,N/A,N/A,N/A,N/A
31,Cannonball Run II,"$28,078,073",Warner Bros.,Comedy,PG,"June 29, 1984",1 hrs. 48 min.,N/A,N/A,N/A,N/A
32,Teachers,"$27,774,237",MGM,Comedy / Drama,R,"October 5, 1984",1 hrs. 47 min.,N/A,N/A,N/A,N/A
33,A Passage to India,"$27,187,653",Columbia,Period Drama,PG,"December 14, 1984",2 hrs. 44 min.,N/A,N/A,N/A,N/A
34,Pinocchio (Re-issue) (1984),"$26,414,038Domestic Lifetime Gross $84,254,167",Buena Vista,Animation,G,"December 21, 1984",1 hrs. 28 min.,N/A,N/A,N/A,N/A
35,Protocol,"$26,186,631",Warner Bros.,Comedy,PG,"December 21, 1984",1 hrs. 36 min.,N/A,N/A,N/A,Goldie Hawn
36,Micki and Maude,"$26,080,861",Columbia,Romantic Comedy,PG-13,"December 21, 1984",1 hrs. 57 min.,N/A,N/A,N/A,N/A
37,The Cotton Club,"$25,928,721",Orion Pictures,Crime Drama,R,"December 14, 1984",2 hrs. 7 min.,$58 million,N/A,N/A,"Richard Gere,Diane Lane"
38,The Muppets Take Manhattan,"$25,534,703",TriStar,Family Comedy,G,"July 13, 1984",1 hrs. 34 min.,N/A,Frank Oz,N/A,N/A
39,A Nightmare on Elm Street,"$25,504,513",New Line,Horror,R,"November 9, 1984",1 hrs. 31 min.,N/A,Wes Craven,N/A,Johnny Depp
40,The Woman in Red,"$25,308,147",Orion Pictures,Romantic Comedy,PG-13,"August 17, 1984",1 hrs. 27 min.,N/A,Gene Wilder,N/A,Gene Wilder
41,Moscow on the Hudson,"$25,068,724",Columbia,Comedy / Drama,R,"April 6, 1984",1 hrs. 57 min.,N/A,N/A,N/A,Robin Williams
42,The Flamingo Kid,"$23,859,382",Fox,Comedy / Drama,PG-13,"December 21, 1984",1 hrs. 40 min.,N/A,Garry Marshall,N/A,Matt Dillon
43,Sixteen Candles,"$23,686,027",Universal,Comedy,PG,"May 4, 1984",1 hrs. 33 min.,N/A,John Hughes,N/A,N/A
