,Name,Domestic Total Gross,Distributor,Genre,MPAA Rating,Release Date,Runtime,Production Budget,Director,Producer,Actor
202,Goodbye Christopher Robin,"$1,735,251",Fox Searchlight,Drama,PG,"October 13, 2017",1 hrs. 47 min.,N/A,N/A,N/A,Margot Robbie
203,Jane (2017),"$1,723,379",Abramorama,Documentary,PG,"October 20, 2017",1 hrs. 30 min.,N/A,N/A,N/A,N/A
204,Menashe,"$1,703,036",A24,Drama,PG,"July 28, 2017",1 hrs. 21 min.,N/A,N/A,N/A,N/A
205,Slamma Jamma,"$1,687,000",River Rain,Sports Drama,PG,"March 24, 2017",1 hrs. 44 min.,N/A,N/A,N/A,N/A
206,Jab Harry Met Sejal,"$1,664,648",Yash Raj,Romantic Comedy,Not Yet Rated,"August 4, 2017",2 hrs. 23 min.,N/A,N/A,N/A,N/A
207,Jolly Llb 2,"$1,654,254",FIP,Comedy / Drama,Unrated,"February 10, 2017",2 hrs. 16 min.,N/A,N/A,N/A,N/A
208,The Little Hours,"$1,647,175",Gunpowder & Sky,Comedy,Unrated,"June 30, 2017",1 hrs. 22 min.,N/A,N/A,N/A,"Aubrey Plaza,Dave Franco,John C. Reilly"
209,A Ghost Story,"$1,596,371",A24,Drama,R,"July 7, 2017",1 hrs. 27 min.,"$100,000",N/A,N/A,"Casey Affleck,Rooney Mara"
210,Professor Marston & the Wonder Women,"$1,584,759",Annapurna Pictures,Drama,R,"October 13, 2017",1 hrs. 48 min.,N/A,N/A,N/A,"Luke Evans,Rebecca Hall"
211,The Stray,"$1,579,440",Purdie Distribution,Family,PG,"October 6, 2017",1 hrs. 27 min.,N/A,N/A,N/A,N/A
212,Genesis: Paradise Lost,"$1,575,000",Fathom,Documentary,PG,"November 13, 2017",2 hrs. 10 min.,N/A,N/A,N/A,N/A
213,A Taxi Driver,"$1,527,829",Well Go USA,Drama,Unrated,"August 11, 2017",2 hrs. 17 min.,N/A,N/A,N/A,N/A
214,Sword Art Online: The Movie - Ordinal Scale,"$1,522,976",Eleven Arts,Animation,Unrated,"March 9, 2017",1 hrs. 59 min.,N/A,N/A,N/A,N/A
215,Inhumans,"$1,521,787",IMAX,Action / Adventure,Not Yet Rated,"September 1, 2017",N/A,N/A,N/A,N/A,N/A
216,The Square,"$1,502,347",Magnolia,Comedy,R,"October 27, 2017",2 hrs. 30 min.,N/A,N/A,N/A,Elisabeth Moss
217,Mully,"$1,489,771",Fathom,Documentary,Unrated,"October 3, 2017",1 hrs. 21 min.,N/A,N/A,N/A,N/A
218,Judwaa 2,"$1,431,255",FIP,Action Comedy,Unrated,"September 29, 2017",2 hrs. 25 min.,N/A,N/A,N/A,N/A
