,Name,Domestic Total Gross,Distributor,Genre,MPAA Rating,Release Date,Runtime,Production Budget,Director,Producer,Actor
0,Aladdin,"$217,350,219",Buena Vista,Animation,G,"November 13, 1992",1 hrs. 30 min.,$28 million,N/A,N/A,Robin Williams
1,Home Alone 2: Lost in New York,"$173,585,516",Fox,Family Comedy,PG,"November 20, 1992",2 hrs. 0 min.,N/A,Chris Columbus,"John Hughes,Richard Vane",Macaulay Culkin
2,Batman Returns,"$162,831,698",Warner Bros.,Action / Adventure,PG-13,"June 19, 1992",2 hrs. 6 min.,$80 million,Tim Burton,"Ian Bryce,Tim Burton,Denise Di Novi,Larry J. Franco,Jon Peters","Michael Keaton,Danny DeVito,Michelle Pfeiffer,Christopher Walken"
3,Lethal Weapon 3,"$144,731,527",Warner Bros.,Action Comedy,R,"May 15, 1992",1 hrs. 58 min.,$35 million,Richard Donner,Joel Silver,"Mel Gibson,Danny Glover,Rene Russo"
4,A Few Good Men,"$141,340,178",Columbia,Drama / Thriller,R,"December 11, 1992",2 hrs. 18 min.,$40 million,Rob Reiner,N/A,"Tom Cruise,Jack Nicholson,Demi Moore,Kevin Bacon,Kiefer Sutherland"
5,Sister Act,"$139,605,150",Buena Vista,Comedy,PG,"May 29, 1992",1 hrs. 40 min.,N/A,N/A,"Mario Iscovich,Scott Rudin",Maggie Smith
6,The Bodyguard,"$121,945,720Domestic Lifetime Gross $122,006,740",Warner Bros.,Romance,R,"November 25, 1992",2 hrs. 10 min.,N/A,N/A,"Kevin Costner,Lawrence Kasdan,Jim Wilson","Kevin Costner,Whitney Houston"
7,Wayne's World,"$121,697,323",Paramount,Comedy,PG-13,"February 14, 1992",1 hrs. 35 min.,$20 million,Penelope Spheeris,Lorne Michaels,"Mike Myers,Dana Carvey,Rob Lowe"
8,Basic Instinct,"$117,727,224",TriStar,Thriller,R,"March 20, 1992",2 hrs. 3 min.,$49 million,Paul Verhoeven,N/A,"Michael Douglas,Sharon Stone"
9,A League of Their Own,"$107,533,928",Sony / Columbia,Sports Drama,PG,"July 1, 1992",2 hrs. 8 min.,$40 million,Penny Marshall,Penny Marshall,"Tom Hanks,Madonna"
10,Unforgiven,"$101,157,447",Warner Bros.,Western,R,"August 7, 1992",2 hrs. 11 min.,N/A,Clint Eastwood,"Clint Eastwood,David Valdes","Clint Eastwood,Morgan Freeman"
11,The Hand That Rocks the Cradle,"$88,036,683",Buena Vista,Thriller,R,"January 10, 1992",1 hrs. 50 min.,N/A,Curtis Hanson,Ted Field,Julianne Moore
12,Under Siege,"$83,563,139",Warner Bros.,Action,R,"October 9, 1992",1 hrs. 43 min.,N/A,Andrew Davis,"Gary W. Goldstein,Arnon Milchan","Steven Seagal,Tommy Lee Jones"
13,Patriot Games,"$83,351,587",Paramount,Action Thriller,R,"June 5, 1992",1 hrs. 56 min.,$45 million,Phillip Noyce,N/A,"Harrison Ford,Sean Bean"
14,Bram Stoker's Dracula,"$82,522,790",Columbia,Period Horror,R,"November 13, 1992",2 hrs. 7 min.,$40 million,N/A,Michael Apted,"Gary Oldman,Winona Ryder,Anthony Hopkins,Keanu Reeves"
15,White Men Can't Jump,"$76,253,806",Fox,Sports Comedy,R,"March 27, 1992",1 hrs. 52 min.,N/A,N/A,N/A,"Wesley Snipes,Woody Harrelson"
16,The Last of the Mohicans,"$75,505,856",Fox,War Romance,R,"September 25, 1992",1 hrs. 52 min.,$40 million,Michael Mann,"Hunt Lowry,Michael Mann",Daniel Day-Lewis
17,Boomerang,"$70,052,444",Paramount,Romantic Comedy,R,"July 1, 1992",1 hrs. 57 min.,$42 million,N/A,Brian Grazer,"Eddie Murphy,Halle Berry,Martin Lawrence"
18,Scent of a Woman,"$63,095,253",Universal,Drama,R,"December 23, 1992",2 hrs. 37 min.,N/A,Martin Brest,N/A,"Al Pacino,Chris O'Donnell,Philip Seymour Hoffman"
19,The Crying Game,"$62,548,947",Miramax,Drama / Thriller,R,"November 27, 1992",1 hrs. 52 min.,N/A,Neil Jordan,N/A,Forest Whitaker
20,Far and Away,"$58,883,840",Universal,Period Drama,PG-13,"May 22, 1992",2 hrs. 20 min.,$60 million,Ron Howard,"Brian Grazer,Ron Howard","Tom Cruise,Nicole Kidman"
21,"Honey, I Blew Up the Kid","$58,662,452",Buena Vista,Family Comedy,PG,"July 17, 1992",1 hrs. 29 min.,N/A,N/A,N/A,N/A
22,Housesitter,"$58,500,635",Universal,Romantic Comedy,PG,"June 12, 1992",1 hrs. 42 min.,N/A,Frank Oz,Brian Grazer,"Goldie Hawn,Steve Martin"
23,Death Becomes Her,"$58,422,650",Universal,Horror Comedy,PG-13,"July 31, 1992",1 hrs. 43 min.,$55 million,Robert Zemeckis,N/A,"Goldie Hawn,Meryl Streep,Bruce Willis"
24,Unlawful Entry,"$57,138,719",Fox,Thriller,R,"June 26, 1992",1 hrs. 57 min.,N/A,N/A,N/A,Kurt Russell
25,Beethoven,"$57,114,049",Universal,Family Comedy,PG,"April 3, 1992",1 hrs. 29 min.,N/A,N/A,"Joe Medjuck,Ivan Reitman","Stanley Tucci,Bonnie Hunt,David Duchovny"
26,Forever Young,"$55,956,187",Warner Bros.,Romance,PG,"December 18, 1992",1 hrs. 42 min.,N/A,N/A,J.J. Abrams,"Jamie Lee Curtis,Mel Gibson,Elijah Wood"
27,Alien 3,"$55,473,545",Fox,Sci-Fi Horror,R,"May 22, 1992",1 hrs. 54 min.,$50 million,David Fincher,"Gordon Carroll,David Giler,Walter Hill","Sigourney Weaver,Lance Henriksen"
28,My Cousin Vinny,"$52,929,168",Fox,Comedy,R,"March 13, 1992",2 hrs. 0 min.,N/A,N/A,N/A,Marisa Tomei
29,Sneakers,"$51,432,691",Universal,Crime Thriller,PG-13,"September 11, 1992",2 hrs. 5 min.,N/A,N/A,N/A,"Ben Kingsley,Robert Redford"
30,The Mighty Ducks,"$50,752,337",Buena Vista,Family Comedy,PG,"October 2, 1992",1 hrs. 44 min.,$10 million,N/A,Jordan Kerner,N/A
31,Malcolm X,"$48,169,910",Warner Bros.,Period Drama,PG-13,"November 20, 1992",3 hrs. 22 min.,N/A,Spike Lee,Jon Kilik,"Denzel Washington,Angela Bassett,Christopher Plummer"
32,Single White Female,"$48,017,402",Columbia,Thriller,R,"August 14, 1992",1 hrs. 48 min.,N/A,Barbet Schroeder,N/A,N/A
33,The Distinguished Gentleman,"$46,666,502",Buena Vista,Comedy,R,"December 4, 1992",1 hrs. 52 min.,N/A,N/A,N/A,Eddie Murphy
34,Medicine Man,"$45,500,797",Buena Vista,Adventure,PG-13,"February 7, 1992",1 hrs. 45 min.,$40 million,John McTiernan,N/A,Sean Connery
35,Passenger 57,"$44,065,653",Warner Bros.,Action Thriller,R,"November 6, 1992",1 hrs. 24 min.,N/A,N/A,Dylan Sellers,Wesley Snipes
36,A River Runs Through It,"$43,440,294",Columbia,Period Drama,PG,"October 9, 1992",2 hrs. 4 min.,N/A,Robert Redford,N/A,Brad Pitt
37,Encino Man,"$40,693,477",Buena Vista,Comedy,PG,"May 22, 1992",1 hrs. 28 min.,N/A,N/A,N/A,Brendan Fraser
38,Mo' Money,"$40,227,006",Columbia,Crime Comedy,R,"July 24, 1992",1 hrs. 31 min.,N/A,N/A,N/A,"Damon Wayans,Marlon Wayans"
39,Universal Soldier,"$36,299,898",TriStar,Sci-Fi Action,R,"July 10, 1992",1 hrs. 42 min.,N/A,Roland Emmerich,N/A,N/A
40,Honeymoon in Vegas,"$35,208,854",Columbia,Romantic Comedy,PG-13,"August 28, 1992",1 hrs. 37 min.,$25 million,N/A,N/A,"Nicolas Cage,Sarah Jessica Parker,Anne Bancroft"
41,The Lawnmower Man,"$32,100,816",New Line,Sci-Fi Horror,R,"March 6, 1992",1 hrs. 47 min.,$10 million,N/A,N/A,Pierce Brosnan
42,Sleepwalkers,"$30,524,763",Columbia,Horror,R,"April 10, 1992",1 hrs. 29 min.,N/A,N/A,N/A,N/A
43,3 Ninjas,"$29,000,301",Buena Vista,Family Adventure,PG,"August 7, 1992",1 hrs. 25 min.,N/A,Jon Turteltaub,N/A,N/A
44,Final Analysis,"$28,590,665",Warner Bros.,Romantic Thriller,R,"February 7, 1992",2 hrs. 5 min.,N/A,N/A,Charles Roven,"Richard Gere,Kim Basinger,Uma Thurman"
45,Stop! Or My Mom Will Shoot!,"$28,411,210",Universal,Action Comedy,PG-13,"February 21, 1992",1 hrs. 28 min.,N/A,N/A,"Todd Black,Joe Medjuck,Ivan Reitman",Sylvester Stallone
46,The Muppet Christmas Carol,"$27,281,507",Buena Vista,Family Comedy,G,"December 11, 1992",1 hrs. 25 min.,$12 million,N/A,N/A,Michael Caine
47,Howards End,"$25,966,555Domestic Lifetime Gross $26,126,837",Sony Classics,Period Drama,PG,"March 13, 1992",2 hrs. 20 min.,N/A,James Ivory,N/A,"Anthony Hopkins,Helena Bonham Carter,Emma Thompson"
48,Candyman,"$25,792,310",TriStar,Horror,R,"October 16, 1992",1 hrs. 39 min.,N/A,N/A,Steve Golin,Virginia Madsen
49,The Cutting Edge,"$25,105,517",MGM,Sports Comedy,PG,"March 27, 1992",1 hrs. 37 min.,N/A,N/A,Ted Field,N/A
50,Ferngully: The Last Rainforest,"$24,650,296",Fox,Animation,G,"April 10, 1992",1 hrs. 16 min.,N/A,N/A,Ted Field,N/A
51,Hoffa,"$24,276,506",Fox,Period Drama,R,"December 25, 1992",2 hrs. 20 min.,N/A,Danny DeVito,N/A,"Jack Nicholson,Danny DeVito"
52,Leap of Faith,"$23,369,283",Paramount,Comedy,PG-13,"December 18, 1992",1 hrs. 47 min.,N/A,N/A,N/A,"Steve Martin,Liam Neeson,Lukas Haas,Philip Seymour Hoffman"
53,Toys,"$23,278,931",Fox,Fantasy Comedy,PG-13,"December 18, 1992",1 hrs. 58 min.,N/A,Barry Levinson,"Mark Johnson,Barry Levinson",Robin Williams
54,Thunderheart,"$22,660,758",TriStar,Action / Crime,R,"April 3, 1992",1 hrs. 59 min.,N/A,Michael Apted,N/A,Val Kilmer
55,Captain Ron,"$22,518,097",Buena Vista,Comedy,PG-13,"September 18, 1992",1 hrs. 39 min.,N/A,N/A,Ralph Winter,Kurt Russell
56,The Player,"$21,706,101",New Line,Comedy,R,"April 10, 1992",2 hrs. 4 min.,N/A,Robert Altman,Nick Wechsler,"Tim Robbins,Sydney Pollack"
57,Shining Through,"$21,633,781",Fox,Romantic Thriller,R,"January 31, 1992",2 hrs. 12 min.,N/A,David Seltzer,N/A,"Michael Douglas,Liam Neeson"
58,Consenting Adults,"$21,591,728",Buena Vista,Thriller,R,"October 16, 1992",1 hrs. 39 min.,N/A,Alan J. Pakula,Pieter Jan Brugge,"Kevin Kline,Kevin Spacey,Forest Whitaker"
59,Raising Cain,"$21,370,057",Universal,Thriller,R,"August 7, 1992",1 hrs. 31 min.,N/A,Brian De Palma,Gale Anne Hurd,N/A
60,Straight Talk,"$21,202,099",Buena Vista,Romantic Comedy,PG,"April 3, 1992",1 hrs. 31 min.,N/A,N/A,N/A,N/A
61,Kuffs,"$21,142,815",Universal,Action Comedy,PG-13,"January 10, 1992",1 hrs. 42 min.,N/A,Bruce A. Evans,Raynold Gideon,Milla Jovovich
62,Mr. Baseball,"$20,883,046",Universal,Sports Comedy,PG-13,"October 2, 1992",1 hrs. 49 min.,N/A,N/A,Jeffrey Silver,N/A
63,Juice,"$20,146,880",Paramount,Crime Drama,R,"January 17, 1992",1 hrs. 35 min.,N/A,Ernest R. Dickerson,"David Heyman,Neal H. Moritz","Omar Epps,Tupac Shakur,Samuel L. Jackson"
64,Prelude to a Kiss,"$20,006,730",Fox,Fantasy Comedy,PG-13,"July 10, 1992",1 hrs. 45 min.,N/A,N/A,N/A,"Alec Baldwin,Meg Ryan,Kathy Bates"
65,Hero,"$19,507,345",Columbia,Comedy,PG-13,"October 2, 1992",1 hrs. 58 min.,N/A,Stephen Frears,Laura Ziskin,Dustin Hoffman
66,Pinocchio (Re-issue) (1992),"$18,863,559Domestic Lifetime Gross $84,254,167",Buena Vista,Animation,G,"June 26, 1992",1 hrs. 28 min.,N/A,N/A,N/A,N/A
67,Singles,"$18,471,850",Warner Bros.,Romantic Comedy,PG-13,"September 18, 1992",1 hrs. 35 min.,N/A,Cameron Crowe,N/A,Matt Dillon
68,Used People,"$17,957,265",Fox,Comedy / Drama,PG-13,"December 18, 1992",1 hrs. 55 min.,N/A,Beeban Kidron,Lloyd Levin,Kathy Bates
69,The Babe,"$17,530,973",Universal,Sports Drama,PG,"April 17, 1992",1 hrs. 55 min.,N/A,N/A,N/A,John Goodman
70,Freejack,"$17,129,026",Warner Bros.,Sci-Fi Thriller,R,"January 17, 1992",1 hrs. 50 min.,N/A,N/A,Gary Barber,"Rene Russo,Anthony Hopkins"
71,Pet Sematary II,"$17,092,453",Paramount,Horror,R,"August 28, 1992",1 hrs. 40 min.,N/A,Mary Lambert,N/A,N/A
72,Deep Cover,"$16,639,799",New Line,Crime Drama,R,"April 17, 1992",1 hrs. 47 min.,N/A,Bill Duke,Michael De Luca,Laurence Fishburne
73,Buffy the Vampire Slayer,"$16,624,456",Fox,Horror Comedy,PG-13,"July 31, 1992",1 hrs. 26 min.,N/A,N/A,N/A,Rutger Hauer
74,Pure Country,"$15,164,458",Warner Bros.,Music Drama,PG,"October 23, 1992",1 hrs. 53 min.,N/A,N/A,N/A,N/A
75,Ladybugs,"$14,796,494",Paramount,Sports Comedy,PG-13,"March 27, 1992",1 hrs. 29 min.,N/A,N/A,N/A,N/A
76,School Ties,"$14,715,067",Paramount,Drama,PG-13,"September 18, 1992",1 hrs. 47 min.,N/A,N/A,Sherry Lansing,"Brendan Fraser,Matt Damon,Chris O'Donnell"
77,City of Joy,"$14,683,921",TriStar,Drama,PG-13,"April 17, 1992",2 hrs. 15 min.,N/A,N/A,N/A,Patrick Swayze
78,Memoirs of an Invisible Man,"$14,358,033",Warner Bros.,Sci-Fi Comedy,PG-13,"February 28, 1992",1 hrs. 39 min.,N/A,John Carpenter,Arnon Milchan,N/A
79,Rapid Fire,"$14,356,479",Fox,Action,R,"August 21, 1992",1 hrs. 35 min.,N/A,N/A,N/A,N/A
80,Cool World,"$14,110,589",Paramount,Fantasy Comedy,PG-13,"July 10, 1992",1 hrs. 41 min.,N/A,N/A,N/A,"Kim Basinger,Brad Pitt"
81,Mr. Saturday Night,"$13,351,357",Columbia,Comedy / Drama,R,"September 25, 1992",1 hrs. 59 min.,N/A,N/A,N/A,"Billy Crystal,Helen Hunt"
82,The Great Mouse Detective (re-issue),"$13,288,756Domestic Lifetime Gross $38,625,550",Buena Vista,Animation,G,"February 14, 1992",1 hrs. 14 min.,N/A,N/A,N/A,N/A
83,Class Act,"$13,272,113",Warner Bros.,Comedy,PG-13,"June 5, 1992",1 hrs. 38 min.,N/A,N/A,Todd Black,N/A
