,Name,Domestic Total Gross,Distributor,Genre,MPAA Rating,Release Date,Runtime,Production Budget,Director,Producer,Actor
0,Black Panther,,Buena Vista,Action / Adventure,PG-13,"February 16, 2018",2 hrs. 20 min.,N/A,Ryan Coogler,Kevin Feige,"Chadwick Boseman,Lupita Nyong'o,Michael B. Jordan,Angela Bassett,Martin Freeman,Forest Whitaker,Andy Serkis"
1,Avengers: Infinity War,,Buena Vista,Action / Adventure,PG-13,"April 27, 2018",2 hrs. 36 min.,N/A,"Joe Russo,Anthony Russo",Kevin Feige,"Robert Downey, Jr.,Chris Hemsworth,Mark Ruffalo,Anthony Mackie,Elizabeth Olsen,Paul Bettany,Benedict Cumberbatch,Tom Holland,Chadwick Boseman,Josh Brolin,Don Cheadle,Sebastian Stan,Dave Bautista,Karen Gillan,Chris Evans,Scarlett Johansson,Idris Elba,Tom Hiddleston,Chris Pratt,Bradley Cooper,Zoe Saldana,Vin Diesel,William Hurt,Gwyneth Paltrow,Benicio Del Toro"
2,Incredibles 2,,Buena Vista,Animation,PG,"June 15, 2018",1 hrs. 58 min.,N/A,Brad Bird,N/A,"Craig T. Nelson,Holly Hunter,Samuel L. Jackson,Brad Bird"
3,Jurassic World: Fallen Kingdom,,Universal,Action / Adventure,PG-13,"June 22, 2018",2 hrs. 8 min.,$170 million,J.A. Bayona,"Frank Marshall,Steven Spielberg,Colin Trevorrow","Chris Pratt,Bryce Dallas Howard,Jeff Goldblum"
4,Deadpool 2,,Fox,Action,R,"May 18, 2018",1 hrs. 59 min.,$110 million,David Leitch,"Simon Kinberg,Ryan Reynolds,Lauren Schuler Donner","Ryan Reynolds,Josh Brolin,Alan Tudyk"
5,Solo: A Star Wars Story,,Buena Vista,Action / Adventure,PG-13,"May 25, 2018",2 hrs. 15 min.,N/A,Ron Howard,Kathleen Kennedy,"Woody Harrelson,Thandie Newton,Paul Bettany,Jon Favreau"
6,A Quiet Place,,Paramount,Horror Thriller,PG-13,"April 6, 2018",1 hrs. 35 min.,$17 million,John Krasinski,"Michael Bay,Andrew Form,Brad Fuller","Emily Blunt,John Krasinski"
7,Ready Player One,"$137,018,455",Warner Bros.,Sci-Fi Action,PG-13,"March 29, 2018",2 hrs. 20 min.,N/A,Steven Spielberg,"Donald De Line,Steven Spielberg","Tye Sheridan,Simon Pegg,Mark Rylance"
8,Ant-Man and the Wasp,,Buena Vista,Action,PG-13,"July 6, 2018",1 hrs. 58 min.,N/A,Peyton Reed,Kevin Feige,"Paul Rudd,Evangeline Lilly,Michelle Pfeiffer,Laurence Fishburne,Michael Douglas"
9,Ocean's 8,,Warner Bros.,Action / Adventure,PG-13,"June 8, 2018",1 hrs. 50 min.,$70 million,Gary Ross,N/A,"Sandra Bullock,Cate Blanchett,Anne Hathaway,Rihanna,Helena Bonham Carter,Sarah Paulson,Mindy Kaling,Dakota Fanning"
10,Peter Rabbit,"$115,253,424",Sony / Columbia,Family,PG,"February 9, 2018",1 hrs. 33 min.,$50 million,Will Gluck,N/A,"Daisy Ridley,Margot Robbie,Rose Byrne,Elizabeth Debicki"
11,A Wrinkle in Time,"$100,478,608",Buena Vista,Fantasy,PG,"March 9, 2018",1 hrs. 55 min.,N/A,Ava DuVernay,N/A,"Oprah Winfrey,Reese Witherspoon,Mindy Kaling,Chris Pine,Zach Galifianakis,David Oyelowo"
12,Fifty Shades Freed,"$100,407,760",Universal,Romance,R,"February 9, 2018",1 hrs. 45 min.,$55 million,James Foley,"Dana Brunetti,Michael De Luca,E.L. James",Kim Basinger
13,Rampage (2018),,Warner Bros. (New Line),Action / Adventure,PG-13,"April 13, 2018",1 hrs. 47 min.,$120 million,Brad Peyton,N/A,"Dwayne Johnson,Naomie Harris"
14,I Can Only Imagine,"$83,482,352",Roadside Attractions,Family,PG,"March 16, 2018",1 hrs. 50 min.,$7 million,"Andrew Erwin,Jon Erwin",N/A,Dennis Quaid
15,Game Night,"$69,001,013",Warner Bros. (New Line),Action Comedy,R,"February 23, 2018",1 hrs. 40 min.,$37 million,Jonathan M. Goldstein,N/A,"Rachel McAdams,Jason Bateman,Jesse Plemons"
16,Book Club,,Paramount,Comedy,PG-13,"May 18, 2018",1 hrs. 44 min.,N/A,N/A,N/A,"Alicia Silverstone,Diane Keaton,Craig T. Nelson"
17,Insidious: The Last Key,"$67,347,895",Universal,Horror,PG-13,"January 5, 2018",1 hrs. 43 min.,$10 million,N/A,"Jason Blum,Oren Peli,James Wan",Leigh Whannell
18,Blockers,"$59,839,515",Universal,Comedy,R,"April 6, 2018",1 hrs. 42 min.,$21 million,Kay Cannon,"Seth Rogen,Evan Goldberg,James Weaver,Jon Hurwitz,Hayden Schlossberg","Leslie Mann,John Cena,Kathryn Newton"
19,Pacific Rim Uprising,"$59,185,715",Universal,Sci-Fi Action,PG-13,"March 23, 2018",1 hrs. 51 min.,$150 million,N/A,"Guillermo del Toro,Jon Jashni,Mary Parent,Thomas Tull","John Boyega,Charlie Day"
