,Name,Domestic Total Gross,Distributor,Genre,MPAA Rating,Release Date,Runtime,Production Budget,Director,Producer,Actor
0,Avatar,"$749,766,139Domestic Lifetime Gross $760,507,625",Fox,Sci-Fi Adventure,PG-13,"December 18, 2009",2 hrs. 40 min.,$237 million,James Cameron,"James Cameron,Laeta Kalogridis,Jon Landau,Colin Wilson","Sam Worthington,Zoe Saldana,Sigourney Weaver,Michelle Rodriguez,Giovanni Ribisi,Joel David Moore"
1,Transformers: Revenge of the Fallen,"$402,111,870",Paramount (DreamWorks),Sci-Fi Action,PG-13,"June 24, 2009",2 hrs. 24 min.,$200 million,Michael Bay,"Michael Bay,Ian Bryce,Tom DeSanto,Lorenzo di Bonaventura,Don Murphy,Steven Spielberg,Mark Vahradian","Shia LaBeouf,Megan Fox,Josh Duhamel,Tyrese Gibson"
2,Harry Potter and the Half-Blood Prince,"$301,959,197",Warner Bros.,Fantasy,PG,"July 15, 2009",2 hrs. 33 min.,$250 million,David Yates,David Heyman,"Daniel Radcliffe,Rupert Grint,Emma Watson,Jim Broadbent,Helena Bonham Carter,Alan Rickman"
3,The Twilight Saga: New Moon,"$296,623,634",Summit Entertainment,Romance,PG-13,"November 20, 2009",2 hrs. 10 min.,$50 million,Chris Weitz,"Marty Bowen,Wyck Godfrey,Karen Rosenfelt","Kristen Stewart,Robert Pattinson,Taylor Lautner,Billy Burke,Ashley Greene,Jackson Rathbone,Kellan Lutz,Michael Sheen"
4,Up,"$293,004,164",Buena Vista,Animation,PG,"May 29, 2009",1 hrs. 36 min.,$175 million,"Pete Docter,Bob Peterson","John Lasseter,Jonas Rivera",N/A
5,The Hangover,"$277,322,503",Warner Bros.,Comedy,R,"June 5, 2009",1 hrs. 36 min.,$35 million,Todd Phillips,"Chris Bender,Scott Budnick,Jon Jashni,Todd Phillips,J.C. Spink,Thomas Tull","Bradley Cooper,Ed Helms,Zach Galifianakis,Justin Bartha"
6,Star Trek,"$257,730,019",Paramount,Sci-Fi Adventure,PG-13,"May 8, 2009",2 hrs. 6 min.,$150 million,J.J. Abrams,"J.J. Abrams,Bryan Burk,Jeffrey Chernov,Damon Lindelof","Chris Pine,Leonard Nimoy,Eric Bana,Karl Urban,Zoe Saldana,Simon Pegg,Anton Yelchin"
7,The Blind Side,"$255,959,475",Warner Bros.,Sports Drama,PG-13,"November 20, 2009",2 hrs. 6 min.,$29 million,John Lee Hancock,"Broderick Johnson,Andrew A. Kosove,Molly Smith,Erwin Stoff","Sandra Bullock,Kathy Bates,Lily Collins"
8,Alvin and the Chipmunks: The Squeakquel,"$219,614,612",Fox,Family Comedy,PG,"December 23, 2009",1 hrs. 28 min.,$75 million,Betty Thomas,"Arnon Milchan,Karen Rosenfelt","Christina Applegate,Anna Faris,Zachary Levi,Justin Long"
9,Sherlock Holmes,"$209,028,679",Warner Bros.,Adventure,PG-13,"December 25, 2009",2 hrs. 14 min.,$90 million,Guy Ritchie,"Susan Downey,Dan Lin,Joel Silver,Michael Tadross","Robert Downey, Jr.,Jude Law,Rachel McAdams,Mark Strong"
10,Monsters Vs. Aliens,"$198,351,526",Paramount (DreamWorks),Animation,PG,"March 27, 2009",1 hrs. 34 min.,$175 million,"Rob Letterman,Conrad Vernon",Lisa Stewart,"Reese Witherspoon,Seth Rogen,Hugh Laurie,Kiefer Sutherland"
11,Ice Age: Dawn of the Dinosaurs,"$196,573,705",Fox,Animation,PG,"July 1, 2009",1 hrs. 27 min.,$90 million,Carlos Saldanha,John C. Donkin,"John Leguizamo,Queen Latifah,Simon Pegg"
12,X-Men Origins: Wolverine,"$179,883,157",Fox,Action / Adventure,PG-13,"May 1, 2009",1 hrs. 47 min.,$150 million,N/A,"Lauren Schuler Donner,Richard Donner,Hugh Jackman,Stan Lee,Ralph Winter","Hugh Jackman,Liev Schreiber,Ryan Reynolds,Taylor Kitsch"
13,Night at the Museum: Battle of the Smithsonian,"$177,243,721",Fox,Family Adventure,PG,"May 22, 2009",1 hrs. 45 min.,$150 million,Shawn Levy,"Chris Columbus,Thomas M. Hammel","Ben Stiller,Amy Adams,Owen Wilson,Robin Williams,Christopher Guest,Steve Coogan,Ricky Gervais,Jonah Hill"
14,2012,"$166,112,167",Sony / Columbia,Action Drama,PG-13,"November 13, 2009",2 hrs. 38 min.,$200 million,Roland Emmerich,"Larry J. Franco,Mark Gordon,Harald Kloser","Chiwetel Ejiofor,John Cusack,Woody Harrelson,Thandie Newton,Amanda Peet,Danny Glover"
15,The Proposal,"$163,958,031",Buena Vista,Romantic Comedy,PG-13,"June 19, 2009",1 hrs. 48 min.,$40 million,Anne Fletcher,N/A,"Sandra Bullock,Ryan Reynolds,Craig T. Nelson"
16,Fast and Furious,"$155,064,265",Universal,Action,PG-13,"April 3, 2009",1 hrs. 39 min.,$85 million,Justin Lin,"Vin Diesel,Neal H. Moritz","Gal Gadot,Vin Diesel,Paul Walker,Michelle Rodriguez,Jordana Brewster"
17,G.I. Joe: The Rise of Cobra,"$150,201,498",Paramount,Action,PG-13,"August 7, 2009",1 hrs. 58 min.,$175 million,Stephen Sommers,"Gary Barber,Roger Birnbaum,Lorenzo di Bonaventura","Channing Tatum,Marlon Wayans,Dennis Quaid,Joseph Gordon-Levitt"
18,Paul Blart: Mall Cop,"$146,336,178",Sony / Columbia,Comedy,PG,"January 16, 2009",1 hrs. 27 min.,$26 million,Steve Carr,"Todd Garner,Jack Giarraputo,Adam Sandler",Kevin James
19,Taken,"$145,000,989",Fox,Action,PG-13,"January 30, 2009",1 hrs. 33 min.,$25 million,Pierre Morel,Luc Besson,"Liam Neeson,Famke Janssen"
20,A Christmas Carol (2009),"$137,855,863",Buena Vista,Animation,PG,"November 6, 2009",1 hrs. 36 min.,$200 million,Robert Zemeckis,N/A,"Jim Carrey,Cary Elwes,Colin Firth,Gary Oldman"
21,Angels & Demons,"$133,375,846",Sony / Columbia,Thriller,PG-13,"May 15, 2009",2 hrs. 20 min.,$150 million,Ron Howard,"Brian Grazer,Ron Howard","Tom Hanks,Ewan McGregor,Stellan Skarsgard"
22,Terminator Salvation,"$125,322,469",Warner Bros.,Sci-Fi Action,PG-13,"May 21, 2009",1 hrs. 54 min.,$200 million,McG,"Dan Lin,Jeffrey Silver","Christian Bale,Sam Worthington,Anton Yelchin,Common,Bryce Dallas Howard"
23,Cloudy with a Chance of Meatballs,"$124,870,275",Sony / Columbia,Animation,PG,"September 18, 2009",1 hrs. 21 min.,$100 million,"Phil Lord,Chris Miller (II)",N/A,"Anna Faris,Andy Samberg,Benjamin Bratt,Neil Patrick Harris,Will Forte"
24,Inglourious Basterds,"$120,540,719",Weinstein Company,War,R,"August 21, 2009",2 hrs. 32 min.,$70 million,Quentin Tarantino,Lawrence Bender,"Brad Pitt,Mike Myers,Christoph Waltz,Melanie Laurent,Michael Fassbender"
25,G-Force,"$119,436,770",Buena Vista,Family Adventure,PG,"July 24, 2009",1 hrs. 30 min.,$150 million,N/A,Jerry Bruckheimer,Zach Galifianakis
26,District 9,"$115,646,235",TriStar,Sci-Fi,R,"August 14, 2009",1 hrs. 53 min.,$30 million,Neill Blomkamp,Peter Jackson,Sharlto Copley
27,It's Complicated,"$112,735,375",Universal,Romantic Comedy,R,"December 25, 2009",1 hrs. 58 min.,$85 million,Nancy Meyers,"Nancy Meyers,Scott Rudin","Meryl Streep,Steve Martin,Alec Baldwin,Lake Bell,John Krasinski,Zoe Kazan"
28,Couples Retreat,"$109,204,945",Universal,Comedy,PG-13,"October 9, 2009",1 hrs. 47 min.,$70 million,N/A,"Scott Stuber,Vince Vaughn","Vince Vaughn,Jason Bateman,Jon Favreau,Kristen Bell"
29,Paranormal Activity,"$107,918,810",Paramount,Horror,R,"September 25, 2009",1 hrs. 39 min.,"$15,000",Oren Peli,"Jason Blum,Oren Peli,Steven Schneider",N/A
30,Watchmen,"$107,509,799",Warner Bros.,Action / Adventure,R,"March 6, 2009",2 hrs. 43 min.,$130 million,Zack Snyder,"Lawrence Gordon,Lloyd Levin,Deborah Snyder,Thomas Tull","Carla Gugino,Billy Crudup,Matthew Goode,Jackie Earle Haley,Jeffrey Dean Morgan,Patrick Wilson"
31,The Princess and the Frog,"$104,400,899",Buena Vista,Animation,G,"November 25, 2009",1 hrs. 35 min.,$105 million,N/A,John Lasseter,"Terrence Howard,Oprah Winfrey"
32,Public Enemies,"$97,104,620",Universal,Crime Drama,R,"July 1, 2009",2 hrs. 23 min.,$100 million,Michael Mann,Kevin Misher,"Johnny Depp,Christian Bale,Marion Cotillard,Giovanni Ribisi,Billy Crudup,Channing Tatum"
33,Julie & Julia,"$94,125,426",Sony / Columbia,Comedy / Drama,PG-13,"August 7, 2009",2 hrs. 3 min.,$40 million,Nora Ephron,"Nora Ephron,Laurence Mark,Scott Rudin","Meryl Streep,Amy Adams,Stanley Tucci,Chris Messina"
34,He's Just Not That Into You,"$93,953,653",Warner Bros. (New Line),Romantic Comedy,PG-13,"February 6, 2009",2 hrs. 9 min.,N/A,Ken Kwapis,N/A,"Ginnifer Goodwin,Drew Barrymore,Jennifer Connelly,Jennifer Aniston,Justin Long,Bradley Cooper,Scarlett Johansson,Ben Affleck"
35,Tyler Perry's Madea Goes to Jail,"$90,508,336",Lionsgate,Comedy,PG-13,"February 20, 2009",1 hrs. 43 min.,N/A,Tyler Perry,Tyler Perry,"Tyler Perry,Derek Luke,Viola Davis"
36,The Ugly Truth,"$88,915,214",Sony / Columbia,Romantic Comedy,R,"July 24, 2009",1 hrs. 36 min.,$38 million,Robert Luketic,"Gary Lucchesi,Tom Rosenberg","Katherine Heigl,Gerard Butler"
37,Up in the Air,"$83,823,381",Paramount,Comedy / Drama,R,"December 4, 2009",1 hrs. 49 min.,$25 million,Jason Reitman,"Joe Medjuck,Tom Pollock,Jason Reitman,Ivan Reitman","George Clooney,Vera Farmiga,Anna Kendrick,Jason Bateman,Danny McBride"
38,Knowing,"$79,957,634",Summit Entertainment,Drama / Thriller,PG-13,"March 20, 2009",2 hrs. 2 min.,$50 million,Alex Proyas,"Todd Black,David Bloomfield,Jason Blumenthal,Stephen Jones,Steve Tisch","Liam Hemsworth,Nicolas Cage,Rose Byrne"
39,Hannah Montana The Movie,"$79,576,189",Buena Vista,Family Comedy,G,"April 10, 2009",1 hrs. 32 min.,N/A,Peter Chelsom,N/A,Miley Cyrus
40,Where the Wild Things Are,"$77,233,467",Warner Bros.,Family Adventure,PG,"October 16, 2009",1 hrs. 34 min.,$100 million,Spike Jonze,"Gary Goetzman,Tom Hanks,Jon Jashni,Scott Mednick,Thomas Tull","Paul Dano,James Gandolfini,Max Records,Forest Whitaker,Michelle Williams"
41,Zombieland,"$75,590,286",Sony / Columbia,Horror Comedy,R,"October 2, 2009",1 hrs. 21 min.,$23.6 million,Ruben Fleischer,"Ryan Kavanaugh,Gavin Polone,Rhett Reese,Paul Wernick","Woody Harrelson,Jesse Eisenberg,Emma Stone,Abigail Breslin"
42,Coraline,"$75,286,229",Focus Features,Animation,PG,"February 6, 2009",1 hrs. 40 min.,$60 million,Henry Selick,N/A,Dakota Fanning
43,Law Abiding Citizen,"$73,357,727",Overture Films,Thriller,R,"October 16, 2009",1 hrs. 48 min.,$50 million,F. Gary Gray,Kurt Wimmer,"Jamie Foxx,Gerard Butler,Viola Davis"
44,Hotel for Dogs,"$73,034,460",Paramount (DreamWorks),Family,PG,"January 16, 2009",1 hrs. 40 min.,N/A,Thor Freudenthal,Jason Clark,"Emma Roberts,Don Cheadle,Lisa Kudrow"
45,Michael Jackson's This Is It,"$72,091,016",Sony / Columbia,Concert,PG,"October 28, 2009",2 hrs. 1 min.,N/A,Kenny Ortega,N/A,N/A
46,"I Love You, Man","$71,440,011",Paramount (DreamWorks),Comedy,R,"March 20, 2009",1 hrs. 50 min.,N/A,N/A,"Bill Johnson,Tom Pollock","Paul Rudd,Jason Segel,Rashida Jones,Andy Samberg,Jon Favreau"
47,Obsessed,"$68,261,644",Sony / Screen Gems,Thriller,PG-13,"April 24, 2009",1 hrs. 45 min.,$20 million,N/A,Will Packer,"Beyonce Knowles,Idris Elba,Ali Larter"
48,Race to Witch Mountain,"$67,172,594",Buena Vista,Family Adventure,PG,"March 13, 2009",1 hrs. 39 min.,N/A,Andy Fickman,N/A,"Dwayne Johnson,AnnaSophia Robb,Carla Gugino,Garry Marshall"
49,The Final Destination,"$66,477,700",Warner Bros. (New Line),Horror,R,"August 28, 2009",1 hrs. 22 min.,$40 million,David R. Ellis,N/A,N/A
