,Name,Domestic Total Gross,Distributor,MPAA Rating,Runtime,Production Budget,Release Month,Release Year,Actor Trendy Score,Director Trendy Score,Producer Trendy Score,Genre Trendy Score
0,The Empire Strikes Back,209.398025,Fox,PG,129,18.0,May,1980,0.0,0.0,0.0,0.0
1,The Shining,44.017374,Warner Bros.,R,146,19.0,May,1980,0.0,0.0,0.0,0.0
2,Dressed to Kill,31.899,Orion Pictures,R,105,6.5,June,1980,0.0,0.0,0.0,0.0
3,The Island (1980),15.716828,Universal,R,114,22.0,June,1980,0.0,0.0,0.0,0.0
4,Used Cars,11.715321000000001,Columbia,R,113,8.0,July,1980,0.0,0.0,0.0,0.0
5,Stardust Memories,10.389003,United Artists,PG,91,10.0,September,1980,0.0,0.0,0.0,0.0
6,Kagemusha,4.0,Fox,PG,162,6.0,October,1980,0.0,0.0,0.0,0.0
7,When Time Ran Out,3.763988,Warner Bros.,PG,121,20.0,March,1980,0.0,0.0,0.0,0.0
8,Heaven's Gate,3.4843309999999996,United Artists,R,219,44.0,November,1980,0.0,0.0,0.0,0.0
9,Raiders of the Lost Ark,212.222025,Paramount,PG,115,18.0,June,1981,209.398025,0.0,106.6990125,0.0
10,Superman II,108.18570600000001,Warner Bros.,PG,128,54.0,June,1981,0.0,0.0,0.0,0.0
11,Reds,40.382659000000004,Paramount,PG,194,32.0,December,1981,44.017374,0.0,0.0,0.0
12,E.T.: The Extra-Terrestrial,359.197037,Universal,PG,117,10.5,June,1982,0.0,212.222025,11.715321000000001,0.0
13,Tootsie,177.2,Columbia,PG,119,21.0,December,1982,0.0,0.0,0.0,0.0
14,Star Trek II: The Wrath of Khan,78.912963,Paramount,PG,112,11.2,June,1982,0.0,0.0,0.0,0.0
15,First Blood,47.212903999999995,Orion Pictures,R,96,15.0,October,1982,0.0,0.0,0.0,0.0
16,Tron,33.0,Buena Vista,PG,96,17.0,July,1982,3.4843309999999996,0.0,0.0,0.0
17,Quest for Fire,20.959585,Fox,R,100,12.5,February,1982,0.0,0.0,0.0,0.0
18,Inchon,5.200986,MGM,PG,140,46.0,September,1982,0.0,0.0,0.0,0.0
19,Lookin' to Get Out,0.9464610000000001,Paramount,R,105,17.0,October,1982,0.0,0.0,0.0,0.0
20,Return of the Jedi,252.583617,Fox,PG,134,32.5,May,1983,1048.4021249999998,0.0,141.87335,0.0
21,Terms of Endearment,108.42348899999999,Paramount,PG,131,8.0,November,1983,42.200016500000004,0.0,0.0,0.0
22,Risky Business,63.541777,Warner Bros.,R,99,6.2,August,1983,0.0,0.0,0.0,0.0
23,Spacehunter: Adventures in the Forbidden Zone,16.478265,Columbia,PG,90,14.4,May,1983,0.0,0.0,0.0,0.0
24,Running Brave,3.0,Buena Vista,PG,106,8.0,November,1983,0.0,0.0,0.0,0.0
25,Rumble Fish,2.49448,Universal,R,94,10.0,October,1983,0.0,0.0,0.0,0.0
26,Ghostbusters,229.24298900000002,Columbia,PG,107,30.0,June,1984,177.2,0.0,16.478265,0.0
27,Indiana Jones and the Temple of Doom,179.870271,Paramount,PG,118,28.0,May,1984,224.73455566666667,285.709531,740.96997875,0.0
28,Footloose,80.035402,Paramount,PG,107,8.2,February,1984,0.0,0.0,0.0,0.0
29,The Terminator,38.3712,Orion Pictures,R,107,6.4,October,1984,0.0,0.0,0.0,0.0
30,Dune,30.925690000000003,Universal,PG-13,137,40.0,December,1984,0.0,0.0,0.0,0.0
31,The Cotton Club,25.928721,Orion Pictures,R,127,58.0,December,1984,2.49448,0.0,0.0,0.0
32,Sahara (1984),1.402962,MGM,PG,111,25.0,March,1984,0.0,0.0,0.0,0.0
33,Back to the Future,210.60976200000002,Universal,PG,111,19.0,July,1985,0.0,11.715321000000001,651.035981,0.0
34,Santa Claus: The Movie,23.717291,TriStar,PG,108,50.0,November,1985,0.0,0.0,0.0,0.0
35,Ran,3.607393,Orion Classics,R,160,11.5,September,1985,0.0,0.0,0.0,0.0
36,Revolution,0.358574,Warner Bros.,PG,125,28.0,December,1985,0.0,0.0,0.0,0.0
37,Platoon,138.530565,Orion Pictures,R,120,6.0,December,1986,0.0,0.0,0.0,0.0
38,Down and Out in Beverly Hills,62.134225,Buena Vista,R,103,14.0,January,1986,0.0,0.0,0.0,0.0
39,The Great Mouse Detective,25.336794,Buena Vista,G,74,14.0,July,1986,0.0,0.0,0.0,0.0
40,Howard the Duck,16.295773999999998,Universal,PG,111,37.0,August,1986,0.0,0.0,171.6147876,0.0
41,Blue Velvet,8.551228,DEG,R,120,6.0,September,1986,0.0,30.925690000000003,0.0,0.0
42,Shanghai Surprise,2.3156830000000004,MGM,PG-13,97,17.0,August,1986,0.0,0.0,0.0,0.0
43,Sky Bandits,2.2955,Galaxy International,PG,105,18.0,October,1986,0.0,0.0,0.0,0.0
44,Pirates (1986),1.641825,Cannon Films,PG-13,124,40.0,July,1986,0.0,0.0,0.0,0.0
45,Three Men and a Baby,167.78096000000002,Buena Vista,PG,102,11.0,November,1987,0.0,0.0,0.0,0.0
46,Dirty Dancing,63.44638199999999,Vestron,PG-13,105,6.0,August,1987,0.0,0.0,0.0,0.0
47,Predator,59.735548,Fox,R,107,15.0,June,1987,38.3712,0.0,0.0,0.0
48,Robocop,53.42468100000001,Orion Pictures,R,103,13.0,July,1987,0.0,0.0,0.0,0.0
49,Full Metal Jacket,46.357676,Warner Bros.,R,116,30.0,June,1987,0.0,44.017374,0.0,138.530565
50,The Running Man,38.122105,TriStar,R,101,27.0,November,1987,38.3712,0.0,0.0,0.0
51,Angel Heart,17.185632000000002,TriStar,R,113,17.0,March,1987,2.49448,0.0,0.0,0.0
52,Superman IV: The Quest for Peace,15.681020000000002,Warner Bros.,PG,90,17.0,July,1987,108.18570600000001,0.0,0.0,0.0
53,Ishtar,14.375181,Columbia,PG-13,103,55.0,May,1987,217.58265899999998,0.0,0.0,0.0
54,O.C. and Stiggs,0.029814999999999998,MGM,R,109,7.0,July,1987,0.0,0.0,0.0,0.0
55,Rain Man,172.825435,MGM,R,133,25.0,December,1988,159.3293675,0.0,0.0,0.0
56,Who Framed Roger Rabbit,156.45237,Buena Vista,PG,103,70.0,June,1988,0.0,111.1625415,644.6337493333334,0.0
57,Twins,111.93838799999999,Universal,PG,105,15.0,December,1988,153.83310666666665,229.24298900000002,122.86062700000001,0.0
58,Die Hard,83.008852,Fox,R,131,28.0,July,1988,0.0,59.735548,119.471096,0.0
59,Rambo III,53.715610999999996,TriStar,R,102,63.0,May,1988,47.212903999999995,0.0,0.0,0.0
60,Sunset,4.5944519999999995,TriStar,R,106,16.0,April,1988,0.0,0.0,0.0,0.0
61,White Mischief,3.107551,Columbia,R,107,5.3,April,1988,0.0,0.0,0.0,0.0
62,Batman,251.18892400000001,Warner Bros.,PG-13,126,35.0,June,1989,108.42348899999999,0.0,172.825435,0.0
63,Indiana Jones and the Last Crusade,197.171806,Paramount,PG-13,127,48.0,May,1989,216.226944,250.4297776666667,335.5168923333333,0.0
64,Back to the Future Part II,118.450002,Universal,PG,108,40.0,November,1989,0.0,183.531066,600.8145895,0.0
65,We're No Angels,10.555348,Paramount,PG-13,101,20.0,December,1989,19.501315,0.0,0.0,0.0
66,Henry V,10.161099,Samuel Goldwyn,PG-13,137,9.0,November,1989,0.0,0.0,0.0,0.0
67,The Adventures of Baron Munchausen,8.083122999999999,Columbia,PG,125,46.63,March,1989,0.0,0.0,0.0,0.0
68,Home Alone,285.76124300000004,Fox,PG,105,18.0,November,1990,0.0,0.0,0.0,0.0
69,Ghost,217.631306,Paramount,PG-13,128,22.0,July,1990,74.00173,0.0,0.0,0.0
70,Dances with Wolves,184.208848,Orion Pictures,PG-13,183,22.0,November,1990,0.0,0.0,0.0,3.4843309999999996
71,Pretty Woman,178.40626799999998,Buena Vista,R,119,14.0,March,1990,25.928721,0.0,0.0,0.0
72,Teenage Mutant Ninja Turtles,135.26591499999998,New Line,PG,93,13.5,March,1990,0.0,0.0,0.0,0.0
73,The Hunt for Red October,122.012643,Paramount,PG,134,30.0,March,1990,197.171806,71.3722,0.0,0.0
74,Total Recall,119.39483999999999,Sony / Columbia,R,113,65.0,June,1990,62.04181025,53.42468100000001,0.0,0.0
75,Die Hard 2: Die Harder,117.540947,Fox,R,124,70.0,July,1990,43.801652000000004,0.0,142.7444,0.0
76,Dick Tracy,103.738726,Buena Vista,PG,105,47.0,June,1990,17.049438,0.0,0.0,0.0
77,Kindergarten Cop,91.457688,Universal,PG-13,111,15.0,December,1990,62.04181025,170.5906885,231.15826866666666,0.0
78,Back to the Future Part III,87.727583,Universal,PG,118,40.0,May,1990,0.0,161.837378,555.3301594666667,3.4843309999999996
79,The Godfather Part III,66.666062,Paramount,R,162,54.0,December,1990,0.358574,0.0,0.0,0.0
80,The Bonfire of the Vanities,15.691192000000001,Warner Bros.,R,126,47.0,December,1990,43.801652000000004,0.0,212.0071795,0.0
81,Havana,9.243139999999999,Universal,R,145,40.0,December,1990,0.0,177.2,177.2,0.0
82,Terminator 2: Judgment Day,204.843345,TriStar,R,137,102.0,July,1991,84.1297138,38.3712,38.3712,0.0
83,Robin Hood: Prince of Thieves,165.493908,Warner Bros.,PG-13,143,48.0,June,1991,282.908892,0.0,0.0,0.0
84,Beauty and the Beast,145.863363,Buena Vista,G,84,25.0,November,1991,0.0,0.0,0.0,0.0
85,The Silence of the Lambs,130.742922,Orion Pictures,R,118,19.0,February,1991,0.0,0.0,0.0,0.0
86,City Slickers,124.033791,Columbia,PG-13,112,27.0,June,1991,0.0,0.0,0.0,0.0
87,Hook,119.654823,TriStar,PG,142,70.0,December,1991,272.006576,188.5210385,351.45647830952385,0.0
88,The Addams Family,113.502426,Paramount,PG-13,102,30.0,November,1991,0.0,0.0,0.0,0.0
89,Sleeping with the Enemy,101.599005,Fox,R,99,19.0,February,1991,178.40626799999998,0.0,0.0,0.0
90,The Naked Gun 2 1/2: The Smell of Fear,86.93041099999999,Paramount,PG-13,85,23.0,June,1991,0.0,0.0,0.0,0.0
91,Teenage Mutant Ninja Turtles II,78.656813,New Line,PG,88,25.0,March,1991,0.0,0.0,0.0,0.0
92,Hot Shots!,69.467617,Fox,PG-13,84,26.0,July,1991,138.530565,0.0,0.0,0.0
93,My Girl,59.489799,Columbia,PG,102,17.0,November,1991,285.76124300000004,0.0,91.457688,0.0
94,Boyz N the Hood,57.504068999999994,Columbia,R,107,6.5,July,1991,0.0,0.0,0.0,0.0
95,New Jack City,47.624353,Warner Bros.,R,100,8.0,March,1991,0.0,0.0,0.0,0.0
96,The Rocketeer,46.704056,Buena Vista,PG,108,35.0,June,1991,0.0,0.0,204.30272933333333,0.0
97,Thelma and Louise,45.360915000000006,MGM,R,129,16.5,May,1991,0.0,0.0,0.0,0.0
98,Out for Justice,39.673161,Warner Bros.,R,91,14.0,April,1991,0.0,0.0,138.530565,0.0
99,Freddy's Dead: The Final Nightmare,34.872033,New Line,R,89,11.0,September,1991,0.0,0.0,0.0,0.0
100,White Fang,34.79316,Buena Vista,PG,107,14.0,January,1991,0.0,0.0,0.0,0.0
101,Jungle Fever,32.482682000000004,Universal,R,132,14.0,June,1991,0.0,0.0,0.0,0.0
102,The People Under the Stairs,24.204154,Universal,R,102,6.0,November,1991,0.0,0.0,0.0,0.0
103,Lionheart,24.078196,Universal,R,105,6.0,January,1991,0.0,0.0,0.0,0.0
104,For the Boys,17.86028,Fox,R,138,40.0,November,1991,62.134225,0.0,0.0,0.0
105,Hudson Hawk,17.21808,TriStar,R,95,65.0,May,1991,55.20886075,0.0,86.76178233333333,0.0
106,Billy Bathgate,15.565363,Buena Vista,R,107,48.0,November,1991,148.80916875,0.0,0.0,0.0
107,Flight of the Intruder,14.587732,Paramount,PG-13,114,35.0,January,1991,138.530565,0.0,0.0,92.4441205
108,The Marrying Man,12.454768,Buena Vista,R,118,26.0,April,1991,373.201567,0.0,0.0,0.0
109,The Super,11.000863,Fox,R,95,22.0,October,1991,0.0,0.0,0.0,0.0
110,Nothing But Trouble,8.479792999999999,Warner Bros.,PG-13,93,40.0,February,1991,114.093327,0.0,0.0,0.0
111,Harley Davidson and the Marlboro Man,7.4347259999999995,MGM,R,98,23.0,August,1991,17.185632000000002,0.0,0.0,0.0
112,Rambling Rose,6.266621,New Line,R,112,7.5,September,1991,0.0,0.0,0.0,0.0
113,Delirious (1991),5.5468269999999995,MGM,PG,96,18.0,August,1991,0.0,0.0,0.0,0.0
114,Eve of Destruction,5.451119,Orion Pictures,R,100,13.0,January,1991,0.0,0.0,0.0,0.0
115,True Identity,4.693236,Buena Vista,R,92,15.0,August,1991,0.0,0.0,0.0,0.0
116,Dutch,4.603929,Fox,PG-13,107,17.0,July,1991,0.0,0.0,285.76124300000004,0.0
117,Run,4.4093279999999995,Buena Vista,R,89,16.0,February,1991,0.0,0.0,0.0,0.0
118,Life Stinks,4.102526,MGM,PG-13,92,13.0,July,1991,0.0,0.0,0.0,0.0
119,Mannequin Two: On the Move,3.752428,Fox,PG,95,13.0,May,1991,0.0,0.0,0.0,0.0
120,Another You,2.865916,TriStar,R,94,17.0,July,1991,0.0,0.0,0.0,0.0
121,Return to the Blue Lagoon,2.8078540000000003,Columbia,PG-13,98,11.0,August,1991,0.0,0.0,0.0,0.0
122,Cool as Ice,1.193062,Universal,PG,100,6.0,October,1991,0.0,0.0,0.0,0.0
123,The Taking of Beverly Hills,0.939277,Columbia,R,96,19.0,October,1991,0.0,0.0,0.0,0.0
124,Aladdin,217.35021899999998,Buena Vista,G,90,28.0,November,1992,119.654823,0.0,0.0,0.0
125,Batman Returns,162.831698,Warner Bros.,PG-13,126,80.0,June,1992,363.127312,251.18892400000001,162.864291,0.0
126,Lethal Weapon 3,144.731527,Warner Bros.,R,118,35.0,May,1992,14.587732,0.0,69.37585675,0.0
127,A Few Good Men,141.340178,Columbia,R,138,40.0,December,1992,502.9031746666667,0.0,0.0,0.0
128,Wayne's World,121.697323,Paramount,PG-13,95,20.0,February,1992,0.0,0.0,0.0,0.0
129,Basic Instinct,117.72722399999999,TriStar,R,123,49.0,March,1992,119.39483999999999,86.4097605,0.0,0.0
130,A League of Their Own,107.533928,Sony / Columbia,PG,128,40.0,July,1992,68.71839650000001,0.0,0.0,0.0
131,Patriot Games,83.351587,Paramount,R,116,45.0,June,1992,197.171806,0.0,0.0,0.0
132,Bram Stoker's Dracula,82.52279,Columbia,R,127,40.0,November,1992,130.742922,0.0,0.0,0.0
133,The Last of the Mohicans,75.50585600000001,Fox,R,112,40.0,September,1992,0.0,0.0,0.0,66.491991
134,Boomerang,70.052444,Paramount,R,117,42.0,July,1992,0.0,0.0,75.4737435,0.0
135,Far and Away,58.88384,Universal,PG-13,140,60.0,May,1992,188.390798,0.0,75.4737435,0.0
136,Death Becomes Her,58.42265,Universal,PG-13,103,55.0,July,1992,42.26981433333333,143.30992925,0.0,0.0
137,Alien 3,55.473544999999994,Fox,R,114,50.0,May,1992,0.0,0.0,0.0,0.0
138,The Mighty Ducks,50.752337,Buena Vista,PG,104,10.0,October,1992,0.0,0.0,0.0,0.0
139,Medicine Man,45.500797,Buena Vista,PG-13,105,40.0,February,1992,159.5922245,88.25234766666667,0.0,0.0
140,Honeymoon in Vegas,35.208853999999995,Columbia,PG-13,97,25.0,August,1992,0.0,0.0,0.0,0.0
141,The Lawnmower Man,32.100815999999995,New Line,R,107,10.0,March,1992,0.0,0.0,0.0,0.0
142,The Muppet Christmas Carol,27.281507,Buena Vista,G,85,12.0,December,1992,0.0,0.0,0.0,0.0
143,Christopher Columbus: The Discovery,8.251071000000001,Warner Bros.,PG-13,120,40.0,August,1992,0.0,0.0,0.0,0.0
144,1492: Conquest of Paradise,7.1913990000000005,Paramount,PG-13,148,47.0,October,1992,4.693236,45.360915000000006,45.360915000000006,0.0
145,Newsies,2.819485,Buena Vista,PG,210,15.0,April,1992,16.42772,0.0,0.0,0.0
146,Shadows and Fog,2.735731,Orion Pictures,PG-13,85,14.0,March,1992,53.0272045,0.0,0.0,0.0
147,Jurassic Park,357.067947,Universal,PG-13,127,63.0,June,1993,0.0,158.4133145,265.1156248333333,0.0
148,Mrs. Doubtfire,219.195243,Fox,PG-13,125,25.0,November,1993,200.603337,285.76124300000004,0.0,0.0
149,Sleepless in Seattle,126.680884,TriStar,PG,105,21.0,June,1993,61.61256,0.0,0.0,0.0
150,In the Line of Fire,102.314823,Columbia,R,128,40.0,July,1993,147.467258,0.0,0.0,0.0
151,Schindler's List,96.065768,Universal,R,194,22.0,December,1993,0.0,158.4133145,408.4255540833333,68.74545725
152,Cliffhanger,84.049211,TriStar,R,113,70.0,May,1993,53.715610999999996,117.540947,0.0,0.0
153,Philadelphia,77.44644,TriStar,PG-13,125,26.0,December,1993,61.61256,130.742922,130.742922,0.0
154,Cool Runnings,68.856263,Buena Vista,PG,98,14.0,October,1993,0.0,0.0,0.0,0.0
155,Last Action Hero,50.016394,Columbia,PG-13,131,85.0,June,1993,104.24865233333333,77.56446,0.0,0.0
156,Wayne's World 2,48.197804999999995,Paramount,PG-13,94,40.0,December,1993,538.04819,0.0,121.697323,0.0
157,Teenage Mutant Ninja Turtles III,42.273609,New Line,PG,95,21.0,March,1993,0.0,0.0,0.0,0.0
158,Carlito's Way,36.948322,Universal,R,145,30.0,November,1993,95.757742,15.691192000000001,0.0,0.0
159,The Age of Innocence,32.25544,Columbia,PG,138,34.0,September,1993,320.860344,0.0,0.0,0.0
160,Shadowlands,25.842377,Savoy,PG,130,22.0,December,1993,106.632856,0.0,0.0,0.0
161,Much Ado About Nothing,22.549338,Samuel Goldwyn,PG-13,110,11.0,May,1993,299.6942,10.161099,0.0,0.0
162,Super Mario Bros.,20.915465,Buena Vista,PG,104,48.0,May,1993,0.0,0.0,0.0,0.0
163,Geronimo: An American Legend,18.63562,Columbia,PG-13,115,35.0,December,1993,4.543053,0.0,55.473544999999994,135.96821549999999
164,Body of Evidence,13.273595000000002,MGM,R,99,30.0,January,1993,91.86617783333332,0.0,0.0,0.0
165,For Love or Money,11.14627,Universal,PG,96,30.0,October,1993,0.0,113.502426,69.97094275,0.0
166,Robocop 3,10.69621,Orion Pictures,PG-13,105,22.0,November,1993,0.0,0.0,0.0,0.0
167,Fortress,6.739141,Miramax,R,95,8.0,September,1993,0.0,0.0,59.735548,0.0
168,Heaven and Earth,5.864949,Warner Bros.,PG-13,140,33.0,December,1993,0.0,138.530565,178.40626799999998,68.74545725
169,The Nutcracker,2.1199939999999997,Warner Bros.,G,93,19.0,November,1993,172.62552100000002,0.0,178.40626799999998,0.0
170,The Thing Called Love,1.0297209999999999,Paramount,PG-13,116,14.0,August,1993,0.0,0.0,59.735548,0.0
171,Forrest Gump,329.694499,Paramount,PG-13,141,55.0,July,1994,301.03335400000003,105.26315124999999,0.0,0.0
172,The Lion King,312.85556099999997,Buena Vista,G,89,45.0,June,1994,0.0,0.0,145.863363,0.0
173,True Lies,146.282411,Fox,R,144,115.0,July,1994,175.01993,204.843345,204.843345,0.0
174,The Santa Clause,144.833357,Buena Vista,PG,97,22.0,November,1994,0.0,0.0,0.0,0.0
175,The Flintstones,130.53120800000002,Universal,PG,91,46.0,May,1994,70.052444,0.0,490.52792541666673,0.0
176,Dumb and Dumber,127.175374,New Line,PG-13,101,17.0,December,1994,0.0,0.0,0.0,0.0
177,Clear and Present Danger,122.18771699999999,Paramount,PG-13,141,62.0,August,1994,154.19236,83.351587,0.0,0.0
178,Speed,121.248145,Fox,R,116,30.0,June,1994,53.565785,0.0,89.56373599999999,0.0
179,The Mask,119.93873,New Line,PG-13,97,23.0,July,1994,0.0,0.0,34.872033,0.0
180,Pulp Fiction,107.928762,Miramax,R,154,8.0,October,1994,77.06004428571428,0.0,0.0,0.0
181,Interview with the Vampire,105.26460800000001,Warner Bros.,R,123,60.0,November,1994,247.15717266666667,10.555348,0.0,0.0
182,Disclosure,83.015089,Warner Bros.,R,129,55.0,December,1994,212.22888024999997,172.825435,0.0,0.0
183,Star Trek: Generations,75.671125,Paramount,PG,117,35.0,November,1994,0.0,0.0,0.0,0.0
184,Ace Ventura: Pet Detective,72.217396,Warner Bros.,PG-13,87,15.0,February,1994,0.0,0.0,165.493908,0.0
185,The Specialist,57.362581999999996,Warner Bros.,R,110,45.0,October,1994,187.44344299999997,0.0,0.0,0.0
186,The Naked Gun 33 1/3: The Final Insult,51.132598,Paramount,PG-13,82,30.0,March,1994,86.93041099999999,0.0,221.565924,0.0
187,Natural Born Killers,50.282765999999995,Warner Bros.,R,182,34.0,August,1994,63.369018,72.197757,62.13040366666666,0.0
188,Little Women (1994),50.083616,Sony / Columbia,PG,118,18.0,December,1994,109.240322,0.0,162.831698,0.0
189,Beverly Hills Cop III,42.614912,Paramount,R,105,50.0,May,1994,70.052444,0.0,0.0,0.0
190,On Deadly Ground,38.590458,Warner Bros.,R,101,50.0,February,1994,66.954668,0.0,0.0,0.0
191,Richie Rich,38.087756,Warner Bros.,PG,94,40.0,December,1994,115.79034533333335,0.0,106.9484608,0.0
192,Junior,36.763355,Universal,PG-13,110,60.0,November,1994,277.6564691666666,101.698038,245.91105966666666,0.0
193,Street Fighter,33.423521,Universal,PG-13,162,35.0,December,1994,0.0,0.0,0.0,0.0
194,Drop Zone,28.735315000000003,Paramount,R,101,45.0,December,1994,40.0535175,0.0,0.0,0.0
195,The Shawshank Redemption,28.341469,Columbia,R,142,25.0,September,1994,90.59255,0.0,0.0,0.0
196,I.Q.,26.381221000000004,Paramount,PG,95,25.0,December,1994,126.680884,0.0,113.502426,0.0
197,Wyatt Earp,25.052,Warner Bros.,PG-13,190,63.0,June,1994,174.851378,0.0,368.417696,96.85735033333333
198,Mary Shelley's Frankenstein,22.006296,Sony / Columbia,R,123,45.0,November,1994,20.716447000000002,16.3552185,0.0,0.0
199,Color of Night,19.72605,Buena Vista,R,121,40.0,August,1994,100.05090728571427,0.0,0.0,0.0
200,Love Affair,18.272894,Warner Bros.,PG-13,108,60.0,October,1994,229.3867555,0.0,0.0,0.0
201,Baby's Day Out,16.827402,Fox,PG,99,48.0,July,1994,0.0,0.0,149.786515,0.0
202,Terminal Velocity,16.487349,Buena Vista,PG-13,102,50.0,September,1994,69.467617,0.0,167.78096000000002,0.0
203,I'll Do Anything,10.424645,Columbia,PG-13,116,40.0,February,1994,0.0,0.0,0.0,0.0
204,Serial Mom,7.8206880000000005,Savoy,R,93,13.0,April,1994,0.0,0.0,0.0,0.0
205,North,7.182747,Columbia,PG,88,40.0,July,1994,44.57736228571428,141.340178,0.0,0.0
206,The House of the Spirits,6.265311,Miramax,R,133,40.0,April,1994,193.258205,0.0,13.273595000000002,0.0
207,Ed Wood,5.887457,Buena Vista,R,127,18.0,September,1994,35.208853999999995,207.010311,325.663396,0.0
208,Jimmy Hollywood,3.783003,Paramount,R,117,30.0,April,1994,0.0,172.825435,172.825435,0.0
209,Silent Fall,3.1806740000000002,Warner Bros.,R,101,30.0,October,1994,204.843345,0.0,165.493908,0.0
210,Death and the Maiden,3.103716,Fine Line,R,103,12.0,December,1994,127.39824,1.641825,0.0,0.0
211,The Hudsucker Proxy,2.816518,Warner Bros.,PG,111,40.0,March,1994,0.0,0.0,0.0,0.0
212,Red Rock West,2.502551,Roxie,R,98,8.0,January,1994,35.208853999999995,0.0,0.0,0.0
213,Being Human,1.519366,Warner Bros.,PG-13,122,40.0,May,1994,185.400095,0.0,0.0,0.0
214,Rapa Nui,0.30507,Warner Bros.,R,107,20.0,September,1994,0.0,165.493908,368.417696,0.0
215,Batman Forever,184.031112,Warner Bros.,PG-13,122,100.0,June,1995,171.74229233333332,0.0,84.3595775,0.0
216,Jumanji,100.475249,Sony / Columbia,PG,104,65.0,December,1995,217.10402475,46.704056,108.6215035,0.0
217,Seven,100.12564300000001,New Line,R,127,33.0,September,1995,145.15495116666668,55.473544999999994,89.101863,0.0
218,Die Hard: With A Vengeance,100.012499,Fox,R,131,90.0,May,1995,274.675631875,72.05484679999999,0.0,0.0
219,Waterworld,88.24622,Universal,PG-13,136,175.0,July,1995,124.91825200000001,267.108337,173.00069824999997,0.0
220,While You Were Sleeping,81.057016,Buena Vista,PG,103,17.0,April,1995,61.138932999999994,68.856263,0.0,0.0
221,Braveheart,75.609945,Paramount,R,177,72.0,May,1995,144.731527,0.0,0.0,0.0
222,The Bridges of Madison County,71.51661700000001,Warner Bros.,PG-13,135,24.0,June,1995,134.6588035,0.0,159.569932875,0.0
223,Bad Boys,65.807024,Sony / Columbia,R,123,19.0,April,1995,70.052444,0.0,0.0,0.0
224,Sabrina,53.67208,Paramount,PG,127,58.0,December,1995,134.23703666666665,9.243139999999999,79.1849635,0.0
225,Judge Dredd,34.693481,Buena Vista,R,96,90.0,June,1995,70.7058965,0.0,0.0,0.0
226,Assassins,30.303071999999997,Warner Bros.,R,133,50.0,October,1995,146.97161116666666,144.731527,76.72045166666668,0.0
227,Billy Madison,25.588734,Universal,PG-13,88,10.0,February,1995,0.0,0.0,0.0,0.0
228,The Usual Suspects,23.341568,Gramercy,R,106,6.0,August,1995,8.251071000000001,0.0,0.0,0.0
229,Don Juan de Marco,22.150451,New Line,PG-13,97,25.0,April,1995,14.138528,0.0,222.2387385,0.0
230,Showgirls,20.350754000000002,MGM,NC-17,97,45.0,September,1995,0.0,96.84891499999999,0.0,0.0
231,Johnny Mnemonic,19.07572,Sony / Columbia,R,98,26.0,May,1995,75.440091,0.0,0.0,0.0
232,The Quick and the Dead,18.636537,Sony / Columbia,R,105,32.0,February,1995,98.16154866666665,0.0,0.0,78.90601275
233,Muriel's Wedding,15.119639000000001,Miramax,R,105,9.0,March,1995,0.0,0.0,0.0,0.0
234,Nixon,13.681764999999999,Buena Vista,R,212,44.0,December,1995,79.70269633333334,28.0738575,50.282765999999995,0.0
235,Fair Game (1995),11.534477,Warner Bros.,R,91,50.0,November,1995,0.0,0.0,76.72045166666668,0.0
236,The Scarlet Letter,10.382407,Buena Vista,R,135,46.0,October,1995,183.96770813333333,0.0,0.0,0.0
237,Cutthroat Island,10.017322,MGM,PG-13,123,98.0,December,1995,15.48039625,100.795079,0.0,0.0
238,In the Mouth of Madness,8.924549,New Line,R,95,8.0,February,1995,0.0,0.0,77.4053815,0.0
239,Tall Tale,8.247627,Buena Vista,PG,97,32.0,March,1995,217.631306,0.0,69.467617,0.0
240,Strange Days,7.959291,Fox,R,145,42.0,October,1995,153.569837,0.0,175.562878,0.0
241,Tank Girl,4.064495,MGM,R,103,25.0,March,1995,0.0,0.0,0.0,0.0
242,Restoration,4.005941,Miramax,R,118,19.0,December,1995,180.70723599999997,0.0,0.0,0.0
243,White Man's Burden,3.73487,Savoy,R,89,7.0,December,1995,107.928762,0.0,107.928762,0.0
244,"Steal Big, Steal Little",3.15017,Savoy,PG-13,134,35.0,September,1995,0.0,0.0,0.0,0.0
245,The Perez Family,2.832826,Samuel Goldwyn,R,113,11.0,May,1995,0.0,0.0,0.0,0.0
246,Wild Bill,2.193982,MGM,R,115,30.0,December,1995,0.0,18.63562,0.0,78.90601275
247,City of Lost Children,1.7386110000000001,Sony Classics,R,112,18.0,December,1995,0.0,0.0,0.0,0.0
248,Arabian Knight,0.669276,Miramax,G,71,25.0,August,1995,0.0,0.0,0.0,0.0
249,Canadian Bacon,0.163971,Gramercy,PG,91,11.0,September,1995,0.0,0.0,0.0,0.0
250,Independence Day,306.16926800000005,Fox,PG-13,153,75.0,July,1996,422.874971,0.0,0.0,0.0
251,Twister,241.72152400000002,Warner Bros.,PG-13,113,92.0,May,1996,69.467617,121.248145,535.9838181166666,0.0
252,Mission: Impossible,180.981856,Paramount,PG-13,110,80.0,May,1996,101.829542,26.319757,0.0,0.0
253,Jerry Maguire,153.95259199999998,Sony / Columbia,R,138,50.0,December,1996,297.0731186666667,0.0,10.017322,0.0
