,Name,Domestic Total Gross,Distributor,Genre,MPAA Rating,Release Date,Runtime,Production Budget,Director,Producer,Actor
0,Forrest Gump,"$329,694,499Domestic Lifetime Gross $330,252,182",Paramount,Comedy / Drama,PG-13,"July 6, 1994",2 hrs. 21 min.,$55 million,Robert Zemeckis,Steve Tisch,"Tom Hanks,Robin Wright,Sally Field"
1,The Lion King,"$312,855,561Domestic Lifetime Gross $422,783,777",Buena Vista,Animation,G,"June 15, 1994",1 hrs. 29 min.,$45 million,Rob Minkoff,Don Hahn,"Matthew Broderick,Jeremy Irons"
2,True Lies,"$146,282,411",Fox,Action Comedy,R,"July 15, 1994",2 hrs. 24 min.,$115 million,James Cameron,James Cameron,"Arnold Schwarzenegger,Tom Arnold,Jamie Lee Curtis"
3,The Santa Clause,"$144,833,357",Buena Vista,Family Comedy,PG,"November 11, 1994",1 hrs. 37 min.,$22 million,N/A,Jeffrey Silver,Tim Allen
4,The Flintstones,"$130,531,208",Universal,Family Comedy,PG,"May 27, 1994",1 hrs. 31 min.,$46 million,N/A,"Kathleen Kennedy,Gerald R. Molen,Steven Spielberg,Colin Wilson","John Goodman,Halle Berry"
5,Dumb and Dumber,"$127,175,374",New Line,Comedy,PG-13,"December 16, 1994",1 hrs. 41 min.,$17 million,The Farrelly Bros.,"Bradley Thomas,Charles B. Wessler",Jim Carrey
6,Clear and Present Danger,"$122,187,717",Paramount,Action Thriller,PG-13,"August 5, 1994",2 hrs. 21 min.,$62 million,Phillip Noyce,N/A,"Harrison Ford,Willem Dafoe"
7,Speed,"$121,248,145",Fox,Action Thriller,R,"June 10, 1994",1 hrs. 56 min.,$30 million,Jan DeBont,"Ian Bryce,Mark Gordon,Allison Lyon Segan","Sandra Bullock,Keanu Reeves"
8,The Mask,"$119,938,730",New Line,Comedy,PG-13,"July 29, 1994",1 hrs. 37 min.,$23 million,N/A,Michael De Luca,"Jim Carrey,Cameron Diaz"
9,Pulp Fiction,"$107,928,762",Miramax,Crime,R,"October 14, 1994",2 hrs. 34 min.,$8 million,Quentin Tarantino,"Lawrence Bender,Michael Shamberg,Stacey Sher","Rosanna Arquette,John Travolta,Uma Thurman,Samuel L. Jackson,Bruce Willis"
10,Interview with the Vampire,"$105,264,608",Warner Bros.,Period Horror,R,"November 11, 1994",2 hrs. 3 min.,$60 million,Neil Jordan,N/A,"Tom Cruise,Brad Pitt,Kirsten Dunst,Antonio Banderas"
11,Maverick,"$101,631,272",Warner Bros.,Western Comedy,PG,"May 20, 1994",2 hrs. 7 min.,N/A,Richard Donner,N/A,"Jodie Foster,Mel Gibson,James Garner"
12,The Client,"$92,115,211",Warner Bros.,Thriller,PG-13,"July 22, 1994",2 hrs. 2 min.,N/A,Joel Schumacher,Arnon Milchan,"Susan Sarandon,Tommy Lee Jones"
13,Disclosure,"$83,015,089",Warner Bros.,Drama / Thriller,R,"December 9, 1994",2 hrs. 9 min.,$55 million,Barry Levinson,Barry Levinson,"Michael Douglas,Demi Moore"
14,Star Trek: Generations,"$75,671,125",Paramount,Sci-Fi Adventure,PG,"November 18, 1994",1 hrs. 57 min.,$35 million,N/A,N/A,Patrick Stewart
15,Ace Ventura: Pet Detective,"$72,217,396",Warner Bros.,Comedy,PG-13,"February 4, 1994",1 hrs. 27 min.,$15 million,Tom Shadyac,"Gary Barber,James G. Robinson","Jim Carrey,Courteney Cox"
16,Stargate,"$71,567,262",MGM,Sci-Fi Adventure,PG-13,"October 28, 1994",2 hrs. 1 min.,N/A,Roland Emmerich,Dean Devlin,Kurt Russell
17,Legends of the Fall,"$66,638,883",Sony / Columbia,Period Drama,R,"December 23, 1994",2 hrs. 14 min.,N/A,Edward Zwick,"Patrick Crowley,Edward Zwick","Brad Pitt,Anthony Hopkins"
18,Wolf,"$65,002,597",Columbia,Horror Thriller,R,"June 17, 1994",2 hrs. 5 min.,N/A,Mike Nichols,Douglas Wick,"Jack Nicholson,Michelle Pfeiffer,Christopher Plummer"
19,The Specialist,"$57,362,582",Warner Bros.,Action,R,"October 7, 1994",1 hrs. 50 min.,$45 million,N/A,N/A,"Sylvester Stallone,Sharon Stone"
20,Four Weddings and a Funeral,"$52,700,832",Gramercy,Romantic Comedy,R,"March 11, 1994",1 hrs. 58 min.,$4.4 million,Mike Newell,"Tim Bevan,Eric Fellner",Hugh Grant
21,The Little Rascals,"$52,125,282",Universal,Family Comedy,PG,"August 5, 1994",1 hrs. 23 min.,N/A,Penelope Spheeris,Gerald R. Molen,N/A
22,The Naked Gun 33 1/3: The Final Insult,"$51,132,598",Paramount,Comedy,PG-13,"March 18, 1994",1 hrs. 22 min.,$30 million,Peter Segal,"Jim Abrahams,Robert K. Weiss,David Zucker,Jerry Zucker",Leslie Nielsen
23,The Crow,"$50,693,129",Miramax,Action Horror,R,"May 13, 1994",1 hrs. 57 min.,N/A,Alex Proyas,N/A,N/A
24,Natural Born Killers,"$50,282,766",Warner Bros.,Crime,R,"August 26, 1994",3 hrs. 2 min.,$34 million,Oliver Stone,"Arnon Milchan,Don Murphy,Clayton Townsend","Woody Harrelson,Jared Harris,Robert Downey, Jr.,Tommy Lee Jones"
25,Angels in the Outfield (1994),"$50,236,831",Buena Vista,Family Comedy,PG,"July 15, 1994",1 hrs. 43 min.,N/A,N/A,"Roger Birnbaum,Joe Roth","Joseph Gordon-Levitt,Danny Glover"
26,Little Women (1994),"$50,083,616",Sony / Columbia,Period Drama,PG,"December 21, 1994",1 hrs. 58 min.,$18 million,Gillian Armstrong,Denise Di Novi,"Winona Ryder,Kirsten Dunst,Claire Danes,Christian Bale,Susan Sarandon"
27,When a Man Loves a Woman,"$50,021,959",Buena Vista,Romance,R,"April 29, 1994",2 hrs. 6 min.,N/A,N/A,Jordan Kerner,"Meg Ryan,Philip Seymour Hoffman"
28,The River Wild,"$46,816,343",Universal,Action Thriller,PG-13,"September 30, 1994",1 hrs. 52 min.,N/A,Curtis Hanson,N/A,"Kevin Bacon,Meryl Streep"
29,D2: The Mighty Ducks,"$45,610,410",Buena Vista,Family Comedy,PG,"March 25, 1994",1 hrs. 47 min.,N/A,N/A,Jordan Kerner,N/A
30,Timecop,"$44,853,581",Universal,Sci-Fi Action,R,"September 16, 1994",1 hrs. 39 min.,N/A,Peter Hyams,Sam Raimi,N/A
31,City Slickers II: The Legend of Curly's Gold,"$43,622,150",Columbia,Comedy,PG-13,"June 10, 1994",1 hrs. 55 min.,N/A,N/A,N/A,Billy Crystal
32,The Jungle Book (1994),"$43,229,904",Buena Vista,Period Adventure,PG,"December 25, 1994",1 hrs. 51 min.,N/A,Stephen Sommers,N/A,"Cary Elwes,Lena Headey"
33,Beverly Hills Cop III,"$42,614,912",Paramount,Action Comedy,R,"May 25, 1994",1 hrs. 45 min.,$50 million,John Landis,N/A,Eddie Murphy
34,Nobody's Fool,"$39,491,975",Paramount,Comedy / Drama,R,"December 23, 1994",1 hrs. 50 min.,N/A,Robert Benton,Scott Rudin,"Paul Newman,Bruce Willis,Philip Seymour Hoffman"
35,The Paper,"$38,824,341",Universal,Comedy / Drama,R,"March 18, 1994",1 hrs. 52 min.,N/A,Ron Howard,Brian Grazer,"Michael Keaton,Robert Duvall,Glenn Close,Marisa Tomei,Randy Quaid"
36,On Deadly Ground,"$38,590,458",Warner Bros.,Action,R,"February 18, 1994",1 hrs. 41 min.,$50 million,N/A,N/A,"Steven Seagal,Michael Caine"
37,Richie Rich,"$38,087,756",Warner Bros.,Family Comedy,PG,"December 21, 1994",1 hrs. 34 min.,$40 million,N/A,"John Davis,Joel Silver",Macaulay Culkin
38,It Could Happen to You,"$37,939,757",TriStar,Romantic Comedy,PG,"July 29, 1994",1 hrs. 41 min.,N/A,N/A,N/A,"Nicolas Cage,Stanley Tucci"
