,Name,Domestic Total Gross,Distributor,Genre,MPAA Rating,Release Date,Runtime,Production Budget,Director,Producer,Actor
0,Raiders of the Lost Ark,"$212,222,025Domestic Lifetime Gross $248,159,971",Paramount,Period Adventure,PG,"June 12, 1981",1 hrs. 55 min.,$18 million,Steven Spielberg,"George Lucas,Frank Marshall",Harrison Ford
1,On Golden Pond,"$119,285,432",Universal,Drama,PG,"December 4, 1981",1 hrs. 49 min.,N/A,N/A,N/A,Katharine Hepburn
2,Superman II,"$108,185,706",Warner Bros.,Action / Adventure,PG,"June 19, 1981",2 hrs. 8 min.,$54 million,N/A,N/A,Christopher Reeve
3,Arthur,"$95,461,682",Warner Bros.,Romantic Comedy,PG,"July 17, 1981",1 hrs. 37 min.,N/A,N/A,Michael Tadross,N/A
4,Stripes,"$85,297,000",Columbia,Comedy,R,"June 26, 1981",1 hrs. 46 min.,N/A,Ivan Reitman,Ivan Reitman,Bill Murray
5,The Cannonball Run,"$72,179,579",Fox,Comedy,PG,"June 19, 1981",1 hrs. 35 min.,N/A,N/A,N/A,Roger Moore
6,Chariots of Fire,"$58,972,904",Columbia,Sports Drama,PG,"September 25, 1981",2 hrs. 3 min.,N/A,N/A,N/A,Ian Holm
7,For Your Eyes Only,"$54,812,802",MGM,Action,PG,"June 26, 1981",2 hrs. 8 min.,N/A,N/A,Michael G. Wilson,Roger Moore
8,The Four Seasons,"$50,427,646",Universal,Comedy,PG,"May 22, 1981",1 hrs. 47 min.,N/A,N/A,N/A,Alan Alda
9,Time Bandits,"$42,365,581",Embassy,Adventure Comedy,PG,"November 6, 1981",1 hrs. 55 min.,N/A,Terry Gilliam,N/A,Sean Connery
10,Clash of the Titans (1981),"$41,092,328",MGM,Fantasy,PG,"June 12, 1981",1 hrs. 58 min.,N/A,N/A,N/A,Maggie Smith
11,Absence of Malice,"$40,716,963",Columbia,Drama / Thriller,PG,"November 20, 1981",1 hrs. 56 min.,N/A,Sydney Pollack,Sydney Pollack,"Paul Newman,Sally Field"
12,Reds,"$40,382,659",Paramount,Historical Drama,PG,"December 4, 1981",3 hrs. 14 min.,$32 million,Warren Beatty,N/A,"Warren Beatty,Diane Keaton,Jack Nicholson"
13,The Fox and the Hound,"$39,900,000Domestic Lifetime Gross $63,456,988",Buena Vista,Animation,G,"July 10, 1981",1 hrs. 23 min.,N/A,N/A,N/A,Kurt Russell
14,"Tarzan, the Ape Man","$36,565,280",MGM,Period Adventure,R,"July 24, 1981",1 hrs. 55 min.,N/A,N/A,N/A,N/A
15,Taps,"$35,856,053",Fox,Drama,PG,"December 9, 1981",2 hrs. 6 min.,N/A,N/A,N/A,"Tom Cruise,Sean Penn"
16,Sharky's Machine,"$35,610,100",Warner Bros.,Action Thriller,R,"December 18, 1981",2 hrs. 2 min.,N/A,N/A,N/A,N/A
17,Excalibur,"$34,967,437",Warner Bros.,Fantasy,PG,"April 10, 1981",2 hrs. 20 min.,N/A,N/A,N/A,Helen Mirren
18,"History of the World, Part I","$31,672,907",Fox,Comedy,R,"June 12, 1981",1 hrs. 32 min.,N/A,Mel Brooks,N/A,N/A
19,Bustin' Loose,"$31,261,269",Universal,Comedy,R,"May 22, 1981",1 hrs. 34 min.,N/A,N/A,N/A,N/A
