,Name,Domestic Total Gross,Distributor,Genre,MPAA Rating,Release Date,Runtime,Production Budget,Director,Producer,Actor
0,Three Men and a Baby,"$167,780,960",Buena Vista,Comedy,PG,"November 25, 1987",1 hrs. 42 min.,$11 million,N/A,Ted Field,N/A
1,Fatal Attraction,"$156,645,693",Paramount,Thriller,R,"September 18, 1987",2 hrs. 3 min.,N/A,N/A,Sherry Lansing,"Michael Douglas,Glenn Close"
2,Beverly Hills Cop II,"$153,665,036",Paramount,Action Comedy,R,"May 20, 1987",1 hrs. 43 min.,N/A,Tony Scott,Jerry Bruckheimer,Eddie Murphy
3,"Good Morning, Vietnam ","$123,922,370",Buena Vista,Comedy / Drama,R,"December 25, 1987",1 hrs. 59 min.,N/A,Barry Levinson,Mark Johnson,"Forest Whitaker,Robin Williams"
4,Moonstruck,"$80,640,528",MGM,Romantic Comedy,PG,"December 18, 1987",1 hrs. 42 min.,N/A,N/A,N/A,"Cher,Nicolas Cage"
5,The Untouchables,"$76,270,454",Paramount,Period Action,R,"June 5, 1987",1 hrs. 59 min.,N/A,Brian De Palma,N/A,"Sean Connery,Kevin Costner,Robert DeNiro"
6,The Secret of My Success,"$66,995,879",Universal,Romantic Comedy,PG-13,"April 10, 1987",1 hrs. 51 min.,N/A,N/A,N/A,N/A
7,Stakeout,"$65,673,233",Buena Vista,Action Comedy,R,"August 7, 1987",1 hrs. 56 min.,N/A,N/A,N/A,Forest Whitaker
8,Lethal Weapon,"$65,207,127",Warner Bros.,Action Comedy,R,"March 6, 1987",1 hrs. 50 min.,N/A,Richard Donner,Joel Silver,"Mel Gibson,Danny Glover"
9,The Witches of Eastwick,"$63,766,510",Warner Bros.,Horror Comedy,R,"June 12, 1987",1 hrs. 58 min.,N/A,George Miller,Jon Peters,"Jack Nicholson,Cher,Susan Sarandon,Michelle Pfeiffer"
10,Dirty Dancing,"$63,446,382Domestic Lifetime Gross $63,954,274",Vestron,Romance,PG-13,"August 21, 1987",1 hrs. 45 min.,$6 million,N/A,N/A,Patrick Swayze
