,Name,Domestic Total Gross,Distributor,Genre,MPAA Rating,Release Date,Runtime,Production Budget,Director,Producer,Actor
0,Home Alone,"$285,761,243",Fox,Family Comedy,PG,"November 16, 1990",1 hrs. 45 min.,$18 million,Chris Columbus,John Hughes,Macaulay Culkin
1,Ghost,"$217,631,306",Paramount,Romance,PG-13,"July 13, 1990",2 hrs. 8 min.,$22 million,Jerry Zucker,N/A,"Patrick Swayze,Demi Moore"
2,Dances with Wolves,"$184,208,848",Orion Pictures,Western,PG-13,"November 9, 1990",3 hrs. 3 min.,$22 million,Kevin Costner,"Kevin Costner,Jim Wilson",Kevin Costner
3,Pretty Woman,"$178,406,268",Buena Vista,Romantic Comedy,R,"March 23, 1990",1 hrs. 59 min.,$14 million,Garry Marshall,"Arnon Milchan,Laura Ziskin","Richard Gere,Julia Roberts"
4,Teenage Mutant Ninja Turtles,"$135,265,915",New Line,Family Adventure,PG,"March 30, 1990",1 hrs. 33 min.,$13.5 million,N/A,Simon Fields,N/A
5,The Hunt for Red October,"$122,012,643",Paramount,Action Thriller,PG,"March 2, 1990",2 hrs. 14 min.,$30 million,John McTiernan,N/A,"Sean Connery,Alec Baldwin"
6,Total Recall,"$119,394,840Domestic Lifetime Gross $119,412,921",Sony / Columbia,Sci-Fi Action,R,"June 1, 1990",1 hrs. 53 min.,$65 million,Paul Verhoeven,N/A,"Arnold Schwarzenegger,Sharon Stone"
7,Die Hard 2: Die Harder,"$117,540,947",Fox,Action Thriller,R,"July 6, 1990",2 hrs. 4 min.,$70 million,Renny Harlin,"Lawrence Gordon,Lloyd Levin,Joel Silver",Bruce Willis
8,Dick Tracy,"$103,738,726",Buena Vista,Period Action,PG,"June 15, 1990",1 hrs. 45 min.,$47 million,Warren Beatty,Jon Landau,"Warren Beatty,Al Pacino,Madonna"
9,Kindergarten Cop,"$91,457,688",Universal,Comedy,PG-13,"December 22, 1990",1 hrs. 51 min.,$15 million,Ivan Reitman,"Brian Grazer,Joe Medjuck,Ivan Reitman",Arnold Schwarzenegger
10,Back to the Future Part III,"$87,727,583",Universal,Western,PG,"May 25, 1990",1 hrs. 58 min.,$40 million,Robert Zemeckis,"Kathleen Kennedy,Frank Marshall,Steven Spielberg",N/A
11,Presumed Innocent,"$86,303,188",Warner Bros.,Thriller,R,"July 27, 1990",2 hrs. 7 min.,N/A,Alan J. Pakula,Sydney Pollack,Harrison Ford
12,Days of Thunder,"$82,670,733",Paramount,Sports Drama,PG-13,"June 29, 1990",1 hrs. 47 min.,N/A,Tony Scott,"Jerry Bruckheimer,Gerald R. Molen","Michael Rooker,Tom Cruise,Robert Duvall,Nicole Kidman,Randy Quaid,Cary Elwes"
13,Another 48 HRS.,"$80,818,974",Paramount,Action Comedy,R,"June 8, 1990",1 hrs. 35 min.,N/A,Walter Hill,Lawrence Gordon,Eddie Murphy
14,Three Men and a Little Lady,"$71,609,321",Buena Vista,Family Comedy,PG,"November 21, 1990",1 hrs. 44 min.,N/A,N/A,Ted Field,N/A
15,Bird on a Wire,"$70,978,012",Universal,Romantic Comedy,PG-13,"May 18, 1990",1 hrs. 50 min.,N/A,N/A,Ted Field,"Mel Gibson,Goldie Hawn"
16,The Godfather Part III,"$66,666,062",Paramount,Crime Drama,R,"December 25, 1990",2 hrs. 42 min.,$54 million,N/A,N/A,"Al Pacino,Diane Keaton,Sofia Coppola"
17,Flatliners,"$61,489,265",Columbia,Horror,R,"August 10, 1990",1 hrs. 55 min.,N/A,Joel Schumacher,"Michael Douglas,Scott Rudin","Kiefer Sutherland,Julia Roberts,Kevin Bacon"
18,Misery,"$61,276,872",Columbia,Thriller,R,"November 30, 1990",1 hrs. 48 min.,N/A,Rob Reiner,N/A,Kathy Bates
19,Edward Scissorhands,"$56,362,352",Fox,Fantasy Drama,PG-13,"December 7, 1990",1 hrs. 45 min.,N/A,Tim Burton,"Tim Burton,Denise Di Novi","Johnny Depp,Winona Ryder"
20,Problem Child,"$53,470,891",Universal,Family Comedy,PG,"July 27, 1990",2 hrs. 52 min.,N/A,Dennis Dugan,Robert Simonds,N/A
21,Arachnophobia,"$53,208,180",Buena Vista,Horror Comedy,PG-13,"July 20, 1990",1 hrs. 49 min.,N/A,Frank Marshall,"Ted Field,Kathleen Kennedy,Frank Marshall,Steven Spielberg,Richard Vane",N/A
22,Awakenings,"$52,096,475",Columbia,Drama,PG-13,"December 22, 1990",2 hrs. 0 min.,N/A,Penny Marshall,Penny Marshall,"Robert DeNiro,Robin Williams"
23,Look Who's Talking Too,"$47,789,074",TriStar,Comedy,PG-13,"December 14, 1990",1 hrs. 36 min.,N/A,Amy Heckerling,N/A,"John Travolta,Bruce Willis"
24,Hard to Kill,"$47,410,827",Warner Bros.,Action,R,"February 9, 1990",1 hrs. 35 min.,N/A,N/A,N/A,Steven Seagal
25,Goodfellas,"$46,836,214",Warner Bros.,Crime Drama,R,"September 19, 1990",2 hrs. 26 min.,N/A,Martin Scorsese,Irwin Winkler,Robert DeNiro
26,Marked for Death,"$46,044,396",Fox,Action,R,"October 5, 1990",1 hrs. 34 min.,N/A,N/A,N/A,Steven Seagal
27,Robocop 2,"$45,681,173",Orion Pictures,Sci-Fi Action,R,"June 22, 1990",1 hrs. 57 min.,N/A,Irvin Kershner,Patrick Crowley,N/A
28,The Jungle Book (re-issue) (1990),"$44,645,619Domestic Lifetime Gross $141,843,612",Buena Vista,Animation,G,"July 13, 1990",1 hrs. 18 min.,N/A,N/A,N/A,N/A
29,Young Guns II,"$44,143,410",Fox,Western,PG-13,"August 3, 1990",1 hrs. 44 min.,N/A,N/A,"Gary Barber,Joe Roth",Kiefer Sutherland
30,Gremlins 2: The New Batch,"$41,482,207",Warner Bros.,Horror Comedy,PG-13,"June 15, 1990",1 hrs. 47 min.,N/A,N/A,"Kathleen Kennedy,Frank Marshall,Steven Spielberg",N/A
31,Rocky V,"$40,946,358",United Artists,Sports Drama,PG-13,"November 16, 1990",1 hrs. 51 min.,N/A,N/A,Irwin Winkler,Sylvester Stallone
32,Joe Versus the Volcano,"$39,404,261",Warner Bros.,Romantic Comedy,PG,"March 9, 1990",1 hrs. 42 min.,N/A,N/A,"Kathleen Kennedy,Frank Marshall,Steven Spielberg","Tom Hanks,Meg Ryan"
33,Postcards from the Edge,"$39,071,603",Columbia,Comedy / Drama,R,"September 14, 1990",1 hrs. 42 min.,N/A,Mike Nichols,Mike Nichols,"Meryl Streep,Dennis Quaid"
34,Mermaids,"$35,419,397",Orion Pictures,Drama,PG-13,"December 14, 1990",1 hrs. 50 min.,N/A,N/A,N/A,"Cher,Winona Ryder,Christina Ricci"
35,Darkman,"$33,878,502",Universal,Action Horror,R,"August 24, 1990",1 hrs. 36 min.,N/A,Sam Raimi,N/A,"Liam Neeson,Frances McDormand"
36,Air America,"$31,053,601",TriStar,Action Comedy,R,"August 10, 1990",1 hrs. 53 min.,N/A,N/A,N/A,"Mel Gibson,Robert Downey, Jr."
37,Predator 2,"$30,669,413",Fox,Action Horror,R,"November 21, 1990",1 hrs. 48 min.,N/A,Stephen Hopkins,"John Davis,Lawrence Gordon,Lloyd Levin,Joel Silver",Danny Glover
38,Green Card,"$29,888,235",Buena Vista,Romantic Comedy,PG-13,"December 25, 1990",1 hrs. 47 min.,N/A,Peter Weir,N/A,N/A
39,Pacific Heights,"$29,381,956",Fox,Thriller,R,"September 28, 1990",1 hrs. 42 min.,N/A,N/A,"Gary Barber,Joe Roth,Scott Rudin",Michael Keaton
40,Child's Play 2,"$28,501,605",Universal,Horror,R,"November 9, 1990",1 hrs. 24 min.,N/A,N/A,N/A,N/A
41,The Rescuers Down Under,"$27,931,461",Buena Vista,Animation,G,"November 16, 1990",1 hrs. 17 min.,N/A,N/A,N/A,N/A
42,Internal Affairs,"$27,734,391",Paramount,Crime Thriller,R,"January 12, 1990",1 hrs. 57 min.,N/A,N/A,N/A,Richard Gere
43,Cadillac Man,"$27,627,310",Orion Pictures,Comedy / Drama,R,"May 18, 1990",1 hrs. 37 min.,N/A,Roger Donaldson,"Roger Donaldson,Charles Roven","Tim Robbins,Robin Williams"
44,Memphis Belle,"$27,441,977",Warner Bros.,War,PG-13,"October 12, 1990",1 hrs. 47 min.,N/A,Michael Caton-Jones,N/A,N/A
45,House Party,"$26,385,627",New Line,Comedy,R,"March 9, 1990",1 hrs. 40 min.,N/A,N/A,N/A,Martin Lawrence
46,Jacob's Ladder,"$26,118,851",TriStar,Horror Thriller,R,"November 2, 1990",1 hrs. 56 min.,N/A,N/A,N/A,Tim Robbins
47,The Exorcist III,"$26,098,824",Fox,Horror,R,"August 17, 1990",1 hrs. 45 min.,N/A,N/A,Joe Roth,N/A
48,Fantasia (Re-issue) (1990),"$25,363,371Domestic Lifetime Gross $76,408,097",Buena Vista,Animation,G,"October 5, 1990",2 hrs. 5 min.,N/A,N/A,N/A,N/A
49,Navy Seals,"$25,069,101",Orion Pictures,Action,R,"July 20, 1990",1 hrs. 53 min.,N/A,N/A,N/A,Charlie Sheen
50,Ernest Goes to Jail,"$25,029,569",Buena Vista,Comedy,PG,"April 6, 1990",1 hrs. 21 min.,N/A,N/A,N/A,N/A
51,Ghost Dad,"$24,707,633",Universal,Fantasy Comedy,PG,"June 29, 1990",1 hrs. 24 min.,N/A,N/A,N/A,N/A
52,My Blue Heaven,"$23,591,472",Warner Bros.,Crime Comedy,PG-13,"August 17, 1990",1 hrs. 36 min.,N/A,N/A,Nora Ephron,Steve Martin
53,The Russia House,"$22,997,992",MGM,Thriller,R,"December 22, 1990",2 hrs. 3 min.,N/A,N/A,N/A,"Sean Connery,Michelle Pfeiffer"
54,The First Power,"$22,424,195",Orion Pictures,Action Horror,R,"April 6, 1990",1 hrs. 38 min.,N/A,N/A,Ted Field,N/A
55,The Rookie (1990),"$21,633,874",Warner Bros.,Action Comedy,R,"December 7, 1990",2 hrs. 1 min.,N/A,Clint Eastwood,David Valdes,"Clint Eastwood,Charlie Sheen"
56,The Freshman,"$21,460,601",TriStar,Comedy,PG,"July 20, 1990",1 hrs. 42 min.,N/A,N/A,N/A,"Marlon Brando,Matthew Broderick"
57,The Adventures of Ford Fairlane,"$21,413,502",Fox,Action Comedy,R,"July 13, 1990",1 hrs. 44 min.,N/A,Renny Harlin,Joel Silver,N/A
58,Quigley Down Under,"$21,413,105",MGM,Western,PG-13,"October 19, 1990",2 hrs. 0 min.,N/A,N/A,N/A,Alan Rickman
59,Madhouse,"$21,036,771",Orion Pictures,Comedy,PG-13,"February 16, 1990",1 hrs. 31 min.,N/A,N/A,Leslie Dixon,Lance Henriksen
60,Hamlet (1990),"$20,710,451",Warner Bros.,Period Drama,PG,"December 22, 1990",2 hrs. 15 min.,N/A,N/A,N/A,"Helena Bonham Carter,Mel Gibson,Glenn Close,Ian Holm"
61,Jetsons: The Movie,"$20,305,841",Universal,Animation,G,"July 6, 1990",1 hrs. 22 min.,N/A,N/A,N/A,N/A
62,Stella,"$20,240,128",Buena Vista,Drama,PG-13,"February 2, 1990",1 hrs. 49 min.,N/A,N/A,N/A,Bette Midler
63,Taking Care of Business,"$20,005,435",Buena Vista,Comedy,R,"August 17, 1990",1 hrs. 48 min.,N/A,N/A,N/A,N/A
64,Betsy's Wedding,"$19,740,070",Buena Vista,Comedy,R,"June 22, 1990",1 hrs. 46 min.,N/A,N/A,N/A,Alan Alda
65,Duck Tales: The Movie,"$18,115,724",Buena Vista,Animation,G,"August 3, 1990",1 hrs. 14 min.,N/A,N/A,N/A,N/A
66,Sibling Rivalry,"$17,854,933",Columbia,Comedy,PG-13,"October 26, 1990",1 hrs. 27 min.,N/A,N/A,N/A,"Sam Elliott,Carrie Fisher"
67,White Palace,"$17,487,531",Universal,Romance,R,"October 19, 1990",1 hrs. 43 min.,N/A,N/A,Sydney Pollack,"Susan Sarandon,Kathy Bates"
68,The Guardian (1990),"$17,037,887",Universal,Horror,R,"April 27, 1990",1 hrs. 32 min.,N/A,William Friedkin,Todd Black,N/A
69,Death Warrant,"$16,853,487",MGM,Action,R,"September 14, 1990",1 hrs. 29 min.,N/A,N/A,N/A,N/A
70,Tremors,"$16,667,084",Universal,Horror Comedy,PG-13,"January 19, 1990",1 hrs. 35 min.,N/A,Ron Underwood,Gale Anne Hurd,Kevin Bacon
71,Tales From the Darkside: The Movie,"$16,324,573",Paramount,Horror,R,"May 4, 1990",1 hrs. 33 min.,N/A,N/A,Richard P. Rubinstein,N/A
72,Men at Work,"$16,247,964",Triumph,Comedy,PG-13,"August 24, 1990",1 hrs. 38 min.,N/A,N/A,N/A,Charlie Sheen
73,I Love You to Death,"$16,186,793",TriStar,Crime Comedy,R,"April 6, 1990",1 hrs. 37 min.,N/A,Lawrence Kasdan,Michael Grillo,"Kevin Kline,Keanu Reeves"
74,Mo' Better Blues,"$16,153,593",Universal,Music Drama,R,"August 3, 1990",2 hrs. 10 min.,N/A,Spike Lee,N/A,"Denzel Washington,Wesley Snipes"
75,Avalon,"$15,740,796",Triumph,Period Drama,R,"October 5, 1990",2 hrs. 8 min.,N/A,Barry Levinson,"Mark Johnson,Barry Levinson",Elijah Wood
76,The Bonfire of the Vanities,"$15,691,192",Warner Bros.,Comedy,R,"December 22, 1990",2 hrs. 6 min.,$47 million,Brian De Palma,Jon Peters,"Tom Hanks,Bruce Willis,Morgan Freeman"
77,Revenge,"$15,645,616",Columbia,Romantic Thriller,R,"February 16, 1990",2 hrs. 3 min.,N/A,Tony Scott,"Kevin Costner,Hunt Lowry",Kevin Costner
78,Reversal of Fortune,"$15,445,131",Warner Bros.,Drama / Thriller,R,"October 19, 1990",1 hrs. 52 min.,N/A,Barbet Schroeder,N/A,"Glenn Close,Jeremy Irons"
79,Mr. Destiny,"$15,379,253",Buena Vista,Fantasy Comedy,PG-13,"October 12, 1990",1 hrs. 50 min.,N/A,N/A,N/A,"Linda Hamilton,Michael Caine,Rene Russo"
