,Name,Domestic Total Gross,Distributor,Genre,MPAA Rating,Release Date,Runtime,Production Budget,Director,Producer,Actor
0,Jurassic Park,"$357,067,947Domestic Lifetime Gross $402,453,882",Universal,Sci-Fi Horror,PG-13,"June 11, 1993",2 hrs. 7 min.,$63 million,Steven Spielberg,"Kathleen Kennedy,Gerald R. Molen",Jeff Goldblum
1,Mrs. Doubtfire,"$219,195,243",Fox,Family Comedy,PG-13,"November 24, 1993",2 hrs. 5 min.,$25 million,Chris Columbus,N/A,"Robin Williams,Sally Field,Pierce Brosnan"
2,The Fugitive,"$183,875,760",Warner Bros.,Action Thriller,PG-13,"August 6, 1993",2 hrs. 10 min.,N/A,Andrew Davis,Arnold Kopelson,"Harrison Ford,Tommy Lee Jones"
3,The Firm,"$158,348,367",Paramount,Thriller,R,"July 2, 1993",2 hrs. 34 min.,N/A,Sydney Pollack,"John Davis,Sydney Pollack,Scott Rudin","Tom Cruise,Ed Harris,Holly Hunter"
4,Sleepless in Seattle,"$126,680,884",TriStar,Romantic Comedy,PG,"June 25, 1993",1 hrs. 45 min.,$21 million,Nora Ephron,"Patrick Crowley,Lynda Obst","Tom Hanks,Meg Ryan"
5,Indecent Proposal,"$106,614,059",Paramount,Romance,R,"April 9, 1993",1 hrs. 56 min.,N/A,N/A,Sherry Lansing,"Robert Redford,Demi Moore,Woody Harrelson"
6,In the Line of Fire,"$102,314,823",Columbia,Action Thriller,R,"July 9, 1993",2 hrs. 8 min.,$40 million,Wolfgang Petersen,David Valdes,"Clint Eastwood,John Malkovich,Rene Russo"
7,The Pelican Brief,"$100,768,056",Warner Bros.,Thriller,PG-13,"December 17, 1993",2 hrs. 21 min.,N/A,Alan J. Pakula,Pieter Jan Brugge,"Julia Roberts,Denzel Washington"
8,Schindler's List,"$96,065,768",Universal,War Drama,R,"December 15, 1993",3 hrs. 14 min.,$22 million,Steven Spielberg,"Kathleen Kennedy,Gerald R. Molen,Steven Spielberg","Liam Neeson,Ben Kingsley,Ralph Fiennes"
9,Cliffhanger,"$84,049,211",TriStar,Action Thriller,R,"May 28, 1993",1 hrs. 53 min.,$70 million,Renny Harlin,N/A,"Michael Rooker,Sylvester Stallone"
10,Free Willy,"$77,698,625",Warner Bros.,Family Adventure,PG,"July 16, 1993",1 hrs. 52 min.,N/A,N/A,"Lauren Schuler Donner,Arnon Milchan",N/A
11,Philadelphia,"$77,446,440",TriStar,Drama,PG-13,"December 24, 1993",2 hrs. 5 min.,$26 million,Jonathan Demme,Gary Goetzman,"Antonio Banderas,Tom Hanks,Denzel Washington"
12,Groundhog Day,"$70,906,973",Columbia,Fantasy Comedy,PG,"February 12, 1993",1 hrs. 41 min.,N/A,Harold Ramis,N/A,Bill Murray
13,Grumpy Old Men,"$70,172,621",Warner Bros.,Comedy,PG-13,"December 25, 1993",1 hrs. 44 min.,N/A,N/A,John Davis,N/A
14,Cool Runnings,"$68,856,263",Buena Vista,Sports Comedy,PG,"October 1, 1993",1 hrs. 38 min.,$14 million,Jon Turteltaub,Christopher Meledandri,N/A
15,Dave,"$63,270,710",Warner Bros.,Comedy,PG-13,"May 7, 1993",1 hrs. 50 min.,N/A,Ivan Reitman,"Lauren Schuler Donner,Joe Medjuck,Ivan Reitman","Kevin Kline,Sigourney Weaver,Frank Langella,Ben Kingsley"
16,Rising Sun,"$63,179,523",Fox,Thriller,R,"July 30, 1993",2 hrs. 5 min.,N/A,N/A,Ian Bryce,"Philip Kaufman,Sean Connery,Wesley Snipes"
17,Demolition Man,"$58,055,768",Warner Bros.,Sci-Fi Action,R,"October 8, 1993",1 hrs. 55 min.,N/A,N/A,Joel Silver,"Sylvester Stallone,Wesley Snipes,Sandra Bullock"
18,Sister Act 2: Back in the Habit,"$57,319,029",Buena Vista,Comedy,PG,"December 10, 1993",1 hrs. 47 min.,N/A,Bill Duke,"Christopher Meledandri,Scott Rudin",Maggie Smith
19,Tombstone,"$56,505,065",Buena Vista,Western,R,"December 24, 1993",2 hrs. 10 min.,N/A,N/A,N/A,"Michael Rooker,Kurt Russell,Val Kilmer,Sam Elliott,Bill Paxton"
20,The Three Musketeers (1993),"$53,898,845",Buena Vista,Period Adventure,PG,"November 12, 1993",1 hrs. 45 min.,N/A,N/A,"Roger Birnbaum,Jordan Kerner,Joe Roth","Charlie Sheen,Kiefer Sutherland,Chris O'Donnell"
21,Rookie of the Year,"$53,615,089",Fox,Family Comedy,PG,"July 9, 1993",1 hrs. 43 min.,N/A,N/A,N/A,N/A
22,Beethoven's 2nd,"$53,443,066",Universal,Family Comedy,PG,"December 17, 1993",1 hrs. 27 min.,N/A,N/A,"Joe Medjuck,Ivan Reitman",Bonnie Hunt
23,Dennis the Menace,"$51,270,765",Warner Bros.,Family Comedy,PG,"June 25, 1993",1 hrs. 36 min.,N/A,N/A,"John Hughes,Richard Vane",N/A
24,Sommersby,"$50,081,992",Warner Bros.,Romance,PG-13,"February 5, 1993",1 hrs. 53 min.,N/A,N/A,Arnon Milchan,"Jodie Foster,Richard Gere"
25,Last Action Hero,"$50,016,394",Columbia,Action Comedy,PG-13,"June 18, 1993",2 hrs. 11 min.,$85 million,John McTiernan,N/A,Arnold Schwarzenegger
26,Tim Burton's The Nightmare Before Christmas,"$50,003,043Domestic Lifetime Gross $75,082,668",Buena Vista,Animation,PG,"October 15, 1993",1 hrs. 16 min.,N/A,Henry Selick,Denise Di Novi,N/A
27,Addams Family Values,"$48,919,043",Paramount,Horror Comedy,PG-13,"November 19, 1993",1 hrs. 34 min.,N/A,Barry Sonnenfeld,Scott Rudin,Christina Ricci
28,Wayne's World 2,"$48,197,805",Paramount,Comedy,PG-13,"December 10, 1993",1 hrs. 34 min.,$40 million,N/A,Lorne Michaels,"Mike Myers,Dana Carvey,Christopher Walken,Kim Basinger"
29,Malice,"$46,405,336",Columbia,Thriller,R,"October 1, 1993",1 hrs. 46 min.,N/A,N/A,N/A,"Anne Bancroft,Alec Baldwin,Nicole Kidman"
30,Made in America,"$44,942,695",Warner Bros.,Comedy,PG-13,"May 28, 1993",1 hrs. 53 min.,N/A,N/A,"Michael Douglas,Arnon Milchan","Will Smith,Nia Long"
31,The Good Son,"$44,789,789",Fox,Thriller,R,"September 24, 1993",1 hrs. 27 min.,N/A,Joseph Ruben,N/A,"Macaulay Culkin,Elijah Wood"
32,The Beverly Hillbillies,"$44,029,386",Fox,Comedy,PG,"October 15, 1993",1 hrs. 32 min.,N/A,Penelope Spheeris,Ian Bryce,Lily Tomlin
33,Teenage Mutant Ninja Turtles III,"$42,273,609",New Line,Family Adventure,PG,"March 19, 1993",1 hrs. 35 min.,$21 million,N/A,N/A,N/A
34,Homeward Bound: The Incredible Journey,"$41,833,324",Buena Vista,Family Adventure,G,"February 5, 1993",1 hrs. 24 min.,N/A,N/A,Jeffrey Chernov,Sally Field
35,Snow White and the Seven Dwarfs (Re-issue) (1993),"$41,634,471Domestic Lifetime Gross $184,925,486",Buena Vista,Animation,G,"July 2, 1993",1 hrs. 24 min.,N/A,N/A,N/A,N/A
36,Falling Down,"$40,903,593",Warner Bros.,Drama / Thriller,R,"February 26, 1993",1 hrs. 52 min.,N/A,Joel Schumacher,"Arnold Kopelson,Arnon Milchan","Michael Douglas,Robert Duvall"
37,The Piano,"$40,157,856",Miramax,Romance,R,"November 12, 1993",2 hrs. 1 min.,N/A,Jane Campion,N/A,"Holly Hunter,Anna Paquin"
38,Hocus Pocus,"$39,514,713",Buena Vista,Family Comedy,PG,"July 16, 1993",1 hrs. 36 min.,N/A,Kenny Ortega,Ralph Winter,"Bette Midler,Sarah Jessica Parker"
39,What's Love Got to Do with It,"$39,100,956",Buena Vista,Music Drama,R,"June 11, 1993",1 hrs. 58 min.,N/A,N/A,N/A,"Angela Bassett,Laurence Fishburne"
40,Hot Shots! Part Deux,"$38,922,972",Fox,Comedy,PG-13,"May 21, 1993",1 hrs. 26 min.,N/A,Jim Abrahams,Bill Badalato,Charlie Sheen
41,Carlito's Way,"$36,948,322",Universal,Crime Drama,R,"November 12, 1993",2 hrs. 25 min.,$30 million,Brian De Palma,N/A,"Al Pacino,Sean Penn,John Leguizamo"
42,Alive,"$36,733,909",Buena Vista,Action Drama,R,"January 15, 1993",2 hrs. 6 min.,N/A,Frank Marshall,Kathleen Kennedy,Ethan Hawke
43,Son-in-Law,"$36,448,400",Buena Vista,Comedy,PG-13,"July 2, 1993",1 hrs. 36 min.,N/A,N/A,N/A,N/A
44,Sliver,"$36,300,000",Paramount,Romantic Thriller,R,"May 21, 1993",1 hrs. 48 min.,N/A,Phillip Noyce,N/A,Sharon Stone
45,Robin Hood: Men in Tights,"$35,739,755",Fox,Adventure Comedy,PG-13,"July 30, 1993",1 hrs. 44 min.,N/A,Mel Brooks,N/A,Cary Elwes
46,Dragon: The Bruce Lee Story,"$35,113,743",Universal,Action Drama,PG-13,"May 7, 1993",2 hrs. 0 min.,N/A,Rob Cohen,N/A,N/A
47,The Joy Luck Club,"$32,901,136",Buena Vista,Drama,R,"September 10, 1993",2 hrs. 19 min.,N/A,N/A,N/A,N/A
48,Hard Target,"$32,589,677",Universal,Action,R,"August 20, 1993",1 hrs. 37 min.,N/A,John Woo,Sam Raimi,Lance Henriksen
49,The Sandlot,"$32,434,006",Fox,Family Comedy,PG,"April 9, 1993",1 hrs. 41 min.,N/A,N/A,N/A,N/A
50,The Age of Innocence,"$32,255,440",Columbia,Period Drama,PG,"September 17, 1993",2 hrs. 18 min.,$34 million,Martin Scorsese,N/A,"Daniel Day-Lewis,Michelle Pfeiffer,Winona Ryder"
