,Name,Domestic Total Gross,Distributor,Genre,MPAA Rating,Release Date,Runtime,Production Budget,Director,Producer,Actor
0,Shrek 2,"$441,226,247",DreamWorks,Animation,PG,"May 19, 2004",1 hrs. 33 min.,$150 million,"Andrew Adamson,Kelly Asbury,Conrad Vernon",Jeffrey Katzenberg,"Mike Myers,Cameron Diaz,Eddie Murphy,Antonio Banderas"
1,Spider-Man 2,"$373,585,825",Sony / Columbia,Action / Adventure,PG-13,"June 30, 2004",2 hrs. 7 min.,$200 million,Sam Raimi,"Kevin Feige,Stan Lee,Laura Ziskin,Avi Arad","Tobey Maguire,Kirsten Dunst,James Franco,Alfred Molina"
2,The Passion of the Christ,"$370,274,604Domestic Lifetime Gross $370,782,930",Newmarket,Historical Drama,R,"February 25, 2004",2 hrs. 6 min.,$30 million,Mel Gibson,N/A,"Monica Bellucci,James Caviezel"
3,Meet the Fockers,"$279,261,160",Universal,Comedy,PG-13,"December 22, 2004",1 hrs. 54 min.,$80 million,Jay Roach,N/A,"Robert DeNiro,Ben Stiller,Dustin Hoffman,Barbra Streisand"
4,The Incredibles,"$261,441,092",Buena Vista,Animation,PG,"November 5, 2004",1 hrs. 55 min.,$92 million,Brad Bird,John Lasseter,"Craig T. Nelson,Holly Hunter,Samuel L. Jackson"
5,Harry Potter and the Prisoner of Azkaban,"$249,541,069",Warner Bros.,Fantasy,PG,"June 4, 2004",2 hrs. 22 min.,$130 million,Alfonso Cuaron,"Chris Columbus,David Heyman","Daniel Radcliffe,Emma Watson,Rupert Grint,Gary Oldman"
6,The Day After Tomorrow,"$186,740,799",Fox,Action Drama,PG-13,"May 28, 2004",2 hrs. 4 min.,$125 million,Roland Emmerich,Mark Gordon,"Ian Holm,Dennis Quaid,Jake Gyllenhaal,Emmy Rossum"
7,The Bourne Supremacy,"$176,241,941",Universal,Action Thriller,PG-13,"July 23, 2004",1 hrs. 48 min.,$75 million,Paul Greengrass,"Patrick Crowley,Doug Liman,Frank Marshall","Matt Damon,Franka Potente,Brian Cox,Julia Stiles,Karl Urban,Joan Allen"
8,National Treasure,"$173,008,894",Buena Vista,Adventure,PG,"November 19, 2004",2 hrs. 11 min.,$100 million,Jon Turteltaub,Jerry Bruckheimer,"Nicolas Cage,Justin Bartha,Sean Bean,Jon Voight,Christopher Plummer"
9,The Polar Express,"$162,775,358Domestic Lifetime Gross $186,493,472",Warner Bros.,Animation,G,"November 10, 2004",1 hrs. 40 min.,$165 million,Robert Zemeckis,"Gary Goetzman,Tom Hanks",Tom Hanks
10,Shark Tale,"$160,861,908",DreamWorks,Animation,PG,"October 1, 2004",1 hrs. 30 min.,$75 million,"Vicky Jenson,Rob Letterman","Janet Healy,Jeffrey Katzenberg,Allison Lyon Segan","Will Smith,Angelina Jolie,Renee Zellweger,Jack Black,Robert DeNiro"
11,"I, Robot","$144,801,023",Fox,Sci-Fi Thriller,PG-13,"July 16, 2004",1 hrs. 45 min.,$120 million,Alex Proyas,"John Davis,Wyck Godfrey,James Lassiter,Laurence Mark,Will Smith","Will Smith,Bridget Moynahan,Alan Tudyk,Shia LaBeouf"
12,Troy,"$133,378,256",Warner Bros.,Historical Epic,R,"May 14, 2004",2 hrs. 43 min.,$175 million,Wolfgang Petersen,Colin Wilson,"Brad Pitt,Eric Bana,Orlando Bloom,Brian Cox,Sean Bean,Brendan Gleeson,Rose Byrne"
13,Ocean's Twelve,"$125,544,280",Warner Bros.,Crime Comedy,PG-13,"December 10, 2004",2 hrs. 4 min.,$110 million,Steven Soderbergh,N/A,"George Clooney,Brad Pitt,Matt Damon,Catherine Zeta-Jones,Don Cheadle,Bernie Mac,Julia Roberts,Casey Affleck"
