,Name,Domestic Total Gross,Distributor,Genre,MPAA Rating,Release Date,Runtime,Production Budget,Director,Producer,Actor
0,The Empire Strikes Back,"$209,398,025Domestic Lifetime Gross $290,475,067",Fox,Sci-Fi Fantasy,PG,"May 21, 1980",2 hrs. 9 min.,$18 million,Irvin Kershner,George Lucas,"Anthony Daniels,Peter Mayhew,Mark Hamill,Harrison Ford,Carrie Fisher"
1,9 to 5,"$103,290,500",Fox,Comedy,PG,"December 19, 1980",1 hrs. 50 min.,N/A,N/A,N/A,Lily Tomlin
2,Stir Crazy,"$101,300,000",Columbia,Comedy,R,"December 12, 1980",1 hrs. 51 min.,N/A,N/A,N/A,N/A
3,Airplane!,"$83,453,539",Paramount,Comedy,PG,"June 27, 1980",1 hrs. 28 min.,$3.5 million,"Jim Abrahams,David Zucker,Jerry Zucker","Jim Abrahams,David Zucker,Jerry Zucker",Leslie Nielsen
4,Any Which Way You Can,"$70,687,344",Warner Bros.,Action Comedy,PG,"December 17, 1980",1 hrs. 56 min.,N/A,N/A,N/A,Clint Eastwood
5,Private Benjamin,"$69,847,348",Warner Bros.,Comedy,R,"October 10, 1980",1 hrs. 50 min.,N/A,N/A,"Nancy Meyers,Charles Shyer",Goldie Hawn
6,Coal Miner's Daughter,"$67,182,787",Universal,Music Drama,PG,"March 7, 1980",2 hrs. 5 min.,N/A,Michael Apted,N/A,Tommy Lee Jones
7,Smokey and the Bandit II,"$66,132,626",Universal,Action Comedy,PG,"August 15, 1980",1 hrs. 41 min.,N/A,N/A,N/A,Sally Field
8,The Blue Lagoon,"$58,853,106",Columbia,Romance,R,"June 20, 1980",1 hrs. 45 min.,N/A,N/A,N/A,N/A
9,The Blues Brothers,"$57,229,890",Universal,Comedy,R,"June 20, 1980",2 hrs. 30 min.,N/A,John Landis,Robert K. Weiss,N/A
10,Ordinary People,"$54,766,923",Paramount,Drama,R,"September 19, 1980",2 hrs. 4 min.,N/A,Robert Redford,N/A,N/A
11,Popeye,"$49,823,037",Paramount,Musical,PG,"December 12, 1980",1 hrs. 53 min.,N/A,Robert Altman,N/A,Robin Williams
12,Urban Cowboy,"$46,918,287",Paramount,Romance,PG,"June 6, 1980",2 hrs. 14 min.,N/A,N/A,N/A,John Travolta
13,The Shining,"$44,017,374Domestic Lifetime Gross $44,360,123",Warner Bros.,Horror,R,"May 23, 1980",2 hrs. 26 min.,$19 million,Stanley Kubrick,N/A,Jack Nicholson
14,Seems Like Old Times,"$43,995,918",Columbia,Romantic Comedy,PG,"December 19, 1980",1 hrs. 40 min.,N/A,N/A,N/A,Goldie Hawn
15,Cheech & Chong's Next Movie,"$41,675,194",Universal,Comedy,R,"July 18, 1980",1 hrs. 39 min.,N/A,N/A,N/A,N/A
